id,title,authors,content,header,year
1,From GWAS to function: Comprehensive integrated genomic perturbation to reveal molecular mechanisms of trait associations.,"M.A. Cole 1,2,3 ,  A. Mousas 5,6 , Y. Wu 1,2,3 , J. Zeng 1,2,3 , Q. Yao 1,2,3,4 , D. Vinjamur 1,2,3 , R. Kurita 7 , Y. Nakamura 7,8 , L. Pinello 3,4 , G. Lettre 3,4 , D.E. Bauer 1,2,3 .  1) Boston Children's Hospital, Boston, MA; 2) Dana-Farber Cancer Institute, Boston, MA; 3) Harvard Medical School, Boston, MA; 4) Massachusetts General Hospital, Boston, MA; 5) Universite de Montreal, Montreal, Quebec, Canada; 6) Montreal Heart Institute, Montreal, Quebec, Canada; 7) RIKEN BioResource Center, Tsukuba, Ibaraki, Japan; 8) . 7 University of Tsukuba, Tsukuba, Ibaraki, Japan.","Discovery of molecular mechanisms responsible for trait associations is hampered by difficulty in identifying causal variants. Typical assays of genetic function are low throughput or evaluate sequences in heterologous ectopic settings. Genome editing enables perturbation of trait-associated sequences within relevant genomic, chromatin and cellular context. Here we perform comprehensive analysis of genetic variants associated with red blood cell traits by pooled CRISPR screening. We performed a genome-wide knockout screen in immortalized erythroid precursors (HUDEP-2 cells) to define functional erythroid genes required for cell growth or differentiation. We evaluated 952 loci associated with nine red blood cell traits (Astle  et al , Cell 2016) comprising 24,843 SNPs. We linked 28.9% of these SNPs to genes by at least one of four routes: sharing topological associated domain, physical proximity (<20 kb), long-range chromatin interaction, or eQTL with a functional erythroid gene. We designed ~5 sgRNAs per SNP requiring cleavage within 50 bp and exceeding an off-target score threshold, resulting in 32,710 sgRNAs testing 5,592 SNPs at 481 loci. We utilized four editors: Cas9 nuclease to produce indels, dCas9-VP64 for gene activation, dCas9-KRAB for gene repression, and dCas9 as a DNA targeting control. By pooled transduction, erythroid maturation culture, and sgRNA library deep sequencing, we found reproducible results across biological replicates, with guide count clustered by Cas9 type. Surprisingly, we found similar results for dCas9-KRAB and dCas9, suggesting the KRAB domain was largely dispensable. We performed fine-mapping of association results by Bayesian inference to calculate posterior probability of inclusion (PPI). We found a strong correlation between PPI and CRISPR significance scores indicating overall agreement between CRISPR screening and genetic fine-mapping, despite examples of validated CRISPR signals with low PPI scores. We identified numerous examples of CRISPR hits at regulatory elements including promoters and enhancers but also at noncoding sequences lacking chromatin marks, including at  BCL2L1, GFI1B,  and  KLF1 . These results represent to our knowledge the largest dataset editing human trait-associated sequences in situ and demonstrate the potential and challenges of comprehensive integrated genomic perturbation to complement genetic, biochemical, and statistical approaches to uncover molecular underpinnings of complex human traits.",ASHGAbstracts,2018
2,Incidence of uniparental disomy in 2 million individuals from the 23andMe database.,"P. Nakka 1,2 , K. McManus 3 , A. O'Donnell-Luria 4,5 , U. Francke 6 ,  J. Mountain 3 , S. Ramachandran 1,2 , F. Sathirapongsasuti 3 , 23andMe Research Team.  1) Center for Computational Molecular Biology, Brown University, Providence, RI; 2) Ecology and Evolutionary Biology, Brown University, Providence, RI; 3) 23andMe, Inc., Mountain View, CA; 4) Boston Children’s Hospital, Boston, MA; 5) Broad Institute of MIT and Harvard, Cambridge, MA; 6) Stanford University, Palo Alto, CA.","Uniparental Disomy (UPD) is the inheritance of both homologs of a chromosome from one parent with no representative copy from the other. UPD can cause clinical phenotypes by disrupting parent-specific genomic imprinting, or by unmasking recessive alleles in blocks of homozygosity on the affected chromosome. Though over 3,300 clinical cases of UPD have been collected to date, our understanding of UPD is limited to chromosomes on which UPD causes clinical presentation. In particular, incidence of UPD, its subtypes, and their phenotypic consequences are very poorly characterized in the general population. To address this gap, we analyze instances of UPD in consented research participants from the personal genetics company 23andMe, Inc., whose database consisted of SNP data from over 2 million individuals. We estimate identity-by-descent (IBD) between 290,927 parent-child duos and identify 49 instances of UPD, corresponding to an incidence rate of 1 in 4,000 births for UPD in the general population. In the 23andMe database, UPD cases occur most frequently on chromosomes 16, 21 and 22. In contrast, existing clinical cases cluster on chromosomes 6, 7, 11, 14, and 15, which each contain genes that cause imprinting disorders. We also find that per-chromosomes rates of UPD in 23andMe are significantly correlated (r=0.67; p=7.0e-4) with rates of aneuploidy in preimplantation embryos, reflecting a potential common etiology for UPD and aneuploidy. Similarly, we find the risk of UPD significantly increases with parental age (OR parental age>35 =3.1; p=6.6e-4). We extend our analysis to individuals without genotyped relatives by detecting UPD using runs of homozygosity (ROH), which are present in certain subtypes of UPD (isodisomy and some partial isodisomies). Using a simulation-based classification framework, we identify 244 UPD cases in 974,511 Northern Europeans in the 23andMe database. Lastly, we test for associations between five categories of phenotypes (cognitive, personality, morphology, obesity, and metabolic traits) and UPD status. Besides phenotypes known to be associated with Prader-Willi Syndrome (matUPD15), we find novel associations between UPD16 and lower birth weight (p=0.007), and UPD21 and lower overall life satisfaction (p=5.0e-5). Our study presents the first estimates of UPD rates in the general population, a framework to identify UPD from ROH, as well as previously unrecognized phenotypes associated with UPD of chromosomes 16 and 21.",ASHGAbstracts,2018
3,"Discovery and characterization of 102 genes associated with autism  from exome sequencing of 37,269 individuals.","J.A. Kosmicki 1,2,3 , F.K. Satterstrom 1,2,3 , J. Wang 4 , R.L. Collins 1,2,3 , S. de Rubeis 5,6 , M. Breen 5,6 , S. Gerges 1,2,3 , M. Peng 4 , X. Xu 5,6 , C. Stevens 2 , JJ. Grove 7,8,9,10 , A.D. Børglum 7,8,9 , J.D. Buxbaum 5,6,11,12,13,14 , D.J. Cutler 15 , B. Devlin 16 , K. Roeder 4 , S.J. Sanders 17 , M.E. Talkowski 1,2,3 , M.J. Daly 1,2,3 , Autism Sequencing Consortium.  1) Center for Genomic Medicine, Analytical and Translational Genetics Unit, Massachusetts General Hospital, Boston, MA, USA; 2) Program in Medical & Population Genetics and Stanley Center for Psychiatric Research, Broad Institute of Harvard and M.I.T., Cambridge, MA, USA; 3) Program in Bioinformatics and Integrative Genomics; Program in Biology and Biomedical Sciences, Harvard Medical School, Boston, MA, USA; 4) Department of Statistics and Department of Computational Biology, Carnegie Mellon University, Pittsburgh, PA, USA; 5) Seaver Autism Center for Research and Treatment, Icahn School of Medicine at Mount Sinai, New York, NY, USA; 6) Department of Psychiatry, Icahn School of Medicine at Mount Sinai, New York, NY, USA; 7) iPSYCH, The Lundbeck Foundation Initiative for Integrative Psychiatric Research,Denmark; 8) iSEQ, Centre for Integrative Sequencing, Aarhus University, Aarhus, Denmark; 9) Department of Biomedicine–Human Genetics, Aarhus University, Aarhus, Denmark; 10) Bioinformatics Research Centre, Aarhus University, Aarhus, Denmark; 11) Department of Neuroscience, Icahn School of Medicine at Mount Sinai, New York, NY, USA; 12) Friedman Brain Institute, Icahn School of Medicine at Mount Sinai, New York, NY, USA; 13) Department of Genetics and Genomic Sciences, Icahn School of Medicine at Mount Sinai, New York, NY, USA; 14) Mindich Child Health and Development Institute, Icahn School of Medicine at Mount Sinai, New York, NY, USA; 15) Department of Human Genetics, Emory University School of Medicine, Atlanta, GA 30322, USA; 16) Department of Psychiatry, University of Pittsburgh School of Medicine, Pittsburgh, PA; 17) Department of Psychiatry, UCSF Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA.","The genetic architecture of autism spectrum disorders (ASDs) involves the interplay of common and rare variation, with hundreds of genes conferring risk to the disorder. Both identifying the genes associated with ASD and understanding their effects in the context of ASD’s heterogeneous phenotypic presentation have been longstanding goals. Previous studies focused almost exclusively on de novo (newly arising) variation for gene discovery, ignoring all other sources of variation.Here, we present the largest exome sequencing study in ASD to date, with 37,269 samples from 31 sampling sources across large sequencing studies supported by SFARI, NHGRI, and NIMH. Using a Bayesian framework that incorporates de novo and case-control variation and leverages gene and regional constraint, we discover 26 genome-wide significant genes and 102 genes (FDR<0.1) associated with ASD. Thirteen of the 102 genes overlap 12 large recurrent copy number variants, indicating these genes may contribute to the autism associations in 1p36.3, 2p15, 2q37.3, 11q13, 15q11.2, 15q24, and 16p11.2 (see related abstract by Collins et al.). The 102 genes are also enriched in both gene expression regulators expressed primarily during prenatal/fetal period and neuronal communication genes expressed during later postnatal development.Meta-analyzing our results with published de novo variants from 5264 intellectual disability / developmental delay (ID/DD) trios indicates that 47 of the 102 ASD-associated genes are more strongly associated with ID/DD than ASD, as evidenced by a higher rate of de novo variants in ascertained ID/DD individuals than ASD individuals. Of the remaining 55 genes discovered, 52 are preferential towards ASD, and 3 are equally associated with both. We demonstrate that comorbid ASD-ID/DD genes are markedly different from ASD-preferential genes in terms of the degree of negative selection, phenotypic presentation, and expression from single-cell RNA sequencing in 531 cell-types. ASD patients with variants in comorbid ASD-ID/DD genes on average walk 2.6 months later (P=6e-4) and have an IQ 11.7 point lower (P=5e-04) than those patients with a variant in ASD-preferential genes.Our data constitute the most comprehensive description of the genetic and phenotypic architecture of ASD to date and differentiating ASD from ASD-ID/DD genes lends evidence that different biological processes underlie ASD-associated genes and the phenotypic presentation of ASD probands.",ASHGAbstracts,2018
4,Inhibition of oxytocin signaling prevents pregnancy-associated aortic  dissection in a novel mouse model of vascular Ehlers-Danlos Syndrome.," C.J. Bowen 1,2 , G. Rykiel 1,2 , J.C. Giadrosic 1,2 , J. Habashi 1,2,3,4 , M. Helmers 1,2 , H.C. Dietz 1,2,3,4 .  1) Institute of Genetic Medicine, Johns Hopkins University School of Medicine, Baltimore, MD; 2) Howard Hughes Medical Institute, Johns Hopkins University School of Medicine, Baltimore, MD; 3) Division of Pediatric Cardiology, Department of Pediatrics, Johns Hopkins University School of Medicine, Baltimore, MD; 4) Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, MD.","Patients with vascular Ehlers Danlos Syndrome (vEDS) experience dissection of medium-to-large arteries. Many features of vEDS are distinctly different from other heritable vasculopathies, such as Marfan Syndrome (MFS) and Loeys-Dietz Syndrome (LDS) which have been associated with excessive TGFβ activity. These include no particular predisposition for involvement of the aortic root and dissection without prior vessel dilation. Vascular rupture in patients with vEDS is difficult to anticipate or prevent. Pregnancy specifically increases the risk of dissection, with complications occurring in over 50% of pregnancies. The predominant postpartum occurrence of vascular dissection is not consistent with a mechanism that singularly invokes hemodynamic stress. Instead, we hypothesized that oxytocin, a hormone which initiates uterine contraction and is sustained postpartum during lactation, may contribute to pregnancy-associated risk. Expression of the oxytocin receptor is induced in the aorta during pregnancy and the hormone stimulates peripheral tissues through the activation of ERK, a signaling cascade previously implicated in the pathogenesis of MFS and LDS. We showed that oxytocin-mediated ERK signaling contributes to dissection risk in mouse models of MFS and posited that this mechanism would extend to other vasculopathies, including vEDS, despite differences in phenotype and underlying disease mechanism. To explore this hypothesis, we manipulated oxytocin and its downstream signaling events in a novel knock-in mouse model of vEDS. The  Col3a1  G209S/+ mouse shows 60% lethality due to aortic dissection in the first 30 days following delivery. Prevention of lactation through pup removal after birth was able to prevent dissection and death in vEDS mice (100% survival). Further, near-complete survival (95%) was achieved upon treatment with hydralazine, which blocks the PLC/IP3/PKC/ERK axis that is activated by oxytocin; this is an important finding because hydralazine is FDA-approved and can be used safely during pregnancy. Similar protection (~90% survival) was observed upon treatment with trametinib, an FDA-approved inhibitor of MEK, the kinase that activates ERK. These therapeutic strategies have the strong potential to modify vascular risk in women with vEDS and other heritable connective tissue disorders and these data provide the first evidence that therapeutically targetable abnormalities in signaling may drive vEDS pathogenesis.",ASHGAbstracts,2018
5,"Variation across 141,456 human exomes and genomes reveals the spectrum of loss-of-function intolerance in human genes.","K.J. Karczewski 1,2 ,  L.C. Francioli 1,2 , G. Tiao 2 , R.L. Collins 1,2 , B.B. Cummings 1,2 , J.A. Kosmicki 1,2 , Q. Wang 1,2 , A. Ganna 1,2 , L.D. Gauthier 2 , E. Banks 2 , K.M. Laricchia 2 , J. Alfoldi 2 , T. Poterba 2 , A. Wang 2 , C. Seed 2 , M.E. Talkowski 1,2 , B.M. Neale 1,2 , M.J. Daly 1,2 , D.G. MacArthur 1,2 , The Genome Aggregation Database Consortium.  1) Massachusetts General Hospital, Boston, MA; 2) Broad Institute, Cambridge, MA.","Naturally occurring genetic variants predicted to cause complete loss-offunction of protein-coding genes - predicted loss-of-function (pLoF variants) - are a powerful source of information about the phenotypic consequences of gene disruption. The number of pLoF variants in a gene in a large population correlates with that gene's essentiality: genes critical for an organism's function will be severely depleted for loss-of-function variants, while non-essential genes will be tolerant to the accumulation of these variants. However, pLoF variants are typically present at very low population frequencies, and thus very large sequenced populations are required to obtain robust estimates of gene tolerance to inactivation.  Here, we describe the detection of pLoF variants in 125,748 and 15,708 humans with whole exome and genome sequence data, respectively, aggregated and jointly variant-called as part of the latest version of the Genome Aggregation Database (gnomAD). We perform stringent filtering for sequencing and annotation artifacts to identify a set of high-confidence pLoF variants in this cohort.  Using an updated model based on random mutational expectations and the allele frequency spectrum, we classify all human protein-coding genes based on their observed intolerance to both monoallelic and biallelic inactivation, which we correlate with incidence of predicted gene-disrupting structural variants. We identify 15% more pLoF-intolerant genes than were found from previous efforts due to our increased sample size and improved model, and we investigate the extent of population-specific constraint across major continental groups. We show that this expanded catalogue can be used to improve gene discovery power for both common and rare diseases, and that highly constrained genes are enriched for rare pLoFs in individuals with psychiatric and developmental traits as well as overall health-related traits. Additionally, highly constrained genes are 6.6fold enriched for genes with de novo pLoF variants in cases with developmental delay compared to controls, compared to a slight depletion (0.93-fold) for unconstrained genes. The resulting map of human genic constraint will be valuable for both the interpretation of disease variants and the discovery of novel therapeutic targets.",ASHGAbstracts,2018
6,"A comprehensive study of essential genes, Mendelian disease genes,  and loss-of-function-tolerant genes.","P.D. Evans 1 , E.R. Gamazon 1,2 .  1) Genetic Medicine, Vanderbilt University Medical Center, Nashville, TN; 2) Clare Hall, University of Cambridge, Cambridge, United Kingdom.","Characterizing the function of genes in the human genome continues to be a critical challenge. The explosion of genomic data has facilitated the development of new methodologies for identifying disease-associated genetic predisposition, but large-scale functional interpretation remains elusive. Modeling non-linear and topology-preserving representations of gene properties, including gene evolutionary history, protein evolutionary rate, protein structure, gene expression level and breadth in a broad collection of cell types or tissues from GTEx, the regulatory genetic architecture, within-biological-network characteristics, and bioenergetics fitness costs may yield important biological insights and provide a distinctly powerful approach to functional inference. Using a neural network (self-organizing map) trained on the set of known essential genes, Mendelian disease genes, and loss-of-function-tolerant genes, we show that we can significantly predict a number of molecular features for the remaining set of genes, including within-network characteristics, summary expression profile, and tissue expression breadth. Notably, we identify many novel potential essential genes and Mendelian disease genes and a number of novel potential loss-of-function-tolerant genes, using a dispensability score generated from the computational inference. We demonstrate strong predictive performance of the dispensability score, using a recent CRISPR-based screen of essential genes and the probability of loss-of-function intolerance metric derived from large-scale exome-sequencing data (ExAC). Finally, we provide a comprehensive assessment of the phenotypic impact of the novel essential genes and Mendelian disease genes using gene-based analyses of BioVU, a database of electronic medical records linked to genetic data at Vanderbilt University Medical Center. This work provides an important new tool in the prioritization of genes in a medical setting in the context of personalized medicine. Reports from patients often contain many possible disease-causing mutations of unknown significance, and it is often difficult to elucidate which mutations may truly lead to disease. This new gene-based dispensability score will be complementary to existing functional scores on SNPs such as GERP, PolyPhen, and SIFT.",ASHGAbstracts,2018
7,"Using Exomiser for rare disease variant interpretation at scale in the  100,000 Genomes Project.","D. Smedley 1,5 , J.O. Jacobsen 5 , A.R. Martin 1 , C.  Johnson 1 , C. Boustred 1 , K. Smith 1 , E. Thomas 1 , H. Brittain 1 , J. McMurry 2 , M. Haendel 2 , C. Mungall 3 , P.N. Robinson 4 , M. Cauflield 1,5 , A. Rendon 1 .  1) Genomics England, Queen Mary University London, London, United Kingdom; 2) Linus Pauling Institute, Oregon State University, Corvallis; 3) Lawrence Berkeley National Laboratory, Berkeley, CA, USA; 4) Jackson Laboratory for Genomic Medicine, Farmington, CT, USA; 5) William Harvey Research Institute, Queen Mary University of London, London EC1M 6BQ.","Although genomics has revolutionized rare disease diagnostics, many cases remain unsolved, in part because of the problem of prioritizing the 10-100’s of candidate variants that remain after removing those identified as common or non-pathogenic. Exomiser is an automated approach developed by the Monarch Initiative to address this very problem; it takes patient sequencing data and coded patient phenotypes and analyzes both, informed by a large corpus of gene-phenotype associations from humans and model organisms. Here we describe the use of Exomiser in the rare disease component of the UK 100,000 Genomes Project, which is transforming the National Healthcare System (NHS) through the creation of a national research database of linked genomic and clinical data. Exomiser interpretation is enabled through the systematic collection of Human Phenotype Ontology terms, with 128,000 positive and 400,000 negative terms collected to date for ~20,000 participants from 1000+ contributing clinicians.  We have created a new, scalable Exomiser service architecture for the project and future NHS Genomic Medicine Service, capable of interpreting 300 cases/day for every processor node. In a blinded study of 263 patients from the project, Exomiser was benchmarked for how close it came to the diagnosis provided by NHS clinical geneticists. These cases represent 62 disease categories ranging from those with a high diagnostic rate, such as intellectual disability, to more challenging disorders such as familial colon cancer. The family structures of the cases also varied in complexity: 89 singletons, 90 duos, 111 trios, and 17 larger pedigrees. Exomiser successfully reproduced 68%, 78% or 81% of the diagnoses in the top 1, 3 and 5 matches respectively. 5% of the diagnoses were filtered out due to non-penetrance: we plan to add this functionality, along with copy number and cryptic splice variant analysis to identify additional diagnoses.  Exomiser performs comparably to our virtual gene panel based pipeline (72% of diagnoses identified with a mean of 2.3 variants presented per case) but without the extra overhead of expert panel curation and clinical review to select appropriate panels. The two approaches are synergistic: combining Exomiser top 5 and panel matches yields better recall (87%) than either approach alone. In summary, Exomiser expedites phenotype-based variant prioritization at scale for improved diagnostic rates in the 100,000 Genomes Project.",ASHGAbstracts,2018
8,"Assessment of penetrance of 10 Mendelian disease states in 46,980 exomes.","J.K. Goodrich 1,2 , J.C. Wood 2 , S. Baxter 2 , A. O'Donnell-Luria 1,2 , B. Weisburd 1,2 , Z. Zappala 1,2 , J. Mercader 2,3 , J. Flannick 2,4 , J.C. Florez 2,3 , D. MacArthur 1,2 , M.S. Udler 1,2,3 , AMP-T2D consortium.  1) Analytic and Translational Genetics Unit, Massachusetts General Hospital, Boston, MA; 2) Program in Medical and Population Genetics, Broad Institute of MIT and Harvard, Cambridge, MA; 3) Department of Medicine, Massachusetts General Hospital, Boston, MA; 4) Division of Genetics and Genomics, Boston Children’s Hospital, Boston, MA.","Availability of large-scale sequencing data provides an opportunity to improve the evaluation of the penetrance of predicted disease-causing genetic variants. Leveraging a dataset of 46,980 exomes and linked phenotypes, ascertained from a large international consortium of type 2 diabetes (T2D) case-control studies, we assessed predicted pathogenic variants across 77 genes associated with 10 Mendelian disease states: four lipid disorders, severe obesity, neonatal and adult-onset of monogenic diabetes, partial lipodystrophy, renal disorders, and short stature syndromes.Across these genes, we identified 369 high-confidence loss-of-function variants annotated using automated filters and manual inspection of sequence reads, as well as 23 variants previously reported to be pathogenic or likely pathogenic in ClinVar and manually curated using the ACMG variant interpretation criteria. Relevant phenotypes in 1,093 variant carriers (C) and non-carriers (NC) were compared using Wilcoxon rank sum and logistic regression tests, adjusting for age, sex, T2D status, and ethnicity.Carriers of predicted pathogenic variants in genes causing the four lipid disorders had significantly different levels of relevant lipids (median [range] in mg/dl): disorders of low LDL cholesterol ( APOB ,  PCSK9 ; C: 59[20-152], NC: 121[0.4-426];  P =1x10 -27 ); high LDL ( LDLR ; C: 236[92-383], NC: 121[0.4-426];  P =3x10 -4 ); high HDL cholesterol ( CETP ; C: 57[39-117], NC: 46[4-293];  P =9x10 -6 ); and high triglycerides ( APOA5 ,  LPL ; C: 237[75-642], NC: 129[6-4772];  P =5x10 -5 ). We found a nominally significant association of higher BMI in carriers of predicted obesity-causing variants (median BMI in kg/m 2  C: 29.6[18.4-40.5], NC: 27.5[10.5-96];  P =0.02). There were no significant differences in T2D prevalence, creatinine levels, and height in carriers compared to non-carriers for monogenic diabetes or lipodystrophy, renal disorders, and short stature syndromes, respectively.Analysis of large-scale sequence data linked to phenotypes demonstrated incomplete penetrance of likely disease-causing variants across multiple disease states despite careful manual variant curation. Trait differences between carriers and non-carriers were most pronounced for lipid disorders, however for all disease states (with the exception of diabetes due to study design), <50% of carriers displayed expected phenotypes. Future research will investigate potential causes of incomplete penetrance including genetic modifiers.",ASHGAbstracts,2018
9,Joint genome-wide association study of endometrial cancer and ovarian  cancer identifies novel genetic risk regions at 7p22.2 and 14q23.3.,"T.A.  O'Mara 1 , D.M. Glubb 1 , D.J. Thompson 2 , A.B. Spurdle 1 , OCAC, ECAC.  1) QIMR Berghofer Medical Research Institute, Brisbane, QLD, Australia; 2) University of Cambridge, Cambridge, UK.","Ovarian cancer is the most lethal gynaecological malignancy and the sixth most common cause of death from all cancer in women, with an estimated 140,000 deaths per year worldwide. Endometrial cancer (cancer of the uterine lining) is the most commonly diagnosed gynaecological cancer, ranking sixth in incident cancer in women. Ovarian and endometrial cancer share many epidemiological, histopathologic, and tumour genetic characteristics. Meta-analyses of genome-wide association study (GWAS) datasets across aetiologically related diseases have successfully been used to increase statistical power and identify novel genetic risk regions. We hypothesised that joint meta-analysis of ovarian and endometrial cancer GWAS datasets would identify novel genetic loci for both cancers.   Following quality control, summary statistics for >11 million genetic variants were available from the largest genome-wide association studies performed by the Ovarian Cancer Association Consortium (OCAC, Phelan et al Nature Genetics 2017) and the Endometrial Cancer Association Consortium (ECAC, O’Mara et al Nature Communications, accepted). A total of 35,312 cancer cases from all histological subtypes (22,406 ovarian and 12,906 endometrial cancer cases) and 149,920 controls were included in the analysis. Summary statistics were combined using an inverse-variance, fixed effects model in METAL and identified nine loci at genome-wide significance (P < 5 x 10 -8 ), of which two (14q23.3 and 7p22.2) had not been previously associated with the risk of either cancer. Analyses stratifying by histological subtypes identified an additional five loci associated with endometrioid cancers and two with serous cancers.   Integration of cross-cancer GWAS variants with chromatin conformation data (H3K27Ac HiChIP) from an endometrial cancer (Ishikawa) and normal (E6/E7 hTERT immortalised endometrial glandular) cell line identified 88 candidate target genes, including the oncogenes  AKT1 , TERT  and  MYC . Ingenuity pathway analysis found enrichment for relevant functional annotation such as tumorigenesis of the female genital tract, cell proliferation and colony formation. Generation of similar chromatin confirmation data for ovarian cell lines is currently underway and will be used identify candidate target genes common to both cancers for future study.",ASHGAbstracts,2018
10,Combining genetic and exposure data significantly improve risk prediction for skin cancer.,"P. Fontanillas, B. Alipanahi, M. Johnson, C. Wilson,  A. 23andMe Research Team, S. Pitts, R. Gentleman, A. Auton.  23andMe, Mountain View, CA.","Epidemiological studies have successfully identified many important risk factors associated with the development of skin cancer. However, accurate prediction of personal skin cancer risk remains challenging and unreliable. While basal cell carcinoma (BCC) and squamous cell carcinoma (SCC) are the more common forms of skin cancer, melanoma is generally better studied due to its more aggressive nature. Over the last two decades, many predictive models have been proposed for melanoma, but consensus regarding which models provide the most medically relevant predictions remains elusive. In part, this lack of consensus is due to an incomplete knowledge of potential risk factors (including genetic risks), small sample sizes, and absence of outof-sample validation.   In this study, we evaluate and extend prediction risk models for all three skin cancer types (BCC, SCC, melanoma) in a large-scale deeply phenotyped and genotyped cohort. Over 210,000 consented 23andMe research participants responded to an online survey containing 70 questions covering personal history of skin cancer, factors relating to susceptibility and UV exposure, and details of skin cancer incidence in family history. We trained risk prediction models using data from 103,008 research participants, of whom 20,765 reported having or having had skin cancer, and held out data from the remaining 88,985 individuals as a validation set. Using this data, we tested and validated published epidemiological models, identified additional skin cancer risk factors, and investigated the value of incorporating knowledge of genetic risk into the best performing models. The best predictive models incorporate family history, pigmentation and skin sensitivity variables, mole counts, sun exposure estimates, and also a few new variables, like BMI, which is negatively correlated with skin cancer. The genetic risk scores (GRS), computed from GWAS significant loci, account for 8 to 14% of the total variance explained by the best models. The out-of-sample AUC for the best models are 0.79, 0.80, and 0.78, for BCC, SCC, and melanoma, respectively. .",ASHGAbstracts,2018
