id,title,authors,content,year
1004,Revisiting the out of Africa event with a deep learning approach,"M. Mondal 1 , F. Montinaro 2 , V. Pankratov 1 , B. Yelmen 1 , L. Pagani 3 ;  1 Inst. of Genomics, Univ. of Tartu, Tartu, Estonia,  2 Dept. of Biology-Genetics, Univ. of Bari, Bari, Italy,  3 Univ. of Padova, Padova, Italy","M. Mondal:  None. Anatomically modern humans evolved around 300 thousand years ago in Africa. Modern humans started to appear in the fossil record outside of Africa about 100 thousand years ago though other hominins existed throughout Eurasia much earlier. Recently, several researchers argued in favourof a single out of Africa event for modern humans based on whole-genome sequences analyses. However, the single out of Africa model is in contrast with some of the ﬁndings from fossil records, which supports two out of Africa, and uniparental data, which proposes a back to Africa movement. Here, we used a deep learning approach coupled with Approximate Bayesian Computation and Sequential Monte Carlo to revisit these hypotheses from the whole genome sequence perspective. Our results support the back to Africa model over other alternatives. We estimated that there are two successive splits between Africa and out of African populations happening around 60-90 thousand years ago and separated by 13-15 thousand years. One of the populations resulting from the more recent split has to a large extent replaced the older West African population while the other one has founded the out of Africa populations.",2021
1005,An analysis of population copy number variation in sub-Saharan African genomes,"E. Wiener 1,2 , L. Cottino 1,2 , D. Jakubosky 3 , A. Macleod 4 , H. Noyes 5 , O. Nyangiri 6,7 , A. Krause 1 , S. Hazelhurst 8,2 , Z. Lombard 1 , H3Africa Consortium;  1 Div. of Human Genetics, Natl. Hlth.Lab. Service & Sch. of Pathology, Faculty of Hlth.Sci., Univ. of Witwatersrand, Johannesburg, South Africa, 2 Sydney Brenner Inst. for Molecular BioSci., Faculty of Hlth.Sci., Univ. of the Witwatersrand, Johannesburg, South Africa,  3 Dept. of BioMed. Informatics, Univ. of California San Diego, La Jolla, CA, 4 Wellcome Trust Ctr. for Molecular Parasitology, Glasgow, United Kingdom,  5 Ctr. for Genomic Res., Univ. of Liverpool, Liverpool, United Kingdom,  6 Coll. of Vet. Med., Animal Resources and Biosecurity, Makerere Univ., Kampala, Uganda,  7 Epidemiology and Demography Dept., KEMRI-Wellcome Trust Res. Programme, Kiliﬁ, Kenya,  8 Sch. of Electrical and Information Engineering, Univ. of Witwatersrand, Johannesburg, South Africa","E. Wiener:  None. Introduction  Copy number variation (CNV) is responsible for a large component of normal human variation and has been implicated in the cause/genetic aetiology of several rare diseases. Population reference databases containing CNV information from all global populations is critical in disease genetics research, but current resources lack diversity, especially from the African continent. This makes such databases of limited use in studies looking at genetic diseases in African individuals. This study therefore aims to address this knowledge gap by producing a map of CNV using whole-genome data from several, previously unstudied African populations Methods  1027 high coverage whole genome sequences obtained from individuals across west, central, southern and east Africa, were analysed using Manta and Graphtyper2. Additionally, 919 of the samples were also analysed using Genome STRiP to detect multi-allelic CNV. Quality control speciﬁc to each tool was performed in order to achieve high quality variant call sets. Results  56 816 CNVs were detected by the Manta pipeline, consisting of 44 671 deletions and 12 145 duplications. Due the ability of Manta to detect small variants (5% allele frequency. 50% of these variants are novel compared to 27% of the remaining variants >100bp. Overall, 32% of the variants identiﬁed were novel. A comparison between central, west, east and southern African regions yielded a number of variants unique to each region. We ﬁnd deletions tend to have lower allele frequencies compared to duplications. The majority of variants were found in the non-coding genome, with only 8% of variants overlapping coding transcripts. An additional 5% of variants overlapped regulatory features. Genome STRiP detected 3991 multi-allelic variants with 99% having a copy number between 3-20. There were also variants with copy numbers greater than 20, some of which appear to be incidences of excessive runaway duplications not previously described. Conclusion  The amount of novel variation found demonstrates the importance of including African individuals from multiple African regions when producing reference databases and the rich genomic diversity of African genomes. Work is currently being performed to combine the full Genome STRiP and Manta call sets to produce a robust combined dataset. The variant database produced in this study will provide a valuable resource as a reference of normal CNV for the study of diseases in African populations.",2021
1006,Integrative genomic analyses identify key interethnic diﬀerences in immune response to malaria,"Y. Idaghdour 1 , W. Abdrabou 1 , M. Dieng 1 , A. Diawara 1 , S. Samuel 2 , D. Almojil 1 , S. SombiÃ© 2 , N. Henry 2 , D. Kargougou 2 , V. Manikandan 1 , I. Soulama 2 ;  1 New York Univ. Abu Dhabi, Abu Dhabi, United Arab Emirates,  2 Ctr. Natl. de Recherche et de Formation sur le Paludisme, Ouagadougou, Burkina Faso","Y. Idaghdour:  None. Host responses to infection with the malaria parasite  P. falciparum  vary between individuals for reasons that are poorly understood. Here we reveal metabolic perturbations as a consequence of malaria infection in children and identify an immunosuppressive role of endogenous steroid production in the context of  P. falciparum  infection. We perform metabolomics on matched samples from children from two ethnic groups in West Africa, before and after infection with seasonal malaria. Analyzing 306 global metabolomes we identify 92 parasitemia-associated metabolites with impact on the host adaptive immune response. Integrative metabolomic-transcriptomic and causal mediation-moderation analyses reveal an infection-driven immunosuppressive role of parasitemia-associated pregnenolone steroids on lymphocyte function and the expression of key immunoregulatory lymphocyte genes in the Gouin ethnic group. In children from the less malaria-susceptible Fulani ethnic group we observe opposing responses upon infection, consistent with the immunosuppressive role of endogenous steroids in malaria. These ﬁndings advance our understanding of  P. falciparum pathogenesis in humans and identify potential new targets for antimalarial therapeutic interventions.",2021
1007,GWAS of complex traits in a multi-population African cohort,"M. Hansen 1 , S. A. Tishkoﬀ 2 , J. Lachance 3 , A. Ranciaro 1 , M. Kim 4 , S. Raj 5 , S. Fan 6 , W. R. Beggs 1 ;  1 Univ Pennsylvania, Philadelphia, PA,  2 Univ. of Pennsylvania Sch. of Med., Philadelphia, PA, 3 Georgia Inst. of Technology, Atlanta, GA,  4 Fred Hutchinson Cancer Res. Ctr., Seattle,  5 Cornell Univ, Lexington, MA,  6 Perelman Sch. of Med., Philadelphia, PA","M. Hansen:  None. The diversity among present-day African populations is the result of a deep and complex history of admixture, migrations, and regional adaptations to local environments and diseases. Little is known about the impact of this evolutionary history on the genetics underlying complex traits. Here I present recent work on genetic associations for a panel of anthropometric, cardiovascular, and metabolic biomarker measurements paired with dense genotyping data. For some traits, the variation among populations is expected to reﬂect local adaptations, such as short stature in western Cogo rainforest hunter-gatherers. The study cohort of several thousand individuals is drawn from an ancestrally diverse set of populations from western, eastern, and southern sub-Saharan Africa. Populations include current or recent hunter-gatherers, traditional agriculturalists, and semi-nomadic pastoralists, from rural regions of Cameroon, Nigeria, Ethiopia, Kenya, Tanzania, and Botswana. For many of these traits, this marks the ﬁrst genotype/phenotype analysis to include these ethnic groups. The high degree of population structure presents both challenges and opportunities for genetic analysis. Genetic structure analysis indicates genetic clustering by geographic location, language family, and regional hunter-gatherer lineages. Examples include the hunter-gathers from the Serengeti, western Congo, and Kalahari, and clusters that correlate with Niger-Congo, Afroasiatic, and Nilo-Saharan language families. We observe substantial population-level variation for many traits, such as height, skin pigmentation, and blood pressure. The proportion of the trait variance that is due to the genetic population structure varies by trait and tends to be greater for anthropometric traits like height and skin pigmentation than for metabolic biomarkers like LDL. From genotype/phenotype association tests we ﬁnd numerous independent associations at genome-wide signiﬁcance for several traits, including circulating triglyceride levels and BMI. The population structure of the total additive genetic eﬀects is also examined. European GWAS associations replicate poorly in this African cohort, while associations discovered in the African cohort show comparatively better replication in Europeans.",2021
1008,Genotype-by-infection interactions: Single cell RNASeq proﬁling of in-vivo host immune response to malaria reveals cell type and infection-speciﬁc eQTLs,"O. Bayaraa 1 , M. Dieng 1 , J. Ryou 1 , V. Manikandan 1 , W. Abdrabou 1 , S. SermÃ© 2 , S. SombiÃ© 2 , A. Barry 2 , S. Coulibaly 2 , A. Diarra 2 , M. Arnoux 1 , A. B. Tiono 2 , S. Sirima 2 , A. Diawara 1 , I. Soulama 2 , Y. Idagdhour 1 ;  1 New York Univ. Abu Dhabi, Abu Dhabi, United Arab Emirates,  2 Ctr. Natl. de Recherche et de Formation sur le Paludisme, Ouagadougou, Burkina Faso","O. Bayaraa:  None. The disease burden of malaria remains a signiﬁcant global public health challenge.  Plasmodium falciparum  is responsible for more than 99% of malaria cases in Africa and for >400,000/year malaria-related deaths worldwide. Inter-individual diﬀerences in susceptibility to malaria is multifactorial and has a signiﬁcant heritable component but our understanding of the eﬀect of infection on gene regulation of immune response at the transcriptional remains very limited. Here we use longitudinal matched sampling, single cell RNAseq proﬁling of PBMCs and whole-genome sequencing data of malarial children before and after natural  P. falciparum  infection in Banfora, Burkina Faso, West Africa. In total, we generated ~90,000 single cell RNASeq proﬁles and identiﬁed PBMC cell types aﬀected by infection. Single cell RNASeq eQTL analysis revealed cell type speciﬁc eQTLs and genome-wide signiﬁcant genotype-by-infection interaction eﬀects implicating key immune genes. These results provide the ﬁrst genome-wide picture of host in vivo regulatory variation events in malaria at the single cell level and highlight the implication of regulatory interaction eﬀects in modulating host immune response in-vivo.",2021
1009,Returning secondary genetic ﬁndings: Provider perspective in Africa,"A. Oladayo 1 , S. Prochaska 1 , T. Busch 1 , W. Adeyemo 2 , L. Gowans 3 , E. Mekonen 4 , W. Awotoye 1 , A. Alade 5 , A. Butali 1 , A. Prince 1 , J. C. Murray 6 , A. A. Adeyemo 7 , P. Mossey 8 ;  1 Univ. of Iowa, Iowa City, IA,  2 Univ. of Lagos/ Lagos Univ. Teaching Hosp., Akoka, Nigeria,  3 Kwame Nkrumah Univ. of Sci. and Technology, Kumasi, Ghana,  4 Addis Ababa Univ., Addis Ababa, Ethiopia,  5 Univ. of Iowa, Iowa, IA,  6 U of Iowa, Iowa City, IA,  7 NIH, Bethesda, MD,  8 Univ. of Dundee, Dundee, United Kingdom","A. Oladayo:  None. Objective: Previous research has shown that lack of resources and knowledge signiﬁcantly impact the return of genomic test results. However, not much is known about the level of expertise and knowledge of clinicians providing cleft care in Africa on genetic diseases, despite the vast genetic diversity in this population. Methods: Providers in participating cleft-craniofacial clinics in Ethiopia, Ghana, and Nigeria were sent the link to a 63-question online survey. This survey assessed the providers' experience with genetic testing, genetics education and return of genetic results, provider knowledge, clinician comfort with returning results, available resources to assist with genomic ﬁndings, and potential barriers. Results: As of June 2nd, 2021, 246 providers completed the survey. Only 2% had been involved in the delivery of Exome or Genome sequencing; 78.6% had no formal genetic education, 49.6% agreed that all secondary ﬁndings should be disclosed to patients. Regarding the comfort level, 89.4% were somewhat to extremely comfortable discussing genetic risk factors with patients, and 81.8% were somewhat to extremely comfortable with returning genetic results. Sixty-three percent believed that resources were currently available to enable them to access needed genetic information. Conclusion: Providers were aware that genetic testing could help in the clinical management of diseases from the returned responses. However, the lack of knowledge about genomic medicine, uncertain clinical utility, and lack of available resources were cited as barriers that signiﬁcantly impacted incorporating genetic testing into their practice. Data collection is ongoing and will continue till July 31st, 2021. This is the ﬁrst Ethical, Legal, and Social Implications (ELSI) study to document the knowledge and comfort level of cleft providers in Africa. This study will help determine the most beneﬁcial information to equip providers with the return of secondary genetic ﬁndings.",2021
1012,"Multi-trait Bayesian genome-wide association study identiﬁes novel endometrial cancer risk loci at 7q22.1, 8q24.3 and 16q22.2","T. A. O'Mara 1 , X. Wang 1 , P. Kho 1 , C. Baﬂigil 2 , D. G. Evans 2,3 , E. J. Crosbie 2,3 , A. B. Spurdle 1 , D. M. Glubb 1 , Endometrial Cancer Association Consortium;  1 QIMR Berghofer Med. Res. Inst., Brisbane, Australia,  2 Univ. of Manchester, Manchester, United Kingdom,  3 Manchester Univ. NHS Fndn. Trust, Manchester, United Kingdom","T.A. O'Mara:  None. Endometrial cancer is the most common gynecological tumor in developed countries, and its prevalence and mortality are increasing worldwide. Current genome-wide association studies (GWAS) of endometrial cancer, performed by the Endometrial Cancer Association Consortium, have identiﬁed 16 genetic risk regions for this disease. To identify additional risk variants for endometrial cancer, we leveraged summary statistics from the largest GWAS meta-analysis for endometrial cancer performed to date (12,906 cases and 108,979 controls) and publicly available GWAS datasets of endometrial cancer risk factors using a recently developed multi-trait Bayesian GWAS (bGWAS) framework. Using LD score regression, we assessed the genetic correlation between >2,500 phenotypes and endometrial cancer risk to identify potential endometrial cancer risk factors. Signiﬁcantly genetically correlated phenotypes (FDRThe bGWAS ﬁndings suggest that the three novel loci aﬀect endometrial cancer risk through altered sex-hormone levels or eﬀects on obesity. Consistent with this hypothesis, several genes with established roles in these pathways ( CYP11B1 ,  CYP3A7 ,  IRX3  and  IRX5 ) were prioritized as candidate endometrial cancer risk genes by interrogation of quantitative trait loci data and chromatin looping assays in endometrial cell lines. The ﬁndings of this study identify additional opportunities for hormone therapies and further support weight loss to reduce the risk of developing endometrial cancer.",2021
1013,Novel basal cell carcinoma susceptibility loci identiﬁed from a multiethnic genome-wide meta-analysis,"H. Choquet 1 , J. Yin 1 , Y. Kim 2 , T. J. Hoﬀmann 3 , E. Jorgenson 4 , M. M. Asgari 5 ;  1 Kaiser Permanente, Oakland, CA,  2 Harvard Med. Sch. and Harvard Pilgrim Hlth.Care Inst., Boston, MA,  3 Inst. for Human Genetics, Univ. of California, San Francisco (UCSF), San Francisco, CA,  4 Regeneron Genetics Ctr., Tarrytown, NY,  5 Massachusetts Gen. Hosp., Harvard Med. Sch., Boston, MA","H. Choquet:  None. Purpose:  Basal cell carcinoma (BCC) is one of the most common malignancies worldwide and has a moderate genetic component with an array-heritability estimate of up to 17.0%. Previously published genome-wide association studies (GWAS) have reported more than 70 loci associated with BCC, explaining up to 11.0% of BCC heritability, suggesting that additional loci remain to be discovered. Most published studies have exclusively utilized European descent populations, and the impact of genetic factors on BCC risk in a multiethnic population has not been explored.  Methods:  We conducted GWAS analyses, followed by a meta-analysis, including 526,432 individuals (34,616 BCC cases and 491,816 controls) from two cohorts: the Kaiser Permanente Genetic Epidemiology Research in Adult Health and Aging (GERA) and the UK Biobank (UKB). First, a logistic model GWAS for BCC was carried out separately in each ethnic group of GERA (non-Hispanic whites, Hispanic/Latinos, East Asians, and African-Americans), and UKB (European, South Asian, African British, and mixed Ancestries), adjusting for age, sex, and ancestry principal components. Then, the results from each ethnic group, and each cohort were meta-analyzed. We tested novel loci discovered in the combined multiethnic meta-analysis in an external replication cohort. To prioritize genes and biological pathways, and highlight gene-set and tissue/cell enrichments within the associated loci identiﬁed, we used DEPICT (Data-driven Expression-Prioritized Integration for Complex Traits) integrative tool. Results:  Our multiethnic GWAS meta-analysis identiﬁed 78 genome-wide signiﬁcant ( P â8) BCC-associated loci, of which 20 were novel. Most of them replicated in an external independent sample at Bonferroni signiﬁcance with the same direction of eﬀect. Identiﬁed novel loci are implicated in the normal cell function ( SENP7 ), adhesion of platelets and other cell types to the extracellular matrix ( ITGA2 ), or DNA repair ( ATM ). Interrogation of loci uncovered by our multiethnic meta-analysis GWAS using DEPICT integrative tool also prioritized novel biological pathways underlying BCC .   Conclusions: In this work, we present the largest and most ethnically diverse genetic study of BCC susceptibility conducted to date to our knowledge. Study ﬁndings provide new insight into the genetic basis of BCC susceptibility and may help identify individuals at higher BCC risk.",2021
1014,"A ﬁne-mapping study of over 254,000 Asian and European descendants identiﬁes putative susceptibility genes for colorectal cancer","Z. Chen 1 , X. Guo 1 , J. Huyghe 2 , P. Law 3 , C. Fernandez-Rozadilla 4 , M. Timofeeva 5 , M. Thomas 2 , S. Schmit 6 , V. DÃez-Obrero 7 , L. Hsu 2 , J. Long 1 , V. Moreno 7 , G. Casey 8 , M. Dunlop 9 , S. B. Gruber 10 , I. Tomlinson 9 , U. Peters 2 , R. Houlston 3 , W. Zheng 1 ;  1 Div. of Epidemiology, Vanderbilt Univ. Med. Ctr., Nashville, TN,  2 Fred Hutchinson Cancer Res. Ctr., Seattle, WA,  3 The Inst. of Cancer Res., London, United Kingdom,  4 Inst. de Investigacion Sanitaria de Santiago - IDIS, Santiago de Compostela, Spain,  5 Univ. of Southern Denmark, Odense, Denmark,  6 Cleveland Clinic, Cleveland, OH,  7 Bellvitge BioMed. Res. Inst., Barcelona, Spain,  8 Dept. of Publ. Hlth.Sci., Univ. of Virginia, Charlottesville, VA, 9 Inst. of Genetics and Cancer, Univ. of Edinburgh, Edinburgh, United Kingdom,  10 USC, Los Angeles, CA","Z. Chen:  None. Over 150 genetic susceptibility loci have been identiﬁed for colorectal cancer (CRC) through genome-wide association studies (GWAS). To uncover potential independent association signals and identify putative target genes in these loci, we conducted a ﬁne-mapping analysis using GWAS summary statistics data from 72,272 subjects of East Asian (EAS)- and 182,518 subjects of European-ancestry (EA). We performed stepwise conditional analyses by race using the GCTA-COJO with adjustment for the top association signal in each region. Results from EAS and EA were combined using a ﬁxed-eﬀects model. To identify race-speciﬁc associations, similar analyses were performed with adjustment for the race-speciﬁc top association signal in each region. At conditioned  P  -6, we identiﬁed 219 independent risk signals, including 142 from combined analyses of EA and EAS, 9 from EAS analyses, and 68 from EA analyses. Using a conditioned  P  value within two orders of magnitude of the most statistically signiﬁcant variant for each signal, we identiﬁed 6,131 credible causal variants (CCVs). Using a modiﬁed INQUSIT pipeline to score each gene-CCV pair by integrating functional genomic data, we identiﬁed 168 potential target genes. We conducted cis-eQTL analysis using transcriptome data derived from colon transverse tissues of EA from GTEx and of tumor-adjacent normal tissue of EAS. At Bonferroni-corrected  P  P P",2021
1015,Assessment of genetic susceptibility to multiple primary tumors through whole-exome sequencing in two large cohorts,"T. B. Cavazos 1 , L. Kachuri 1 , R. E. Graﬀ 1 , J. L. Nierenberg 1 , K. K. Thai 2 , S. Alexeeﬀ 2 , S. Van Den Eeden 2 , Regeneron Genetics Center, T. Hoﬀmann 1 , E. Ziv 1 , L. Habel 2 , E. Jorgenson 3 , L. C. Sakoda 2 , J. S. Witte 1 ;  1 Univ. of California, San Francisco, San Francisco, CA,  2 Kaiser Permanente, Oakland, CA,  3 Regeneron, Tarrytown, NY","T.B. Cavazos:  None. Approximately 10-20% of individuals diagnosed with one cancer will face another cancer diagnosis in their lifetime. Multiple cancer diagnoses will likely become more common with earlier detection and improving survival. While some pleiotropic drivers of hereditary cancer syndromes, such as BRCA1/2 and TP53, have been discovered, the genetic factors contributing to the development of multiple primary tumors within single individuals are not well understood. To characterize the genetic susceptibility to multiple malignancies we conducted a pan-cancer, whole-exome sequencing study of two large prospective cohorts: Kaiser Permanente (KP) and the UK Biobank (UKB). The former cohort included 3,111 individuals with two or more primary cancers and 3,126 cancer-free controls, and the latter included 2,126 cases and 173,779 controls. In KP, we used SAIGE to conduct gene-based tests of predicted functional/pathogenic rare (MAF signiﬁcant associations after Bonferroni correction (p",2021
