id,title,authors,content,year
1052,"Trans-ancestry meta-analysis enhances discovery, ﬁne mapping and polygenic prediction of body mass index in continental Africa","T. Chikowore 1 , M. Chong 2 , L. K. Micklesﬁeld 1 , Z. Lombard 3 , J. H. Goedecke 4 , S. Fatumo 5 , S. A. Norris 1 , M. Ramsay 6 , P. W. Franks 7 , G. Pare 8 , A. P. Morris 9 ;  1 Univ. of the Witwatersrand, Johannesburg, South Africa,  2 Population Hlth.Res. Inst. (Genetic Molecular Epidemiology Lab), Hamilton, ON, Canada,  3 Natl. Hlth.Lab. Service, Johannesburg, South Africa,  4 South African Med. Res. Council, Capetown, South Africa,  5 London Sch. of Hygiene and Tropical Med., London, United Kingdom, 6 Univ. of the Witwatersrand, Johannesburg, Gauteng, South Africa,  7 Lund Univ., Malmo, Sweden, 8 Hamilton, ON, Canada,  9 The Univ. of Manchester, Manchester, United Kingdom","T. Chikowore:  None. Obesity is a major global public health problem, yet most genome-wide association studies (GWAS) for obesity traits have been performed in European ancestry populations. This lack of diversity impedes genetic discovery and limits the utility of genetics in obesity therapeutics. Here we report the ﬁrst trans-ancestry meta-analysis for body mass index (BMI) involving continental Africans, and evaluate its utility in this population group. We aggregated GWAS of BMI in 678671 individuals from the United Kingdom Biobank (Europeans), Japan Biobank , African Partnership of Chronic Disease Research (APCDR), and the Population Architecture and Genetic Epidemiology (PAGE) who are representative of diverse global populations through inverse variance weighted, ﬁxed-eﬀects trans-ancestry meta-analysis implemented in Metasoft. We identiﬁed 660 loci at genome-wide signiﬁcance ( p  -8), 164 of which have not been previously reported for BMI in any population. We compared the correlation of the eﬀect sizes of lead variants from the trans-ancestry meta-analysis and those in the European GWAS in UK Biobank with ones found in a GWAS of 10900 continental Africans from the AWIGen study.For lead variants that were nominally signiﬁcant in AWIGen, the eﬀect size correlation of the trans-ancestry meta-analysis vs continental Africans was stronger (Pearson correlation = 0.45; p =0.0085) and signiﬁcant compare to that with the European GWAS vs continental Africans (Pearson correlation = 0.35; p =0.084) . Trans-ancestry meta-analysis improved ﬁne-mapping resolution over European ancestry participants in the UK Biobank as indicated by median 99% credible set sizes of 39 and 64, respectively. A polygenic risk score (PRS) derived from the trans-ancestry meta-analysis was more predictive of BMI in the continental Africans than the European ancestry-speciﬁc score. The mean diﬀerence in weight and BMI in the ﬁrst and last deciles of the trans-ancestry PRS was 16.00kg and 6.45kg/m 2 , respectively . The trans-ancestry PRS appeared to convey sex-speciﬁc eﬀects ( P int =1.44 x10 -66 ) in continental Africans, such that the diﬀerence in BMI between ﬁrst and last deciles was three-fold the magnitude in women (8.78kg/m 2 ; p =1.69 x10 -92 ) than men (2.90kg/m 2 ; p =4.86 x10 -18 ). Such an aspect has not been reported in Europeans.Our ﬁndings demonstrate that the inclusion of diverse populations in trans-ancestry meta-analyses improves ﬁne-mapping resolution and enhance the transferability of PRS to African populations",2021
1053,Investigating relative contributions to complex trait architecture from sequence elements originating across multiple evolutionary time-scales,"M. Sohail 1,2 , J. Novembre 3,4 ;  1 Ctr. for Genomic Sci., Natl. Autonomous Univ. of Mexico (UNAM), Cuernavaca, Mexico,  2 Human Genetics, Univ. of Chicago, Chicago, IL,  3 Univ. of Chicago, Chicago, IL,  4 Dept. of Ecology and Evolution, Univ. of Chicago, Chicago, IL","M. Sohail:  None. Regulatory genomic elements have been found to be enriched for heritability across complex traits but can have diﬀerent ages with respect to when they originated and became functionally constrained. We ask whether speciﬁc regulatory elements or sequences that have gained novel function during human evolutionary history are enriched in heritability for complex traits, and if this is enrichment is variable within and among trait domains. We partition heritability along the genome using S-LDSC and previously published genomic annotations from diﬀerent periods of our evolutionary history. These are fetal and adult brain human-gained (HG) enhancers and promoters (H3K27as and H3K4me2 histone modiﬁcation peaks in the cerebral cortex gained in humans compared to mouse and rhesus macaque), human accelerated regions, ancient selective sweeps, Neanderthal introgressed regions, and Neanderthal and Denisovan depleted regions. Meta-analyzing across 41 independent traits analyzed in Hujoel et al (2019) from UK Biobank and other GWAS, we ﬁnd a signiﬁcant heritability enrichment for fetal human gained enhancers and promoters expressed in the cerebral cortex at 7 post-conception weeks (pcw) and at 8.5 pcw, and those expressed in the occipital cerebral cortex (visual processing center) at 12 pcw (FDR",2021
1054,"Rare variant associations from exome sequencing of 454,787 individuals in the UK Biobank","J. D. Backman , A. H. Li, A. Marcketta, D. Sun, C. E. Gillies, D. Liu, A. E. Locke, S. Balasubramanian, A. Yadav, N. Banerjee, J. Kosmicki, J. Mbatchou, A. Damask, X. Bai, E. K. Maxwell, J. Mighty, Regeneron Genetics Center, M. B. Jones, L. J. Mitnaul, L. Habegger, W. Salerno, A. R. Shuldiner, L. A. Lotta, J. Overton, M. Cantor, J. G. Reid, H. M. Kang, J. L. Marchini, A. Baras, G. R. Abecasis, M. A. Ferreira; Regeneron Genetics Ctr., Tarrytown, NY","J.D. Backman:  Salary/Employment; Regeneron Pharmaceuticals. A major goal in human genetics is to use natural variation to understand the phenotypic and biological consequences of each of the protein coding genes in the genome. Towards that goal, we generated and analyzed exome sequencing of 454,787 participants of the UK Biobank (UKB) study, representing the largest catalog of protein-coding variation identiﬁed to date (~12 million variants, including ~8 million missense variants and ~1 million putative loss-of-function [pLOF] variants), exceeding the combined total of gnomAD and TOPmed reference datasets (~9 million variants). Using these data, we ﬁrst evaluated genomic constraint at a resolution not previously possible in humans. For example, we identiﬁed exons depleted of nonsynonymous variation in genes such as KCNQ2  and  U2AF2  (concordant with previous ﬁndings), suggesting that mutations in these highly constrained regions are likely to have deleterious phenotypic consequences. Conversely, we observed an enrichment of nonsynonymous variation in genes associated with clonal hematopoiesis of indeterminate potential (CHIP; eg.  DNMT3A ,  TET2 ), most of somatic origin and consistent with positive selection. We then assessed the impact of rare (MAFâ¤1%) pLOF and deleterious missense variants on 3,998 health- and behavior-related traits, testing the eﬀect of variants individually and also on aggregate, through gene burden tests. We identiﬁed 8,865 signiﬁcant associations with 492 traits at a Bonferroni-corrected signiﬁcance threshold of Pâ¤2x10 -11 . Key ﬁndings from these analyses include: 1) 564 genes associated with at least one trait; 2) 16% of associations identiﬁed with a burden of ultra-rare variants (MAFâ¤0.001%); 3) ~90% of associations remained signiﬁcant after conditioning on nearby common variants identiﬁed through GWAS; 4) associations were highly concordant between European and other ancestries; 5) associations with rare variants were enriched in GWAS loci, and so can help prioritize genes underpinning common, non-coding variant associations; 6) signiﬁcant associations with quantitative traits helped identify 13 protective sub-threshold (Pâ¤10 -4 ) associations with genetically-correlated diseases, such as between a burden of pLOF and deleterious missense variants in  SLC22A12 , lower serum urate, and protection from gout. Overall, we show that the wealth of high-quality phenotype data available in the UKB study, in conjunction of whole-exome sequencing, provides an unprecedented opportunity to elucidate gene function through association studies of protein-coding variants.",2021
1055,"High-resolution structural and temporal mapping illuminates relationships between 3D chromatin structure, enhancer activity, and gene regulation during macrophage activation","K. Reed 1 , E. S. Davis 1 , D. Phanstiel 2 ;  1 Univ. of North Carolina, Chapel Hill, Chapel Hill, NC,  2 UNC, Chapel Hill, NC","K. Reed:  None. DNA loops physically connect enhancers to the promoters of target genes, which can be over a million base pairs away. Many of these loops are cell-type speciﬁc, forming during diﬀerentiation and activation. While these condition-speciﬁc contacts are often accompanied by changes in gene expression and chromatin accessibility, the causal relationships are still unclear. To address this gap, we have conducted a multi-omics time course to map structural and regulatory changes with high temporal resolution, focused on eight time points in the early stages of human macrophage activation. Integration of these datasets revealed the order of events, providing many insights into the relationships between genome architecture, enhancer activity, protein binding, and gene expression. Deeply sequenced in situ Hi-C revealed signiﬁcant rewiring of DNA loops during cellular activation, including some transient loops found only at intermediate time points, and others that changed as quickly as 30 minutes after treatment. RNA-seq, H3K27ac ChIP-seq and ATAC-seq identiﬁed massive changes in gene expression and chromatin accessibility. In general, chromatin accessibility changed faster than most loops and genes. Among stable three-dimensional contacts, enhancers looped to genes showed signiﬁcantly correlated patterns of activation when compared to un-looped matched pairs, with enhancer activation preceding gene activity by approximately 1 hour. Newly formed and strengthened loops correlated with increased internal and anchor gene expression. Surprisingly, we saw a striking anticorrelation between internal gene expression and contact frequency at loops that declined over the course of activation, suggesting that increased gene transcription may be disrupting loop extrusion in some circumstances. On a coarser level, gene expression correlated with A/B compartmentalization as predicted, but changes in transcription appear to drive changes in compartmentalization to a lesser extent than expected. We found that a possible cause for this discrepancy is apparent poising of regions in the A compartment prior to gene activation in the region. The integrated data from this study provides a deep resource for the continued exploration of structural and functional changes in the genome.",2021
1199,Early detection of cancers using plasma cell-free DNA methylomes up to 7 years prior to clinical diagnosis,"N. Cheng 1,2 , D. Soave 3 , K. Skead 4,2 , T. Ouellette 1,2 , S. Bratman 5,2 , D. DeCarvalho 5,2 , P. Awadalla 4,2 ;  1 Ontario Inst. for Cancer Res., Toronto, ON, Canada,  2 Univ. of Toronto, Toronto, ON, Canada,  3 Wilfrid Laurier Univ., Waterloo, ON, Canada,  4 Ontario Inst. Cancer Res., Toronto, ON, Canada, 5 Princess Margaret Cancer Ctr., Toronto, ON, Canada","N. Cheng:  None. Cancer survival rates are signiﬁcantly improved when detected at early stages, particularly when the tumour is still localised to the tissue of origin. However, eﬀective screening tools for early cancer detection is currently limited to a subset of cancer types. Proﬁling cell-free DNA (cfDNA) patterns has emerged as a prominent non-invasive biomarker for detection and subtyping of cancers. However, owing to diﬃculties in observing the early development of human malignancies as cancers are often detected once they become symptomatic, most cancer biomarker and evolution studies to date have primarily examined the genomics from solid tumour or liquid biopsies following a diagnosis. Utilizing cfDNA as a screening tool for early cancer detection requires proﬁling of blood plasma samples collected from asymptomatic individuals prior to the diagnosis of cancers to enable assessment of the earliest detectability and predictive performance of potential biomarkers. Here, we leverage the Canadian Partnership for Tomorrowâs Health Project (CanPaTH), to proﬁle blood plasma collected prior to the clinical detection of underlying cancers. Speciﬁcally, we use cell-free methylated DNA immunoprecipitation and high-throughput sequencing (cfMeDIP-seq), a highly sensitive assay for proﬁling cfDNA methylomes, to proﬁle over 300 blood plasma samples collected up to 7 years prior to the detection of a breast, prostate or pancreatic cancer, in addition to matched controls with no history of cancer free through follow-up. We demonstrate using machine learning that not only can cfDNA methylation markers indicative of breast cancers be detected up to 7 years prior to clinical detection, predictive models classifying these individuals with an undetected cancer can achieve AUROC of 0.76 (95% CI: 0.72 - 0.81). We further highlight that cfDNA methylation markers in blood plasma collected close to diagnosis diﬀer from those collected over 2 years prior to diagnosis revealing potential novel markers at the earliest stages of cancer development. In our current studies, we focus speciﬁcally on breast, prostate and pancreatic cancer cases, and are extending this to further pan-cancer applications in subsequent investigations.",2021
1200,Genetic regulation of DNA methylation across tissues reveals thousands of molecular links to complex traits,"M. Oliva 1 , K. Demanelis 2 , F. Jasmine 1 , Y. Lu 1 , GTEx Consortium, H. Hahsan 1 , K. G. Muhammad 1 , L. S. Chen 1 , B. L. Pierce 1,3,4 ;  1 Dept. of Publ. Hlth.Sci., Univ. of Chicago, Chicago, IL,  2 Dept. of Med., Univ. of Pittsburgh, Pittsburgh, PA,  3 Comprehensive Cancer Ctr., Univ. of Chicago, Chicago, IL, 4 Dept. of Human Genetics, Univ. of Chicago, Chicago, IL","M. Oliva:  None. Epigenetic modiﬁcations play a fundamental role in gene regulation in humans.  We generated DNA methylation (DNAm) data for 987 samples from the Genotype-Tissue Expression (GTEx) project, from 9 tissues  (breast, colon, kidney, lung, muscle, ovary, prostate, testis and whole blood) and 424 subjects. We mapped DNAm quantitative trait loci in  cis  (mQTLs), contrasted mQTLs with expression QTLs (eQTLs) features, and assessed their relative contributions to complex traits. We observed that while eQTL enrichment in transcription factors involved in basal transcription, mQTLs tend to occur in binding sites of proteins involved in 3D organization of the genome . Only 21% of mQTLs were identiﬁed as suggestively colocalized (PP4 > 0.5) with at least one eQTL. These results suggest that  mQTLs and eQTLs diverge in their underlying biological mechanisms  and that genetic co-regulation of DNAm and gene expression is not pervasive. We integrated QTLs with genome-wide association study (GWAS) summary statistics of 87 GWASs and observed that  mQTL colocalizations are abundant and complementary to eQTL-GWAS colocalizations : only 27% (749/2734) of GWAS hits colocalized with both QTL types, while 55% of hits colocalized with mQTLs exclusively. Among those, we identiﬁed an ovary-speciﬁc mQTL colocalized with a breast cancer GWAS signal in the known cancer-associated TERT locus, although TERT expression is generally undetectable in adult tissues. These results emphasize the importance of integrating multiple -omics to maximize the expectation of identifying molecular links to inheritable traits, and suggest that DNAm may be genetically co-regulated with gene expression in a particular context which causally impacts the trait; but unlike gene expression, only methylation is identiﬁable beyond the causal context. We observed that mQTL-GWAS colocalizations are enriched in pleiotropic variants regulating multiple CpG sites (mCpGs) (OR = 2.65, Fisherâs exact test P 0.5) with ovarian cancer risk. These ﬁndings indicate that  mQTLs that exhibit regulatory pleiotropy have increased chances to impact a complex trait , and that genetic variants can drastically modify the DNAm and gene expression landscape in a tissue-speciﬁc manner, impacting disease risk. The DNAm dataset generated herein enhances existing GTEx resources and enables the research community to investigate the inherited susceptibility to human disease from both cross-tissue and cross-omics perspectives.",2021
1201,Widespread evidence of systematic bias in estimates of genetic correlation due to assortative mating,"R. Border 1 , G. Athanasiadis 2 , A. Buil Demur 3 , A. Schork 4 , T. M. Werge 5 , K. S. Kendler 6 , J. Flint 7 , A. Dahl 8 , N. A. Zaitlen 9 ;  1 UCLA, Los Angeles, CA,  2 Roskilde, Denmark,  3 Inst. of Biological Psychiatry, Roskilde, Denmark,  4 Res. Inst. for Biological Psychiatry, Roskilde, Denmark,  5 Univ. of Copenhagen, Roskilde, Denmark,  6 Virginia Commonwealth Univ, Richmond, VA,  7 WellcomeTrust Human Gen, Oxford, United Kingdom,  8 San Mateo, CA,  9 UCSF, San Francisco, CA","R. Border:  None. Positive genetic correlation estimates are commonly interpreted as evidence that two traits share overlapping biological underpinnings. With the increasing availability of large consortium and biobank datasets, considerable research activity has focused on cataloging the genetic correlation structure of complex human traits to better understand shared etiology and transdiagnostic risk factors. In the present work, we demonstrate that primary-phenotypic cross-trait assortative mating (AM) induces substantial genetic correlations among traits with independent genetic eﬀects, which are then overestimated by widely-used marker-based estimators, including genomic-relatedness residual maximum likelihood and linkage disequilibrium score regression (LDSC). For example, a single generation of AM for two 50% heritable traits correlated across mates at r=0.5 will lead to LDSC genetic correlation estimates > 0.2 in the complete absence of pleiotropy. Using empirical cross-mate phenotypic correlation and heritability estimates across a broad array of previously studied anthropometric, metabolic, psychosocial, and psychiatric phenotypes measured in multiple large samples (n ranging between 44,686 and 500,000 individuals), we estimate the extent to which AM alone might plausibly account for previously published genetic correlation estimates. With respect to psychiatric disorders, we demonstrate that even small misdiagnosis errors together with cross-trait AM could account for previous genetic correlation estimates (i.e., without out any true pleiotropy) between some disorders (e.g., Schizophrenia and anxiety disorders), but not others (e.g., Schizophrenia and Bipolar Disorder). Averaging across disorders, AM alone would result in genetic correlation estimates 38.9% as large as those reported by previous studies. Finally, we provide evidence congruent with AM at the genetic level by examining cross-trait cross-chromosome polygenic score correlations. We discuss our results, which indicate that the genetic correlation is an unreliable indicator of shared etiology for the numerous trait-pairs subject to cross-trait AM, in the context of the widespread application of the genetic correlation as a direct measure of biological overlap or shared pathogenesis.",2021
1202,Beneﬁts and cost-eﬀectiveness of cascade testing for pediatric cancer predisposition syndromes: Findings from the PreEMPT Model,"K. D. Christensen 1,2 , G. O'Brien 3 , P. M. McMahon 1 , N. K. Stout 1,2 , J. M. Yeh 3,2 , A. C. Wu 1,2,3 ;  1 Harvard Pilgrim Hlth.Care Inst., Boston, MA,  2 Harvard Med. Sch., Boston, MA,  3 Boston Children's Hosp., Boston, MA","K.D. Christensen:  None. Background Newborn population-based genetic screening may reduce mortality associated with pediatric cancers and could be cost-eﬀective, especially as costs decline. Cascade testing of siblings of newborns with pathogenic variants could further improve population health. Methods The Precision Medicine Prevention and Treatment (PreEMPT) Model projects the incremental beneﬁts, costs, and cost-eﬀectiveness of newborn genetic screening. Using the model to estimate outcomes associated with a 11-gene panel of pediatric cancer predisposition syndromes ( RET, RB1, TP53, DICER1, SUFU, PTCH1, SMARCB1, WT1, APC, ALK,  or  PHOX2B ), we projected outcomes associated with cascade testing of siblings of newborns identiﬁed to be a pathogenic variant carrier via newborn screening. We assumed each newborn had one newborn sibling with a 50% chance of harboring the same variant. Beneﬁts were modeled via reductions in advanced disease, cancer deaths, and treatment-related late mortality, assuming 100% adherence to surveillance. Results In a cohort of 3.7 million newborns, the model estimated 1,584 newborns had pathogenic variants and 792 siblings would have the same variants. An estimated 115 siblings with these variants would develop cancer before age 20 years. If these siblings underwent surveillance for early detection, 15 (95%UI, 11 to 20) cancer deaths would be averted, a reduction of 52% (95%UI, 45% to 59%). Compared with usual care, sibling cascade testing had an incremental cost-eﬀectiveness ratio (ICER) of $17,950 per LY gained (95%UI, $7,070 to $31,450). Even if only 10% of mutation carriers identiﬁed in newborn screening had inherited mutations from parents (and therefore 5% of siblings were therefore expected to be carriers), the ICER increasing only to $23,800/LY gained (95% UI, $11,770 to $40,160). Conclusion Sibling cascade testing could potentially avert half of predicted cancer deaths and be a high-value intervention. Testing of siblings of newborns with pathogenic variants is likely an eﬀective way to enhance cancer outcomes. Findings also highlight how targeted approaches can dramatically improve the value of genetic screening and be more reasonable strategies to achieve population-level beneﬁts.",2021
1288,Interplay between longitudinally-measured gene expression and metabolite levels in whole blood in the MultiMuTHER study,"J. El-Sayed Moustafa 1 , A. Ramisch 2,3 , G. Leday 4 , Y. Jiao 5,6,7 , G. Nicholson 7 , Y. N. Raza 1 , M. Stevens 2,3 , M. Abdalla 5,6,7 , C. Menni 1 , C. Holmes 7 , T. D. Spector 1 , M. I. McCarthy 5,6,8 , S. Richardson 4 , E. T. Dermitzakis 2,3 , K. S. Small 1 ;  1 Dept. of Twin Res. and Genetic Epidemiology, King's Coll. London, London, United Kingdom,  2 Dept. of Genetic Med. and Dev., Faculty of Med., Univ. of Geneva, Geneva, Switzerland,  3 Inst. of Genetics and Genomics in Geneva, Geneva, Switzerland,  4 Med. Res. Council Biostatistics Unit, Cambridge, United Kingdom,  5 Wellcome Trust Ctr. for Human Genetics, Nuﬃeld Dept. of Med., Univ. of Oxford, Oxford, United Kingdom,  6 Oxford Ctr. for Diabetes, Endocrinology and Metabolism, Radcliﬀe Dept. of Med., Univ. of Oxford, Oxford, United Kingdom,  7 Dept. of Statistics, Univ. of Oxford, Oxford, United Kingdom,  8 Oxford NIHR BioMed. Res. Ctr., Oxford Univ. Hosp. Trust, Oxford, United Kingdom","J. El-Sayed Moustafa:  None. Multi-omic datasets represent a snapshot of the systemâs physiological state, and are increasingly being considered for health monitoring and earlier identiﬁcation of disease risk. Deeper understanding of the cross-sectional and longitudinal interplay between concurrently-measured âomics is critical to enabling a systems-wide approach to health monitoring. We therefore explored univariate and multivariate cross-sectional and longitudinal patterns of variation in the MultiMuTHER study, which comprises gene expression (RNASeq - 16,292 genes) and metabolomics (Metabolon-1,197 metabolites) data in whole blood at three or more timepoints over up to eight years per individual from 335 TwinsUK subjects [age range 32-80; median=61yrs]. TwinsUK is a deeply-phenotyped cohort of twins with extensive âomics data and repeat phenotypic measures. We assessed association between gene expression and metabolites, and identiﬁed 105,629 gene-metabolite associations signiﬁcant at a 5% false discovery rate. Approximately 81% of genes and 99% of metabolites were found to have at least one signiﬁcant gene-metabolite association. Expression of each gene was associated with a mean (1 st -3 rd  quartiles) of 8 (2-10) metabolites, while each metabolite was associated with a mean (1 st -3 rd  quartiles) of 116 (13-119) genes. Striking examples of hub metabolites and genes with extensive associations were identiﬁed, including nicotinamide, which was associated with expression of 5,081 genes, as well as a number of genes involved in fatty acid metabolism, including CPT1A, whose expression levels were associated with 309 metabolites, and ACAA2, whose expression levels were associated with 182 metabolites. Longitudinal gene expression association analyses (GEAS) revealed expression levels of ~40% of 16,292 genes showed signiﬁcant change over time (FDR 5%), while ~5% of 915 metabolites showed signiﬁcant longitudinal variation (FDR 5%). Genes showing longitudinal change over time were found to have a higher number of gene-metabolite associations than those exhibiting stable expression over time (P -16), while metabolites exhibiting longitudinal variation did not. In summary, we have performed one of the largest multi-omic longitudinal studies of concurrently-measured gene expression and metabolite levels in whole blood, identifying over 100,000 gene-metabolite associations. This study provides novel insight into the interplay between gene expression and metabolites, and may inform systems-wide approaches to projection of temporal progression of age-related diseases.",2021
1289,Integrative single-cell eQTL analysis of 2.3 million cells elucidates causal gene expression mechanisms and relevant cellular contexts in 34 brain GWAS traits,"Y. Park 1,2 , L. He 3 , N. Sun 4,5 , H. Mathys 4,6 , L. Hou 4,5 , K. Galani 4,5 , L-L. Ho 4,7 , D. Bennett 8 , L- H. Tsai 4,6 , M. Kellis 4,5 ;  1 Univ. of British Columbia, Vancouver, BC, Canada,  2 BC Cancer Res., Vancouver, BC, Canada,  3 Duke Univ., Durham, NC,  4 Massachusetts Inst. of Technology, Cambridge, MA,  5 Broad Inst. of MIT and Harvard, Cambridge, MA,  6 The Picower Inst. for Learning and Memory, Cambridge, MA, 7 Broad Inst. of MIT and Harvard, Canbrudge, MA,  8 Rush Univ., Chicago, IL","Y. Park:  None. Gene expressions in the human brain are maintained and orchestrated by regulatory-genomic models in multiple neuronal and glial cell types. Although common genetic variation may not immediately cause disease phenotypes, polygenic eﬀects of cis-regulatory models of relevant cell types can accumulate over time and eventually alter the disease propensity. To understand cell-type-speciﬁc regulatory mechanisms, we proﬁled single nucleus RNA-seq data of 2.3 million cells across 429 postmortem human brain samples, of which 396 individuals are genotyped by whole genome sequencing. After adjusting batch-speciﬁc eﬀects, ﬁtting a von Mises Fisher mixture model, we hierarchically annotated the cells into 16 distinctive cell types, which include (1) four cortical layers of excitatory neurons, (2) four types of inhibitory neurons, (3) four glial cell types, and (4) four vasculature cell types. In comparison with observed covariates, we found signiﬁcant negative correlations between the fraction of somatostatin(SST)-expressing interneurons with Alzheimer's disease (AD) pathology (p=0.01) and cognitive decline score (p=0.03), and the microglial proportions are positively correlated with AD pathology (p=0.04) and APOÎµ E4 genotypes (p=0.01). We estimated cell-type-speciﬁc multivariate models by regressing pseudo-bulk gene expression proﬁles on thousands of cis-regulatory variants. For the 45% of 26k genes, we identiﬁed 2-3 independent causal eQTLs per gene within 2Mb window (posterior probability > .9), and these independent variants correspond to 2-3 diﬀerent cell types (correlation > .8). On a thousand individuals, we directly compared observed AD-related variables with gene expression variation imputed by cis-regulatory genotypes (TWAS). The signiﬁcant examples include TOMM40 in pericytes associated with amyloid-beta, RAB2A in pericytes and IDI1 in excitatory neurons (L5/6) with tau protein level (FDR",2021
