id,title,authors,disclosures,content,header,year
1020,Biallelic mutations in CDC20 cause female infertility characterized by abnormalities in oocyte maturation and early embryonic development.,"Q. Sang, 1, , L. Zhao, 2, , S. Xue, 3, , Z. Yao, 4, , J. Shi, 5, , L. Wu, 6, , J. Fu, 7, , L. He, 8, , X. Liang, 9, , Y. Kuang, 6, , X. Sun, 7, , L. Wang, 1, ;, 1, Institutes of Biomedical Sciences, Fudan University, Shanghai, China,, 2, School of Life Sciences, Fudan University, Shanghai, China,, 3, Center of Assisted Reproduction, Shanghai East Hospital, Tongji University, Shanghai, China,, 4, Institutes of Biomedical Sciences, Central South University, Changsha, China,, 5, Institutes of Biomedical Sciences, Reproductive Medicine Center, Shaanxi Maternal and Child Care Service Center, Xian, China,, 6, Reproductive Medicine Center, Shanghai Ninth Hospital, Shanghai Jiao Tong University, Shanghai, China,, 7, Shanghai Ji Ai Genetics and IVF Institute, Obstetrics and Gynecology Hospital, Fudan University, Shanghai, China,, 8, Bio-X Institutes, Shanghai Jiao Tong University, Shanghai, China,, 9, Key Laboratory of Molecular Virology & Immunology, Institute Pasteur of Shanghai, Chinese Academy of Sciences, Shanghai, China.",Q. Sang: None.,"Background Successful human reproduction initiates from oocyte maturation, fertilization and early embryonic development, and defects in any of these processes will cause female infertility. However, the underlying genetic factors are largely unknown. Objective We aim to identify the novel genetic factors in female infertility characterized by abnormalities in oocyte maturation, fertilization and embryonic development in early reproductive process. Methods Whole-exome sequencing and Sanger sequencing was used to identify the causative gene CDC20 . Western blotting and immunofluorescence detected the protein expression level in cell lines and sublocalization in oocytes. We further explored a potential therapeutic treatment by injecting CDC20 cRNA into patients’ oocytes for rescue experiments. Results We identified biallelic mutations in CDC20 in five infertile individuals with oocyte maturation arrest, fertilization failure and early embryonic arrest. The mutations caused decreased CDC20 expression, impaired degradation of cyclin B1 in vitro, and led to the functional loss of kinetochore localization in oocytes. In addition, injection of CDC20 cRNA into affected individuals’ oocytes rescued the phenotype and led to the formation of blastocysts in vitro. These findings identified the first human disease caused by mutations in CDC20 and have implications for the therapeutic treatment of such cases in the future. Conclusion Biallelic mutations in CDC20 cause female infertility characterized by abnormalities in oocyte maturation, fertilization and embryonic development in early reproductive process.",Prenatal genetics: From conception to child,2020
1021,START: The study of assisted reproductive technologies,"R. Lyle, 1, ,2, , C. M. Page, 3, ,2, , Y. Lee, 2, , M. C. Magnus, 2, , K. L. Haftorn, 2, , E. Ø. Carlsen, 2, , W. R. P. Denault, 2, , J. Bohlin, 2, , A. Jugessur, 2, , H. E. Nustad, 1, , P. M. Magnus, 2, , H. K. Gjessing, 2, , S. E. Håberg, 2, ;, 1, Medical Genetics, Oslo University Hospital, Oslo, Norway,, 2, Centre for Fertility and Health, Norwegian Institute of Public Health, Oslo, Norway,, 3, Department of Mathematics, University of Oslo, Oslo, Norway.",R. Lyle: None.,"In the last few decades there have been marked changes in patterns of fertility and family structure in rich countries. These include increasing age at childbirth, a lower number of children born to each woman or man, greater use of assisted reproductive technology (ART), higher frequency of family disruptions and increasingly complex family structures. The Centre for Fertility and Health (CeFH; www.cefh.no) consists of a multidisciplinary research team of epidemiologists, geneticists, demographers, sociologists and economists with research themes including fertility problems and intergenerational transmission of health . The START project aims to understand the causes and health consequences of subfertility and how genetic influences and epigenetic differences are associated with subfertility and Assisted Reproductive Technologies (ART). ART may introduce epigenetic changes in the embryo since the procedures are during a period of extensive epigenetic repatterning. It is unknown which genes may be affected and the potential health consequences for the children. START uses data from the Norwegian Mother, Father and Child Cohort Study (MoBa; https://www.fhi.no/en/studies/moba/), which follows more than 110 000 children and their parents. We have collected genetic and epigenetic data from 1000 trios with children born after ART, and 1000 trios from naturally conceived children analyzed with the Illumina EPIC array and the Illumina HumanCoreExome chip. Investigations are focussed on the effect of ART treatment on imprinted genes and fertility genes, and how epigenetic age acceleration interacts with fertility and ART treatment. Our results show DNA methylation changes due to both parental subfertility and ART procedures.",Prenatal genetics: From conception to child,2020
1022,The genetic and epigenetic impact of infertility on placentation through a multi-omics analysis,"M. D. Pisarska, 1, , T. Gonzalez, 1, , M. Goodarzi, 2, , J. Rotter, 3, , I. Chen, 4, , S. Rich, 5, , C. Farber, 5, , K. D. Taylor, 6, ;, 1, Obstetrics and Gynecology, Division Reproductive Endocrinology and Infertility, Cedars Sinai Med Ctr, Los Angeles, CA, USA,, 2, Cedars Sinai Med Ctr, Los Angeles, CA, USA,, 3, LABiomed/ Harbor UCLA, Los Angeles, CA, USA,, 4, LABiomed/HArbor UCLA, Los Angeles, CA, USA,, 5, UVA, Charlottesville, VA, USA,, 6, TGPS, The Lundquist Institute for Biomedical Innovation, Torrance, CA, USA.","M.D. Pisarska: 2. Grant/Research support (External); Self; NIH. 4. Royalty(ies)/Honoraria; Self; Ferring, Natera. 7. Non-remunerative positions of influence such as officer, board member, trustee, or public spokesperson; Self; Endocrine Society Annual Meeting Steering Committee.","Aim: Pregnancy outcomes from couples with infertility are at increased risk of adverse outcomes associated with placentation. To determine if outcomes are associated with genetics of infertility, a multi-omics analyses of chorionic villus samples (CVS) was performed from pregnancies conceived spontaneously and those with infertility. Methods: A subset of the Spontaneous/Medically Assisted/ART (SMAART) Cohort, which consists of pregnancies conceived spontaneously or in couples with infertility conceived either through non-IVF fertility treatment (NIFT) or in vitro fertilization (IVF) [assisted reproductive technologies (ART)], that were enrolled in the late first trimester of pregnancy during CVS and followed until delivery, were used for this study. Of the 409 subjects, those that had all metadata were used for analysis. This includes spontaneous (N=31), NIFT (N=15) and IVF (N=16). Genomic data were generated by OmniExpressExome (688,534 SNPs), methylomics by methylation EPIC (865,855 sites array) (Illumina, San Diego), and transcriptomic by RNA sequencing (61,801 genes). Fetal environment was assessed by metabolomics of mother’s serum (704 metabolites, Metabolon). For the sparse canonical correlation analysis (“PMA” package in R), the penalty was selected based on 1000 permutations and at that penalty 6 correlation sets were extracted. Results: At the penalty selected, the mean correlation across the data landscape was 5.3 in the permutations and 6.8 for correlation set #3 (p = ~0.01). This set encompassed the difference between conceptions conceived spontaneously or with infertility treatment. Seven SNPs and 12 methylation sites affecting genes associated with embryogenesis and dysmorphology, as well as MYOF, a protein associated with the plasma membrane to play a role in calcium-mediated membrane fusion events, were identified. Metabolomic associations were consistent with placental metabolites including lipid metabolism. The most striking observation was the association with mitochondrial regulation across metadata: genomic, ARAF and MYOF; methylomic, MTFR1, MYOF, DNAJC1 and PRKZC1; transcriptomic, 15 nuclear encoded small mitochondrial (MT) RNAs, hypothesized to regulate MT physiology. Conclusion: The underlying genetics of infertility contributes to differences in placentation between pregnancies conceived spontaneously and those with infertility requiring treatment. These differences appear to be the result of alterations in mitochondrial regulation.",Prenatal genetics: From conception to child,2020
1023,Genetic and in-utero environmental contributions to DNA methylation variation in placenta.,"S. Chatterjee, , M. Ouidir, F. Tekola-Ayele;, Epidemiology Branch, Division of Intramural Population Health Research, Eunice Kennedy Shriver, National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD, USA.",S. Chatterjee: None.,"Complex interplays of genetic and environmental factors during in utero life shape cardiometabolic health outcomes across the life course. The placenta, a transient organ between the maternal and fetal interface, undergoes dynamic DNA methylation changes implicated in fetal growth and diseases in later life. While many studies have linked placental methylation variations with either environmental or genetic factors, none have assessed their combined impact. Here we investigated the relative contribution of genetic and in-utero environmental factors on DNA methylation in placenta at variably methylated regions (VMRs), regions in the epigenome with high variability in methylation between individuals. We examined ~2.3 million genotypes and 401K cytosine-phosphate-guanine site (CpG) methylation in placental samples obtained from 301 women from the NICHD Fetal Growth Studies. Linear regression was performed for each VMR tag-CpG against 13 in utero environmental factors consisting maternal sociodemographic, cardiometabolic, and pregnancy outcomes and genotypes within 1Mb window to evaluate 4 models: environment only (E), genotype only (G), additive effect of genotype and environment (G+E) and their interaction effects (GxE). Akaike’s information criterion was used for model selection. We identified 6,819 placental VMRs. VMR tag-CpGs were enriched (p<0.05) for chromatin marks related to transcriptional repression, embryonic development, and cell differentiation. We observed several overlaps between our placental VMR tag-CpGs and CpGs in blood previously associated with cardiometabolic diseases, aging, and pregnancy outcomes. Methylation at 66.9% of VMRs were best explained by gene-environment interaction followed by 24.4% from their additive effect and 8.6% from their genotype only effect while environment alone explained only 0.1% of VMRs. Among the VMRs best explained by GxE, the highest proportions (20%) were due to the interaction of genotype with maternal age. We observed that several top-associated SNPs (or their linkage disequilibrium proxies) in the G, G+E and GxE models overlap with GWAS loci for cancer, autoimmune, neurodegenerative, psychiatric and cardiometabolic diseases. This study identified placental VMRs with important regulatory functional relevance and implicated in several chronic diseases. It also highlights that inter-individual variation in placental DNA methylation is best elucidated by integrating genetic and environmental effects.",Prenatal genetics: From conception to child,2020
1024,"Enrichment, sequencing, and absolute quantification of circulating placental DNA in maternal blood, using DNA methylation.","S. L. Wilson, 1, , S. Shen, 1, , T. Triche Jr., 2, , D. De Carvalho, 3, , M. M. Hoffman, 3, ;, 1, Department of Research, Princess Margaret Cancer Centre, Toronto, ON, Canada,, 2, Department of Bioinformatics, Van Andel Research Institute, Grand Rapids, MO, USA,, 3, Princess Margaret Cancer Centre/University of Toronto, Toronto, ON, Canada.","S.L. Wilson: 1. Major stockholder/ownership interest; Self; United States Provisional Patent Application No. 62/931,411. SYNTHETIC SPIKE-IN CONTROLS FOR CELL-FREE MEDIP SEQUENCING AND METHODS OF USING SAME. November 6, 2019..","Summary. Cell-free methylated DNA immunoprecipitation with high-throughput sequencing (cfMeDIP-seq) was developed to detect tumour DNA in blood. As cancer and placenta share similar DNA methylation profiles, we hypothesized that cfMeDIP-seq would enrich for cell-free placental DNA in maternal blood. We optimized cfMeDIP-seq to enrich for placental DNA in maternal circulation, allowing efficient, non-invasive DNA sequencing, and absolute quantification of circulating placental DNA. Methods. We performed cfMeDIP-seq on 3 healthy maternal plasma samples at 17 weeks. Prior to cfMeDIP, we extracted total cell-free DNA (cfDNA) and added 54 synthetic DNA spike-in controls to account for biological and technical bias. The spike-in controls allow for correction of enrichment and sequencing bias associated with fragment length (80 bp, 160 bp, 320 bp), GC content (35%, 50%, 65%), and CpG dinucleotide fraction within a fragment (1/80 bp, 1/40 bp , 1/20 bp). We generated 2 distinct sequences for each of 27 parameter combinations, one methylated with M.SssI and one left unmethylated. Using Qubit, we quantified synthetic DNA spiked into each library in femtomoles (fmol), then sequenced libraries on an Illumina NovaSeq (2x100 bp). We fit a 4-term generalized linear model to convert mapped read counts to fmol then applied the model to every 300 bp window in the human genome (hg38). We annotated each window to the closest gene based on gencode v.33 annotation. We compared cfMeDIP data with published Illumina HumanMethylation450 (450K) data for 13 placentas (Price et al. 2016) and 2 cfDNA samples extracted from blood taken from nonpregnant women (Moss et al. 2018). Results. cfMeDIP has >99.9% specificity for methylated DNA. 0.01 ng of spike-in sufficed to adjust for uninformative biological and technical variance. CfMeDIP results correlate with placenta (r = 0.67, p < 2×10-16). As expected, principal component (PC) analysis shows PC1 (81% of variance) separating cfMeDIP samples from 450K placenta and nonpregnant cfDNA. PC2 (12% of variance) separates cfMeDIP and placenta from the nonpregnant cfDNA. The top 8% of genes contributing to PC2 are known placenta methylome regulators, including tumour suppressors, transposon silencing elements, and placenta imprinted regions. RASSF1 , a tumour suppressor uniquely methylated in placenta, dramatically contributes to PC2. The linearly dimension-reduced space of PC1 and PC2 shows >5-fold greater separation of cfMeDIP results from nonpregnant cfDNA than from placental DNA, giving clear evidence that cfMeDIP enriches for placental DNA in maternal plasma. CfMeDIP-seq offers a powerful new tool for non-invasive prenatal testing.",Prenatal genetics: From conception to child,2020
1025,Clinical Whole Genome Sequencing in Prenatal Genetic Diagnosis.,"J. Hu, 1, , K. Walker, 1, , E. Venner, 1, , R. Raj, 1, , S. Dugan-Perez, 1, , H. Doddapaneni, 1, , Q. Meng, 1, , S. Stover, 2, , L. Westerfield, 2, , S. Wen, 3, , R. A. Gibbs, 1, ,3, , I. B. Van den Veyver, 2, ,3, ,4, , D. M. Muzny, 1, ;, 1, Human Genome Sequencing Center, Baylor College of Medicine, Houston, TX, USA,, 2, Texas Children’s Fetal Center, Texas Children’s Hospital, Houston, TX, USA,, 3, Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, TX, USA,, 4, Department of Obstetrics and Gynecology, Baylor College of Medicine, Houston, TX, USA.",J. Hu: None.,"Prenatal karyotyping and chromosomal microarray analysis (CMA) and have been widely used for as follow up to ultrasound methods for detection of fetal abnormalities. However, these tests only identify fetal structural anomalies in less than 40% of cases. In recent years, low cost and rapid whole genome sequencing (WGS) has greatly facilitated both clinical diagnosis and genomic research on genetic diseases, focused on neonates and young children. PrenatalSEQ is a multicenter prospective cohort study that aims to examine whether WGS could be applied to determine the presence and frequency of pathogenic or likely pathogenic variants in pregnancies with fetal anomalies identified by ultrasound, but for which no anomaly was detected by CMA. Baylor College of Medicine (BCM) is a study site generating clinical WGS data at the Human Genome Sequencing Center Clinical Laboratory (HGSC-CL) utilizing optimized library protocols for sequence generation on the Illumina NovaSeq 6000 sequencing platform. In the development and optimization of a fast WGS sequencing pipeline for this project, various sample preparation methods using low input DNA (100ng) were tested and assessed for the performance utilizing Kapa Hyper, Illumina TruSeq, and Illumina Nextera Flex protocol with 6 PCR cycles. Utilizing the validated Kapa Hype protocol, library preparation can be achieved in 10 hours. Sequencing metrics for these samples were compared to the well-established PCR-free WGS libraries for coverage and uniformity. Furthermore, genomic DNA extracted from the amniotic fluid (AF) and cultured fetal cells for 5 cases were validated and the WGS profiles were compared. Pathogenic variants were identified equally in both types of specimen. To date, 17 prenatal trios have been processed in HGSC-CL with sample TAT averaging 4 days from genomic DNA accessioning to sequencing data generation. Coverage for these samples averaged 60x, and more than 99.4% of the genome were covered at 10x and above. These results suggest that this fast prenatal WGS test can be effectively integrated into prenatal genetic diagnosis and support this program’s goals to perform a clinical and technical evaluation of all aspects of prenatal WGS in a clinical care setting.",Prenatal genetics: From conception to child,2020
1028,Solving the unsolved: Deletion breakpoint detection increases diagnostic yield of clinical exome sequencing,"R. Torene, , V. Gainullin, A. Vertino-Bell, K. Galens, C. Borroto, J. Scuffins, G. Douglas, J. Keller-Ramey, J. S. Juusola, K. Retterer;, GeneDx, Gaithersburg, MD, USA.",R. Torene: 3. Salary/Employment; Self; employed by GeneDx.,"Last year, we reported on a custom structural variant (SV) discovery tool, SCRAMble (Soft Clipped Read Alignment Mapper, https://github.com/genedx/scramble) to detect breakpoints from clusters of clipped reads. Breakpoint detection can identify copy number variants (CNVs) that are too large for indel callers and too small for depth-based callers, thus finding additional clinically relevant variants. While most SV callers work primarily with whole genome sequencing data, our method was developed specifically for targeted hybridization capture data. We applied SCRAMble prospectively to 77,311 clinical exome samples from 33,021 cases. All positive findings were confirmed by an orthogonal method and reported back to the ordering provider. Of these cases, 7,039 (21.3%) had a positive molecular diagnosis, 439 (6.2%) of which included a large deletion. We reported 76 clinically relevant breakpoint deletions, 40 of which were positive diagnostic findings, accounting for 0.57% of all diagnoses and 7.8% of diagnostic deletions. Notably, 51% of the reported breakpoint deletions were not detected via depth-based calling. Reported breakpoint deletions include 42 single exon, 30 multi-exon, and 4 multi-gene events. Breakpoint-only deletions are smaller and involve fewer exons compared to depth-based calls (median size 1.7kb vs. 111kb, Wilcox p <10 -5 ) making them difficult to detect by other methods. In fact, 20 of the 22 breakpoint-only positive deletions involved just a single exon. Among the breakpoint-only deletions were four partial deletions of exon 4 in MECP2 and two deletions in IQSEC2 . Review of medical records found that 42% of cases with breakpoint-only deletions had prior genetic testing. We suspect the small size of these CNVs allowed them to escape detection until now. Breakpoint detection can also resolve complex events not detected by other methods and help with variant interpretation. In two cases, a large duplication with an interstitial deletion was detected by SCRAMble. In another case, a large deletion with a small insertion causing a frameshift was identified. Breakpoint resolution also allows for more targeted, cost-effective confirmation strategies such as PCR instead of arrays. Adding breakpoint detection to clinical exome sequencing identifies positive findings, which were missed by prior testing and by depth-based CNV calling. Detecting breakpoints also allows for more precise clinical interpretation and confirmation.",Molecular and Cytogenetic Diagnostics: What have we been missing?,2020
1029,Detection and reporting of disease-causing repeat expansions in a clinical whole genome sequencing test.,"R. Hagelstrom, 1, , A. Chandrasekhar, 1, , S. A. Schmidt, 2, , A. Chawla, 1, , A. Coffey, 1, , E. Dolzhenko, 3, , V. Rajan, 1, , M. A. Eberle, 1, , D. R. Bentley, 1, , D. L. Perry, 1, , R. J. Taft, 1, ;, 1, Illumina, San Diego, CA, USA,, 2, Clinical Genomics, Illumina, Inc, Goodyear, AZ, USA,, 3, Clinical Genomics Research, Illumina, Inc., San Diego, CA, USA.",R. Hagelstrom: None.,"The Illumina Clinical Services Laboratory (ICSL) is a CLIA-certified, CAP-accredited laboratory that performs clinical whole genome sequencing (cWGS) for patients with suspected genetic disease. Historically, the ICSL cWGS test has included interpretation and reporting of single nucleotide variants (SNVs), small insertions and deletions, copy number variants (CNVs), mitochondrial SNVs, and SMN1 status. Here we report on the recent addition of short tandem repeat (STR) expansion detection. Historically STRs have been validated per loci with a specific assay. Since cWGS allows the ability to test variant types across the genome, a class-based variant validation strategy has been successfully applied to SNVs, CNVs, indels, and mitochondrial variants. Here we extended this practice to be able to detect STR expansion using the Expansion Hunter (EH) software package across nine loci representative of four different STR sequences (CGG, GAA, CAG and CTG). The analysis workflow involved a rubric that defined a given STR as “expanded” if it showed sequencing read support beyond the pathogenic range, as well as a quality control step involving visual inspection of each variant call using sequence graph pileupsno pr. cWGS of 168 patients who were tested clinically using the standard of care PCR-based tests included patient samples with Fragile X, myotonic dystrophy, spinocerebellar ataxia (SCA1, 2, 3, 6, and 7), spinal bulbar muscular atrophy , and the recessive Friedreich ataxia revealed an overall expansion detection performance of 97.9% sensitivity and >99% specificity. The successful validation of STRs has allowed inclusion of twenty one STR loci as part of the RUGD test definition since November 2019. Of the 280 cases tested to date, STR expansions consistent with the patient’s phenotype have been reported in four cases - two myotonic dystrophy (DMPK) and two Friedreich ataxia (FXN). For three of these cases, trio or greater family structures were available and cWGS confirmed STR expansion segregation and anticipation. Taken together these data demonstrate that WGS is able to robustly detect STR expansions across the majority of disease-associated loci and resolve previously unsolved cases. This further expands the potential of WGS to serve as a comprehensive first-line test for patients with a suspected genetic disease.",Molecular and Cytogenetic Diagnostics: What have we been missing?,2020
1030,"Systematic evaluation of prenatal and pediatric diagnostic yields from whole genome sequencing in 6,973 individuals","C. Lowther, 1, ,2, ,3, , E. Valkanas, 1, ,2, ,4, , J. L. Giordano, 5, , H. Z. Wang, 1, , B. B. Currall, 1, ,2, ,3, , K. O'Keefe, 1, ,2, , R. L. Collins, 1, ,2, ,6, , C. A. Austin-Tse, 1, ,7, , E. Evangelista, 8, , V. S. Aggarwal, 9, , D. Lucente, 1, , J. Y. An, 10, , D. Werling, 11, , S. Dong, 12, , S. Sanders, 13, , B. Devlin, 14, , K. L. Gilmore, 15, , B. C. Powell, 16, , A. Brandt, 16, , F. Vetrini, 17, , J. C. Hodge, 17, , A. O'Donnell-Luria, 1, ,2, ,18, , D. G. MacArthur, 2, ,1, ,19, ,20, , D. B. Goldstein, 21, , H. L. Rehm, 1, ,2, , N. L. Vora, 15, , B. Levy, 22, , H. Brand, 1, ,2, , R. J. Wapner, 23, , M. E. Talkowski, 1, ,2, ,3, ;, 1, Center for Genomic Medicine, Massachusetts General Hospital, Boston, MA, USA,, 2, Program in Population and Medical Genetics, The Broad Institute of M.I.T. and Harvard, Cambridge, MA, USA,, 3, Department of Neurology, Harvard Medical School, Boston, MA, USA,, 4, Program in Biological and Biomedical Sciences, Division of Medical Sciences, Harvard Medical School, Boston, MA, USA,, 5, Department of Obstetrics & Gynecology, Columbia University Medical Center, New York, NY, USA,, 6, Program in Bioinformatics and Integrative Genomics, Division of Medical Sciences, Harvard Medical School, Boston, MA, USA,, 7, Department of Pathology, Harvard Medical School, Boston, MA, USA,, 8, Program in Population and Medical Genetics, The Broad Institute of M.I.T. and Harvard, Boston, MA, USA,, 9, Pathology and Cell Biology, Columbia University, New York, NY, USA,, 10, School of Biosystem and Biomedical Science, Korea University, Seoul, Korea, Republic of,, 11, Department of Genetics, University of Wisconsin-Madison, Madison, WI, USA,, 12, Department of Psychiatry, UCSF Weill Institute for Neurosciences, San Francisco, CA, USA,, 13, Psychiatry, University of California San Francisco, San Francisco, CA, USA,, 14, Dept Psychiatry, University of Pittsburgh, Pittsburgh, PA, USA,, 15, Department of Obstetrics and Gynecology, Division of Maternal-Fetal Medicine, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA,, 16, Department of Genetics, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA,, 17, Department of Medical and Molecular Genetics, Indiana University, Indianapolis, IN, USA,, 18, Division of Genetics and Genomics, Boston Children's Hospital, Boston, MA, USA,, 19, Centre for Population Genomics, Garvan Institute of Medical Research and University of New South Wales, Sydney, Australia,, 20, Centre for Population Genomics, Murdoch Children's Research Institute, Melbourne, Australia,, 21, Institute for Genomic Medicine, Columbia University Medical Center, New York, NY, USA,, 22, Dept Pathology & Cell Biology, Columbia University Medical Center, New York, NY, USA,, 23, Dept OB/GYN, Columbia University Irving Medical Center, New York, NY, USA.",C. Lowther: None.,"Clinical genetic testing in prenatal and pediatric cases has traditionally required a decision to screen for specific genes or mutational classes a priori as evaluation of all combinations of genes and variants has been technologically intractable. Whole-genome sequencing (WGS) offers the potential to transform genetic diagnostics by capturing all classes of variation in a single test. However, standardization of analytical methods and systematic benchmarking of diagnostic yields from WGS against conventional tests are lacking. To determine the impact of WGS in prenatal and pediatric diagnostics, we performed WGS on 1,612 autism spectrum disorder (ASD) quartet families (n=6,448 individuals) and 175 trios (n=525 individuals) with an ultrasound detected fetal structural anomaly (FSA) and directly compared these results with existing variant calls from karyotype, chromosomal microarray (CMA), and whole-exome sequencing (WES). We jointly identified short variants and structural variants (SVs) using GATK and GATK-SV. All variants were filtered using our custom analysis pipeline and were manually reviewed for pathogenicity following standard clinical guidelines. Our WGS pipelines produced a total of 1,082 potentially pathogenic variants for manual review in the ASD cohort, corresponding to an average of 0.58 variants (range: 0-6) per ASD proband. We identified a diagnostic variant in 158/1,612 (9.8%) ASD probands, an over seven-fold greater yield (OR=7.1, 95% CI=4.7-11.3; P=1.1x10 -26 ) than in their unaffected siblings (n=24/1,612; 1.5%). The diagnostic yield of WGS was higher than WES (n=78/1,612; 4.8%) and CMA (n=82/1,612, 5.1%), and WGS identified a unique diagnostic variant in an additional ten (0.62%) ASD probands. After pre-screening the FSA trios for karyotype and CMA abnormalities, our WGS pipeline produced a total of 988 potentially pathogenic variants for manual review, corresponding to an average of 6.3 (range: 0-18) variants per trio. WGS identified a diagnostic variant in 13.1% of the FSA cases. In cohorts unscreened with karyotype, CMA, and WES, we estimate that WGS could identify a diagnostic variant in 47.7% of FSA trios and provide a 1.7% increase in yield beyond the combination of these tests. This study suggests that WGS is superior to any individual diagnostic approach and warrants further evaluation as a first-tier test in prenatal and pediatric diagnostics. Nonetheless, the relatively small increase in diagnostic yield from WGS should temper enthusiasm regarding substantial increases in interpretable pathogenic variation until significant improvements in non-coding variant annotation and interpretation are realized.",Molecular and Cytogenetic Diagnostics: What have we been missing?,2020
1031,Whole genome sequencing improves clinical management in acutely ill newborns with suspected genetic disease: results of the NICUSeq study,"R. J. Taft, 1, , I. D. Krantz, 2, , L. Medne, 3, , J. Weatherly, 4, , T. Wild, 4, , S. Biswas, 5, , L. Brunelli, 6, , K. Fishler, 7, , D. Hoover, 7, , D. Dimmock, 8, , J. Knight, 9, , A. Schwarz, 9, , O. M. Vargas-Shiraishi, 10, , K. Wigby, 11, , N. Zadeh, 9, , M. Shinawi, 12, , J. Wambach, 13, , D. Baldridge, 13, , F. Cole, 13, , D. Wegner, 14, , C. W. Brown, 15, , N. Urraca, 16, , S. Holtrop, 16, , Illumina Clinical Services Laboratory, T. Brocklehurst, 17, , K. D. Robinson, 18, , J. Ortega, 17, , J. W. Belmont, 19, ;, 1, Illumina Inc, San Diego, CA, USA,, 2, Department of Pediatrics/ Human Genetics, Children's Hospital of Philadelphia, Philadelphia, PA, USA,, 3, Division of Human Genetics, Children's Hospital of Philadelphia, Philadelphia, PA, USA,, 4, Children's Hospital of Philadelphia, Philadelphia, PA, USA,, 5, University of California, San Francisco, San Francisco, CA, USA,, 6, Pediatric, Div of Neonatology, University of Utah School of Medicine, Salt Lake City, UT, USA,, 7, University of Nebraska Medical Center, Omaha, NE, USA,, 8, Rady Children's Institute, Genomic Medicine, San Diego, CA, USA,, 9, Children's Hospital of Orange County, Orange, CA, USA,, 10, PICU-NICU, Children's Hospital of Orange County, Orange, CA, USA,, 11, Genetics, Rady Children's Hospital-San Diego, San Diego, CA, USA,, 12, Dept Pediatric Gen, Box 8116, Washington University, St Louis, MO, USA,, 13, Pediatrics, Washington University, St. Louis, MO, USA,, 14, Washington University, St Louis, MO, USA,, 15, Pediatrics/Genetics Division, University of Tennessee Health Science Center, Memphis, TN, USA,, 16, Le Bonheur Children's Hospital, Memphis, TN, USA,, 17, Illumina, Inc, San Diego, CA, USA,, 18, Illumina, Inc., San Diego, CA, USA,, 19, Population & Medical Genomics, Illumina, Houston, TX, USA.",R.J. Taft: 1. Major stockholder/ownership interest; Self; Illumina Inc.,"At least 8% of newborns in the United States are admitted to a neonatal intensive care unit (NICU) annually and up to 20% will suffer from a rare monogenic condition. Clinical whole genome sequencing (cWGS) shows promise as a comprehensive genetic testing platform, but few studies have investigated the impact of WGS testing on changes of clinical management. Here we report on the results of the NICUSeq study, a multi-center, randomized time-delayed clinical trial investigating the impact of WGS on change of management (COM) in the neonatal critical care setting (NCT03290469). Inclusion criteria were simplified to mimic the usual application of genomic testing, and emphasized a clinician’s judgement that an infant could have a genetic condition. The difference in COM between participants randomized to either receive cWGS results at 15 days or 60 days after enrollment was assessed using a four component clinical care rubric. All participants continued to receive usual care (UC) testing. The total observation period extended to 90 days after enrollment. A total of 354 participants were randomized to either the 15-day (n=176) or the 60-day-arms (n=178) across five academic medical centers in the continental United States. Participants were 57% male and 43% female and broadly representative of the patient demographics at each study site. Twice as many of the 15-day arm participants had a COM compared to those in the 60-day arm (34 vs 17, p=0.0086; OR 2.3 [95% CI: 1.22, 4.32]). The most frequent changes of management were subspecialty referrals (n=37), medications (n=19) and surgery or other invasive procedures (n=16). The diagnostic efficacy of cWGS in the 15-day-arm (31%) was higher than observed UC rates in either the 15-day (18%) or 60-day (15%) arms (within subject analysis p=7.658*10^-7). Participants in the 60-day arm showed further doubling of COM (17 vs 23) and diagnostic efficacy (27 vs 29) at day 90. Clinical WGS is associated with an approximately two-fold increase in change of management and diagnostic efficacy compared to UC in the neonatal critical care setting. cWGS should be considered as a first-line test in this care setting for patients with a suspected genetic disease.",Molecular and Cytogenetic Diagnostics: What have we been missing?,2020
