title,authors,content,header,year
Innovative non-viral delivery of CRISPR/Cas9 gene editing for neurogenetic disorder of Angelman syndrome,"X. Lu , Y. Xie, Y. Bao, G. Long, W. Sheu, J. Zhou, Y-H. Jiang; Yale Univ. Sch. of Med., New Haven, CT","Gene editing using CRISPR/Cas9 for neurogenetic disorders is challenged by difficulty in crossing blood-brain barrier, limited penetration, and narrow therapeutic windows. While modified adeno-associated virus (AAVs) overcome some of these barriers, their immunogenicity and higher risk of off-target effects due to the long-term presence of Cas9 protein limits their translational value for human neurogenetic disorders. To address this, we developed an innovative non-viral delivery tool using chemically modified ribonucleoprotein (RNP) conjugated with Cas9 protein and sgRNA (cRNP-Cas9/sgRNA, cRNPcg). Due to its small size (12um), cRNPcg achieved effective penetration of neuronal cells in the brain and the transient Cas9 protein substantially reduced the risk of off-target effects. We tested the cRNPcg in vitro and in vivo for Angelman syndrome (AS), a neurodevelopmental disorder caused by the deficiency of neuronal and maternal-specific  UBE3A  gene expression. The repressed expression of  UBE3A  in the paternal chromosome is mediated by the paternally expressed non-coding  UBE3A  antisense transcripts ( UBE3A-ATS ). Inactivation of  UBE3A-ATS  via antisense oligo (ASO) has shown positive clinical efficacy in ongoing phase 1/2 clinical trials. However, the transient effect of ASO requires monthly intrathecal deliveries posits a challenge as a standard clinical treatment. We designed cRNPcg system selectively inactivates  Ube3a-ATS  expression and potentially achieves permanent therapeutic effects via a single treatment. Using  Ube3a-YFP  reporter mice, we observed high gene editing efficiency (>75% targeting cells) with widespread brain penetration. We intrathecally administered cRNPcg to newborn (P1-2) and P21 AS  Ube3 a m-/p+  model and observed significant reduction of  Ube3a-ATS  and reactivation of  Ube3a  up to 30% of normal levels across the cortex, hippocampus, and cerebellum. Accordingly, this treatment led to significant improvement in multiple behavioral domains, including locomotor function, anxiety-like behaviors, learning and memory, and also extended the latency for chemical-induced myoclonic and tonic seizures in adult AS  Ube3 a m-/p+  mice. Importantly, we have not observed any acute or chronic toxicity associated with cRNPcg. Moreover, we have found cRNPcg effectively reactivates  UBE3A  expression from the paternal chromosome in AS patients’ hIPSC-derived neural progenitor cells with large maternal deletions of 15q11-q13. Together, our results demonstrated cRNPcg is an innovative platform to deliver CRISPR/Cas9 gene editing to the brain that has broad applications and potential to treat many other neurogenetic disorders. Page  3  of  16",Featured Plenary Abstract Session I,2023
"Protein-truncating variants in  BSN  are associated with severe obesity, type 2 diabetes and fatty liver disease","Y. Zhao 1 , M. Chukanova 2 , K. Kentistou 1 , A. M. Siegert 2 , R. Jia 1 , G. Dowsett 2 , E. Gardner 1 , F. R. Day 1 , L. R. Kaisinger 1 , Y-C. L. Tung 2 , B. Y. H. Lam 2 , H-J. C. Chen 2 , F. Merkle 2 , N. J. Wareham 1 , S. O'Rahilly 2 , K. K. Ong 1 , G. S. H. Yeo 2 , J. R. B. Perry 1,2 ;  1 MRC Epidemiology Unit, Wellcome-MRC Inst. of Metabolic Sci., Univ. of Cambridge Sch. of Clinical Med., Cambridge, United Kingdom,  2 Metabolic Res. Lab., Wellcome-MRC Inst. of Metabolic Sci., Univ. of Cambridge Sch. of Clinical Med., Cambridge, United Kingdom","Obesity is a major risk factor for many common diseases and has a significant heritable component. While clinical and large-scale population studies have identified several genes harbouring rare alleles with large effects on obesity risk, there are likely many unknown genes with highly penetrant effects remaining. To this end, we performed whole exome-sequence analyses for adult body mass index (BMI) in up to 587,027 individuals. We identified rare, loss of function variants in two genes -  BSN  and  APBA1  - with effects on BMI substantially larger than well-established obesity genes such as  MC4R . One in ~6500 individuals carry a heterozygous protein truncating variant (PTV) in  BSN , which confers a 6.6, 3.7 and 3-fold higher risk of severe obesity (BMI >40kg/m 2 ), non-alcoholic fatty liver disease and type 2 diabetes, respectively. In contrast to most other obesity-related genes, rare variants in  BSN  and  APBA1  had no apparent effect on childhood adiposity. Furthermore,  BSN  PTVs magnified the influence of common genetic variants associated with BMI, with a common polygenic score exhibiting an effect on BMI twice as large in  BSN  PTV carriers than non-carriers. Finally, we explored the plasma proteomic signatures of  BSN  PTV carriers as well as the functional consequences of  BSN  deletion in human iPSC-derived hypothalamic neurons. These approaches highlighted a network of differentially expressed genes that were collectively enriched for genomic regions associated with BMI, and suggest a role for degenerative neuronal synaptic function and neurotransmitter release in the etiology of obesity. Page  4  of  16",Featured Plenary Abstract Session I,2023
Implicit bias in genetics education and healthcare: Traditional textbook photographs elicit negative student responses while natural photographs are educational and stimulate positive quality of life perceptions.,"C. Falugi 1,2 , S. Hashmi 3 , N. Wood 4 , C. Hornbuckle 5 , R. Guidotti 6 , C. Singletary 2,3,7 , A. D'Angelo 8 , J. Nguyen 9 , L. Vanner-Nicely 10 , S. Elsea 11 ;  1 Univ. of Texas Med. Branch, Galveston, TX,  2 Genetic Counseling Program, Univ. of Texas MD Anderson Cancer Ctr. UTHlth.Houston Graduate Sch. of BioMed. Sci., Houston, TX,  3 Dept. of Pediatrics, McGovern Med. Sch. at UTHlth.Houston, Houston, TX,  4 Sarasota Mem. Hosp. Cancer Inst., Sarasota, FL,  5 Dept. of Genetics, Children's Hlth.System of Texas, Dallas, TX,  6 Positive Exposure, New York, NY,  7 Dept. of Obstetrics, Gynecology and Reproductive Sci., McGovern Med. Sch. at UTHlth., Houston, TX,  8 Dept of Genetics, LSU Hlth.Sci. Ctr., New Orleans, LA,  9 Clinical Genetics, Cook Children’s Hosp., Fort Worth, TX,  10 Dept. of Obstetrics and Gynecology, Virginia Commonwealth Univ., Richmond, VA,  11 Dept. of Molecular and Human Genetics, Baylor Coll. of Med., Houston, TX","Traditional textbook images historically used in healthcare education often depict individuals with visible genetic conditions in the nude and in stark, clinical settings to emphasize dysmorphic features. Images taken in natural surroundings may offer a different perspective and educational opportunity. To assess the effectiveness of natural images in comparison to traditional textbook photos for educational purposes and their impact on viewers’ perceptions, we surveyed medical, dental, nursing, and allied healthcare students in a two-phase analysis. In phase one, 516 students were randomly assigned to online knowledge-based surveys modeled after textbook entries on Marfan, Cornelia de Lange, and Noonan syndromes that included either traditional textbook photographs or natural portraits. Comprehensive analysis of the presented information revealed no significant difference in the readers’ understanding of the subject material when viewing natural or traditional images. Phase two, a crossover study, assessed the influence of these photographs on students’ (n=549) perceptions of the depicted individual with the genetic condition and their quality of life using a Characteristic Assessment (CA) composed of 7 Likert scale questions, a Perception Assessment (PA) consisting of 18 yes/no adjective-association questions, and open-ended response questions. Natural images positively influenced the perception of the depicted individuals with visible genetic conditions and were more often associated with positive characteristics (e.g., beautiful, respectful, intelligence, higher quality of life) (p&lt;0.05), while traditional textbook photographs consistently elicited negative perceptions and were associated with negative characteristics (e.g., degrading, institutionalized, humiliating, neglected) (p&lt;0.05). These associations were evident regardless of which photograph was viewed first. Unsolicited comments from participants centered on students finding natural photos educational and beneficial, positive changes in their perception after viewing natural photographs, and their utility for patient and their family members’ education. Photos are a common media utilized in healthcare student education and have long-lasting impact on learners’ views, perceptions, and knowledge. Preconceived or implicit bias in healthcare must be addressed early in education. Utilizing patient-centered images will support change by reducing the   biases associated with genetic conditions that are reinforced by more traditional approaches to healthcare student education. Page  5  of  16",Featured Plenary Abstract Session I,2023
Reconstructing the  cis -regulatory landscape of archaic hominids using deep learning.,"A. Patel , G. K. Marinov, A. Kundaje; Stanford Univ., Stanford, CA","Sequencing ancient genomes has revolutionized our understanding of human evolution. However, the potential of these sequences remains untapped, as the impact of genetic variation in these genomes, particularly in cis-regulatory elements, is poorly understood. In this study, we employ interpretable deep learning techniques to investigate the functional consequences of over 50,000 unique variants found in the genomes of Neanderthals and Denisovans, the closest archaic hominid species to humans. We trained deep learning models to accurately map DNA sequences to base-resolution chromatin accessibility profiles across over 1500 diverse cellular contexts from the ENCODE project. Leveraging these models, we conduct in silico mutagenesis experiments to quantify and score the regulatory effects of each variant within specific cell contexts, shedding light on disrupted sequence features. Our analysis reveals enriched variant effect sizes in specific organs and tissue systems, including the nervous system (with a focus on brain development), metabolism, and skeletal morphology. By clustering variant effects across cell types, we identify distinct clusters associated with heightened activity in brain tissue, immune cells, and other important cell types. These findings are consistent with known differences between archaic and modern humans, as corroborated by previous studies and the skeletal record. To gain insights into the mechanisms underlying these regulatory effects, we utilize feature attribution methods to predict the disruption of transcription factor sequence motifs by the variants. Notably, we discover instances of motif creation and disruption near functionally relevant genes due to hominid alleles. For example, an archaic allele near brain-related genes  SPRY3  and  TMLHE  generates a predicted accessibility peak by creating a leucine zipper motif, suggesting its potential involvement in nervous system regulation in archaic humans. Furthermore, we observe compelling cases of synergistic variant effects, where high accessibility impacts are predicted only when a series of archaic variants in close proximity are substituted together, highlighting the importance of considering variant combinations. This work represents the first quantitative analysis of cell context-specific regulatory differences in chromatin activity between modern humans and our closest archaic hominid relatives. Our study provides a comprehensive dataset of archaic variant effects specific to cell types, highlighting the utility of deep learning approaches in unraveling the intricacies of archaic genomes. Page  6  of  16",Featured Plenary Abstract Session I,2023
Modeling and characterizing development of transposition of the great arteries using patient-derived iPSC cardiac organoids,"M. Keever-Keigher 1 , D. A. Louiselle 1 , J. C. Means 1 , S. T. Younger 2 , C. Smail 3 ;  1 Children's Mercy Res. Inst., Kansas City, MO,  2 Children's Mercy Kansas City, Kansas City, MO,  3 Children's Mercy Kansas City, Leawood, KS","Transposition of the great arteries (TGA) is a congenital heart defect where the normal connections of the ventricles and arteries are reversed. Specifically, in dextro-transposition of the great arteries (d-TGA), the attachment of the aorta to the right ventricle and the pulmonary artery to the left ventricle results in parallel circulation of deoxygenated and oxygenated blood. Thus, deoxygenated blood is unable to travel back to the lungs for reoxygenation. Much of our current understanding of the development of d-TGA is derived from genome-wide association studies, whole exome sequencing, whole genome sequencing, and animal studies. While these studies have aided in our understanding of the genetics of d-TGA, the complex nature and timing of onset of d-TGA in utero contribute to the difficulty of precisely identifying genes and pathways involved in this phenotype. Identification of d-TGA cases before birth is a critical unsolved challenge as undetected cases require emergency surgical intervention. We hypothesized that single-cell functional profiling of patient-derived induced pluripotent stem cells (iPSCs) across differentiation timepoints would recapitulate causal gene regulatory landscapes and help pinpoint the timing of d-TGA onset. To test this hypothesis, we combined clinical whole genome sequencing with single-cell RNA-seq and ATAC-seq of iPSCs across eight differentiation timepoints - from embryonic bodies to cardiac organoids - from a d-TGA patient case and this patient’s morphologically normal parents. As proof-of-concept of our iPSC approach, we compared bulk RNA-seq expression of candidate d-TGA genes (HPO ID: HP0031348; N genes = 7) in 1,441 iPSC lines from the i2QTL consortium resource with disease-relevant tissue samples from GTEx (Atrial Appendage and Left Ventricle), reprocessing GTEx to match the i2QTL processing pipeline. Six of the seven genes were identified in the i2QTL resource:  SMG9 ,  ACVR2B ,  ZNF462 ,  NODAL ,  ZIC3 ,  SMAD2 . Five of these genes had significantly increased expression (mean logFC = 3.15; FDR &lt; 0.05) in iPSCs compared to the selected GTEx data. We performed an additional analysis using d-TGA candidate genes prioritized by state-of-the-art variant interpretation software (Illumina Emedgene). Our proof-of-concept findings support the rationale for using iPSCs to understand the complex causal mechanisms of d-TGA candidate genes. Ultimately, we expect single-cell iPSC functional profiling across developmental timepoints from this rare disease family to yield important insights into the role of candidate genes in the development of d-TGA, as well as pathways and gene networks in which they participate. Page  7  of  16",Featured Plenary Abstract Session I,2023
In vivo correction of human phenylketonuria variants via prime editing and base editing: A gateway to equitable treatment of inborn errors of metabolism.,"D. Brooks 1 , M. N. Whittaker 1 , S. A. Grandinette 1 , X. Wang 1 , R. C. Ahrens-Nicklas 2 , K. Musunuru 1 ;  1 Univ. of Pennsylvania, Philadelphia, PA,  2 Children’s Hosp. of Philadelphia,, Philadelphia, PA","Phenylketonuria (PKU), an autosomal recessive disorder caused by pathogenic variants in the phenylalanine hydroxylase ( PAH ) gene, results in the buildup of blood phenylalanine (Phe) to neurotoxic levels. Current dietary and medical treatments are chronic and reduce, rather than normalize, blood Phe levels. The most frequently occurring  PAH  variants in PKU patients are c.1222C>T (R408W), c.1066-11G>A, c.782G>A (R261Q), c.728G>A (R243Q), c.1315+1G>A, and c.842C>T (P281L), varying widely across populations. R408W is the most prevalent variant in the U.S. and parts of Europe. Using real-world data from a PKU cohort managed at a Metabolic Specialty Clinic, we found that most patients with at least one R408W allele (n = 36) experience chronic, severe Phe elevations and do not meet Phe monitoring guidelines—highlighting the high unmet medical need arising from the challenges of lifelong adherence to dietary and medical therapy. Motivated by these findings, we are developing “one-and-done” CRISPR editing therapeutics for PKU. We have established a pipeline to rapidly screen and optimize prime editing or base editing strategies in vitro and deploy them in vivo with either lipid nanoparticles (LNPs) or adeno-associated viral (AAV) vectors on a timescale of months. In initial work, we created six humanized PKU mouse models with the aforementioned  PAH  variants and, in parallel, prime-edited variant-bearing hepatocyte cell lines. In homozygous or compound heterozygous PKU mice, we observe complete and long-term durable normalization of blood Phe levels (>90% reduction) as soon as 48 hours after treatment, with whole-liver corrective  PAH  editing as high as >50% with either prime editing or base editing. We have developed therapeutic leads for R408W and P281L to permanently normalize blood Phe levels and definitively treat PKU in these patients—on track for early-phase clinical trials within a few years—and have promising candidates for the other  PAH  variants. Despite these encouraging results, we are cognizant of the risk of “mutational discrimination” in unduly focusing on high-prevalence variants skewed towards specific ancestry groups. Accordingly, we have extended our pipeline to develop and validate a corrective therapeutic for any variant in any patient with a hepatic inborn error of metabolism. We have begun to apply this workflow in real time to patients with devastating, ultra-rare inborn errors of metabolism such as urea cycle disorders and organic acidemias, tackling any variant—even n-of-1 variants—identified via universal newborn screening. Our goal is to be able to rapidly devise and deploy a personalized editing treatment for any patient in need. Page  8  of  16",Featured Plenary Abstract Session II,2023
A single cell eQTL atlas for cell type specific regulatory effects,"L. Wang , D. Liu; Penn State Coll. of Med., Hershey, PA","GWAS has discovered many associations between human complex traits and diseases. Most associated variants are non-coding and regulate gene expression. Identifying the target genes requires integrating expression quantitative trait locus (eQTL) data from TWAS or colocalization analysis. However, many GWAS hits fail to colocalize with eQTL variants, possibly because regulatory effect differences between cell types are not captured by bulk RNASeq data. Single-cell RNASeq (scRNASeq) can systematically characterize cellular heterogeneity of gene expression. By grouping scRNASeq into pseudo-bulks of similar cell types, cell type specific eQTLs (sc-eQTLs) can be calculated. As in sc-RNASeq data, the success of TWAS and colocalization critically depends on the power of sc-eQTL studies. The largest sc-eQTL datasets contains 1000s of individuals, which are still much smaller than bulk RNASeq data. To improve the power of sc-eQTL datasets, we develop a new method JOBS (Joint analysis Of Bulk and Sc-eQTL). JOBS relies on the key insight that bulk eQTL datasets can be viewed as a weighted average of sc-eQTLs from constituting cell types. Jointly analyzing bulk- and sc-eQTL datasets with a compositional model will borrow strength from the large sample size of bulk eQTL datasets and substantially improve sc-eQTL effect estimates from different cell types. Applying JOBS, we jointly analyze OneK1K (a large sc-eQTL data with N =966) and eQTLGen (a large bulk eQTL data with N = 31684) and validate the results in DICE and sc-eQTLGen. JOBS identifies 41.5% and 67.6% more eGenes, i.e., genes with at least one significant eQTL (p< 0.05 with Bonferroni correction), that are replicated in DICE and sc-eQTLGen. To illustrate the utility of JOBS, we compiled GWAS summary statistics from 14 autoimmune diseases with largest n = 740000. Using COLOC, we colocalize 271 loci, which is 29.86% and 33.21% more than using OneK1K and eQTLGen respectively. We also employed the summary statistics-based TWAS method EXPRESSO with OneK1K, eQTLGen, JOBS-eQTLs, and mashR-eQTLs, and individual level data based TWAS method UTMOST and PrediXcan. EXPRESSO-JOBS yields 25.26%, 26.54%, 22.57%, 39.22%, and 79.72% more significant prediction models compared to alternative methods. Applying our results to 14 immune-related traits, JOBS identified 86.9% and 50.2% more cell type-specific significant gene-trait associations than EXPRESSO-SC and UTMOST. It also nominated novel risk genes including  IRF1  for systemic lupus erythematosus and  PTGER4  for Crohn's disease. The sc-eQTL atlas we created will be a valuable resource for the research community to investigate cell type specific effects for complex traits. Page  9  of  16",Featured Plenary Abstract Session II,2023
Assessment of human duplicated genes in a complete telomere-to-telomere genome implicates novel paralogs in brain evolution,"J. Uribe-Salazar 1 , D. Soto 1 , G. Kaya 1 , A. Sekar 1 , E. Green 2 , S. Simó 1 , G. Quon 1 , A. Andres 3 , M. Dennis 1 ;  1 Univ. of California, Davis, Davis, CA,  2 Natl. Human Genome Res. Inst. (NIH), Bethesda, MD,  3 Univ. Coll. London, London, United Kingdom","Genomic drivers of human-specific neurological traits remain largely undiscovered. Duplicated genes represent an understudied source of species innovation that are historically missing/error-prone in reference assemblies. Using the new telomere-to-telomere assembly (T2T-CHM13), we identified 1,834 recently-duplicated genes (>98% paralog identity) of which 1,121 can be found in all modern humans in the 1000 Genomes Project (1KGP; n=2,504) with 276 fixed in copy-number. Assaying transcriptome data of human fetal brain and embryonic stem-cell derived cortical neurons, we identified 288 protein-coding paralogs expressed during early brain development, with a significant enrichment of copy-number fixed genes (92% vs. 62% total) suggesting likely functional genes; this list includes  SRGAP2C ,  ARHGAP11B , and  NOTCH2NLC , all previously implicated in neocortex function, as well as exciting new candidates, such as autism-associated  CNTNAP3 . Calculating Tajima’s D using 1KGP variant data, we identified 22 protein-coding genes showing remarkable signatures of selection, including the  SPDYE3  locus; however, ~90% of duplicated loci were inaccessible to short reads. Narrowing in on a set of 15 duplicate gene families, we sequenced via targeted PacBio HiFi ~200 modern humans of diverse ancestries and, coupled with variants discovered from the Human Pangenome Reference Consortium, show that many paralogs retain conservation at the amino-acid level, likely as a result of purifying selection. To characterize functions of ten duplicate gene families in zebrafish, we performed CRISPR “knockout” of orthologs and transiently introduced mRNA encoding paralogs, effectively “humanizing” larvae. Phenotyping >8,500 zebrafish larvae using morphological and behavioral assessments, and single-cell RNA-seq of >167,000 cells across models narrowed in on duplicate gene families with neural functions. This list included  GPR89 , a gene encoding a voltage-gated chloride channel that regulates Golgi pH, leading to a 9% reduction in  gpr89 -knockouts (p= 7x10-7) and 3% increase (p= 0.022) of  GPR89B -humanized larvae in head area compared to batch-sibling controls. Using a transgenic line with GFP-tagged neurons corroborated these results in the brain, with 30% reduction in knockouts (p= 0.006) and 26% enlargement in humanized larvae (p= 4x10-4) of the forebrain area. Ongoing work in mouse neocortex suggests the gene may be important in cell morphology and neurite outgrowth. Our holistic approach provides important insights into what it means to be human as well as a methodological roadmap to characterize complex genes implicated in neurological function and disease. Page  10  of  16",Featured Plenary Abstract Session II,2023
Somatic DNA repeat expansion underlies Huntington’s Disease neuropathology,"R. Handsaker 1,2 , S. Kashin 1,2 , N. Reed 1,2 , W-S. Lee 1,2 , T. M. McDonald 1,2 , S. Tan 1,2 , K. French 3,4 , N. Kamitaki 1,2 , S. Berretta 3,4 , S. McCarroll 1,2 ;  1 Harvard Med. Sch., Dept. of Genetics, Boston, MA,  2 Broad Inst., Cambridge, MA,  3 Lab. for Structural NeuroSci., McLean Hosp., Belmont, MA,  4 Harvard Med. Sch., Dept. of Psychiatry, Boston, MA","Huntington’s Disease (HD) is a fatal genetic neurodegenerative disorder involving loss of specific types of neurons. It is not known why these specific neurons are vulnerable, nor why they live for decades before degenerating. Persons with HD (pwHD) have inherited alleles of the Huntingtin ( HTT ) gene in which a DNA sequence repeat (CAG n , encoding polyglutamine) is repeated 36 or more times; this same DNA repeat also exhibits length mosaicism in their tissues. We developed a way to measure the length of the  HTT  CAG repeat together with genome-wide RNA expression in individual cells. We found that inherited HD-causing alleles undergo profound somatic expansion, up to 1,000 CAGs, in striatal spiny projection neurons (SPNs or MSNs) and cortical projection neurons - which degenerate in HD - but modest-to-no expansion in other neuronal and glial cells in the same brain areas. By identifying allelic series of SPNs (with varying  HTT -CAG lengths) within the same person’s brain, we uncovered the cell-autonomous effect of the  HTT -CAG repeat upon the biological states of SPNs. Surprisingly,  HTT -CAG expansions from 36 to 180 CAGs had no apparent effect on single-neuron gene expression patterns. However, SPNs with  HTT  CAG repeats longer than 180 exhibited profound gene-expression changes, systematically losing the gene-expression features that distinguish SPNs from other types of cells. Such transformed neurons appeared in all pwHD we assayed, with frequencies that matched the kinetics of SPN loss at their disease stage. These results reveal that individual neurons pass asynchronously, after decades of somatic  HTT -CAG expansion, through a cell-biological toxicity phase that is brief and rapidly progressive. An important implication is that the pathogenesis of HD is a DNA process for almost all of a neuron’s life. These results suggest promising directions for development of therapeutics targeting the somatic expansion process in HD and strategies for the design of clinical trials. Page  11  of  16",Featured Plenary Abstract Session II,2023
Perturb-tracing enables scalable high-content discovery of 3D genome regulators,"S. Wang 1 , M. Hu 1 , B. Yang 1 , T. Jensen 1 , Y. Cheng 1 , R. Yu 1 , Z. Ma 2 , J. Radda 1 , S. Jin 1 , C. Zang 2 ;  1 Yale Univ., New Haven, CT,  2 Univ. of Virginia, Charlottesville, VA","Three-dimensional (3D) genome organization becomes altered during development, aging, and disease, but the factors regulating chromatin topology are incompletely understood and currently no technology can efficiently screen for new regulators of multiscale chromatin organization. Here, we developed an image-based high-content genetic screening platform (Perturb-tracing) that combines pooled CRISPR screen, a new cellular barcode readout method (BARC-FISH), and 3D tracing of the super-resolved folding conformation of an entire chromosome. We performed a loss-of-function screen in human cells, and visualized alterations to their genome organization from 13,000 imaging target-perturbation combinations and 1.4 million 3D positions along chromosome traces, alongside perturbation-paired barcode readout in the same single cells. We discovered tens of new regulators of chromatin folding at different length scales, ranging from adjacent topologically associating domains (TADs) to A-B compartments to chromosome territories. Subsets of the regulators showed 3D genome effects correlated with loop-extrusion and A-B compartmentalization mechanisms, while others appeared to be largely unrelated to these known 3D genome regulatory mechanisms. We found that the ATP-dependent helicase CHD7, previously known to promote local chromatin openness, counter-intuitively compacts chromatin over long range in a CTCF-dependent manner, and facilitates a multi-TAD compaction effect of cohesin. Finally, we identified new regulators of nuclear architectures and found a mechanistic link between chromatin compaction and nuclear shape. Altogether, our method enables scalable, high-content identification of chromatin and nuclear topology regulators that will stimulate new insights into the 3D genome and nucleome. Page  12  of  16",Featured Plenary Abstract Session II,2023
