id,title,authors,content,header,year
1,Disease heritability estimates using the electronic health records of 9  million patients.,"N. Tatonetti 1 , F. Polubriaginof 1 , K. Quinnies 1 , R. Vanguri 1 , A.  Yahi 1 , M. Simmerling 2 , I. Ionita-Laza 3 , H. Salmasian 4 , S. Bakken 1 , K. Kiryluk 5 , D. Goldstein 6 , D. Vawdrey 4 .  1) Biomedical Informatics, Columbia University, New York, NY; 2) Division of Medical Ethics, Weill-Cornell Medical Center, New York, NY; 3) Mailman School of Public Health, Columbia University, New York, NY; 4) Value Institute, NewYork-Presbyterian Hospital, New York, NY; 5) Department of Medicine, Columbia University, New York, NY; 6) Institute for Genomic Medicine, Columbia University, New York, NY.","The heritability of human disease is essential for diagnosis, treatment, and prognosis. Twin studies remain the gold standard for estimating the heritability of disease. However, even the largest study can evaluate only a small number of phenotypes. Electronic health records (EHRs) capture a wide range of clinically relevant variables including continuous data (e.g. clinical laboratory test results) and dichotomous traits (e.g. disease diagnosis), representing a novel resource for heritability studies.   Using the emergency contact data provided by 9 million patients at two large academic medical centers, we inferred 4.7 million familial relationships and validated these relationships using both clinical and genetic data sources. We then computed heritability and familial recurrence rates for 663 clinical phenotypes from all major disease categories. Heritability estimates showed high concordance across the two independent centers for both quantitative (rho = 0.85, p = 2.24e-08) and dichotomous traits (rho=0.75, p=8.98e-25). Heritability estimates from the EHR were significantly correlated with those reported in the literature with rho = 0.48, p = 0.024 and rho = 0.44 and p = 0.011 at sites 1 and 2, respectively. When looking at sibling and familial recurrence, perinatal conditions are the most concordant ( r 2  = 0.94 for sibling and 0.98 for familial) and the category of miscellaneous and unclassified conditions was the least concordant ( r 2  = 0.04 for sibling and < 0.01 for familial). Sibling recurrence and familial recurrence are highly correlated at both medical centers (rho = 0.56, p = 1.00e-50 and rho = 0.58, p = 2.43e-60, respectively). We found eight diseases with heritability estimates greater than 40% that replicated at both medical centers, including obesity with h2=47% (95CI: 40-52, N = 63,840) and h2=69% (95CI: 62-71, N = 9,908), and rhinitis with h2=57% (95CI: 46-55, N = 32,495) and h2=100% (95CI: 99-100, N = 6,173) at the two sites, respectively.   We present the first systematic study of disease heritability using EHR data. The results provide insight into the genetic etiology of human disease, especially as diagnosed in a large active medical center, and could be used to improve both detection and treatment.",ASHGAbstracts,2016
2,A genome-wide compendium and functional assessment of  in vivo  heart  enhancers.,"D.E. Dickel 1 , C.H. Spurrell 1 , I. Barozzi 1 , Y. Zhu 1 , Y. Fukuda-Yuzawa 1 , M. Osterwalder 1 , B.J. Mannion 1 , I. Plajzer-Frick 1 , C.S. Pickle 1 , E. Lee 1 , T.H. Garvin 1 , M. Kato 1 , J.A. Akiyama 1 , V. Afzal 1 , A. Visel 1,2,3 , L.A. Pennacchio 1,2 .  1) Functional Genomics Department, Lawrence Berkeley National Lab, Berkeley, CA; 2) U.S. Department of Energy Joint Genome Institute, Walnut Creek, CA; 3) School of Natural Sciences, University of California, Merced, Merced, CA.","Whole genome sequencing is identifying growing numbers of noncoding variants in human disease studies. However, the lack of accurate annotations and an unclear understanding of the functional impact of noncoding sequence variants largely prevent their interpretation. Focusing on the developing and adult heart, an organ whose functional impairment is a predominant cause of mortality and morbidity, we delineate the genome-wide landscape of distant-acting enhancers and highlight their functional importance through mouse knock-out studies. We used integrative analysis of >35 epigenomic datasets from mouse and human pre- and postnatal hearts to create a comprehensive reference of >80,000 putative human heart enhancers. This compendium includes confidence scores for each candidate enhancer and can be easily intersected with human disease data for downstream functional characterization of human WGS or GWAS variants. To understand the role of enhancers in the progression of human heart disease, we also profiled epigenomic and gene expression differences between 18 normal human heart samples and 18 with dilated cardiomyopathy (DCM). Our analysis reveals thousands of enhancers with disease-correlated activity changes, indicating and defining widespread gene regulatory alterations associated with heart disease. To facilitate the use of the genome-wide heart enhancer annotations in human disease studies, we have made them available as a public resource on the VISTA Cardiac Enhancer Browser (heart.lbl.gov). Finally, to demonstrate the importance of enhancers to heart function and their impact on heart disease-associated etiology, we deleted the mouse orthologs of two human enhancers near cardiac myosin genes. In both cases, we observed  in vivo  expression changes and cardiac phenotypes consistent with human heart disease. Taken together, our study provides a comprehensive catalog of human heart enhancers for use in clinical whole genome sequencing studies and highlights the importance of enhancers for cardiac function.",ASHGAbstracts,2016
3,Application of a conditional allelic series of the Sloan-Kettering Institute  proto-oncogene (SKI) to mechanistically dissect the TGFβ vasculopathies.,"B.E. Kang 1,4 , D. Bedja 2 , H.C. Dietz 1,3,4 .  1) Institute of Genetic Medicine, Johns Hopkins University School of Medicine, Baltimore, MD, USA; 2) Department of Cardiology, Johns Hopkins University School of Medicine, Baltimore, MD, USA; 3) Department of Pediatrics, Johns Hopkins University School of Medicine, Baltimore, MD, USA; 4) Howard Hughes Medical Institute, Bethesda, MD, USA.","Marfan (MFS), Loeys-Dietz (LDS) and Shprintzen-Goldberg (SGS) syndromes show substantial phenotypic overlap including aortic root aneurysm. While all of these conditions show an aortic wall signature for high TGFβ signaling, LDS is caused by heterozygous loss-of-function (LOF) alleles in genes encoding positive effectors of TGFβ including ligands (TGFB2 or TGFB3), receptor subunits (TBFBR1 or TGFBR2) or signaling mediators (SMAD2 or SMAD3). In contrast, SGS, which shows complete phenotypic concordance with LDS with the added feature of intellectual disability, is caused by heterozygous LOF mutations in SKI encoding a prototypical TGFβ repressor that displaces positive and recruits negative transcriptional regulators to TGFβ target genes. Such paradoxical results have engendered controversy regarding the precise role of TGFβ in aneurysm progression. We propose a reconciling model in which different vascular smooth muscle cell (VSMC) lineages have a variable vulnerability to heterozygous LOF mutations in TGFβ signaling effectors, resulting in compensatory upregulation of TGFβ ligand production by one lineage that achieves paracrine overdrive of signaling in its less vulnerable neighbor. In keeping with this hypothesis, we showed that LDS second heart field (SHF)-derived VSMCs in the aortic root show signaling collapse and increased TGFβ expression, while neighboring LDS cardiac neural crest (CNC)-derived cells remain signaling competent. We developed a series of conditional Ski alleles that allows robust interrogation of the model. First, VSMC-specific expression of a knock-in Ski mutation known to cause severe SGS in people (p.G34D) results in progressive aortic root aneurysm in association with increased output of TGFβ target genes. Second, we generated transgenic mice that overexpress wild-type SKI in a spatially- and temporally-conditional manner. Postnatal overexpression of SKI specifically in CNC-derived VSMCs of LDS mice suppresses TGFβ target gene expression and rescues the aneurysm phenotype. Finally, we applied a novel conditional null allele of Ski to show that LOF in the CNC of MFS mice exacerbates both TGFβ signaling and aneurysm growth. These data show that aneurysm severity in multiple conditions specifically titrates TGFβ signaling status in the CNC, support therapeutic strategies aimed at TGFβ antagonism, and highlight the importance of consideration of the microenvironments within which genetic alterations exert their phenotypic influence.",ASHGAbstracts,2016
4,200 loci complete the genetic puzzle of multiple sclerosis.,"N. Patsopoulos 1,2,3,4  on behalf of the International Multiple Sclerosis Genetics Consortium.  1) Neurology Department, Brigham & Women's Hospital, Boston, MA; 2) Division of Genetics, Brigham & Women's Hospital, Boston, MA; 3) Harvard Medical School, Boston, MA; 4) Broad Institute, Cambridge, MA.","Background  Multiple sclerosis (MS) is a common autoimmune disease with complex genetic background that affects the central nervous system (CNS). We present results of the International Multiple Sclerosis Genetics Consortium’s (IMSGC) analysis of genome-wide association studies (GWASs), followed by 2 large-scale replication data sets, with overall 47,351 MS subjects and 68,284 controls analyzed.  Methods  We analyzed GWASs totaling 14,802 MS cases and 26,703 controls and ~8 million SNPs post-imputation with the European panel of 1000 Genomes. Next, we applied a stepwise strategy within blocks of 2Mbps (n=1,961) to prioritize 4,842 seemingly statistically independent effects (p<0.01) for replication in autosomal non-MHC genome. Then, we used 2 large-scale datasets: i) a targeted microarray, MS Chip, that we genotyped in 20,282 MS subjects and 18,956 controls, (ii) ImmunoChip platform on an additional 12,267 MS subjects and 22,625 controls. Finally, we used several approaches to prioritized genes and identify significantly enriched pathways.   Results  The joint analysis of 47,351 MS subjects and 68,284 controls resulted in 200 statistically independent effects with p<5x10 -8 and another 119 with high probability to be associated (joint p<10 -5  and p<0.05 in both replication sets). The average MAF was 29.7% with a minimum of 1.6%, whereas the odds ratios ranged from 1.05 to 2.06. These 200 effects accounted for ~18% of the narrow-sense heritability. Tissue and cell-specific enrichment, using expression and epigenetic data, consistently highlighted the importance of the immune system with no evidence of enrichment in the CNS. Immune cells, CD4+ T cells and monocytes, and brain  cis -eQTL analyses identified several genes whose expression was affected by the majority of the 200 GW effects, with few of them being potentially brain-specific. More than 300 genes could be prioritized via multiple integrated layers of data that were statistically enriched (false discovery rate<5%) for several pathways of both the innate and adaptive branches of immunity. More interestingly the enriched pathways ranged from immune system maturation and development to training, and antigen presentation and recognition.   Discussion  We report an analysis of more than 110K samples and report 200 genome-wide MS effects. We illustrate that the majority of these mediate their effect via different immune cells, with a small number of these to be potentially active in a brain-specific manner.",ASHGAbstracts,2016
5,"Levering gene family information in gene discovery, risk assessment and  missense variant interpretation in more than 9,000 trios with neurodevelopmental disorders.","D. Lal 1,2,3 , P. May 5 , E.B. Robinson 1,2 , H. Yuan 4 , K.E.  Samocha 1,2 , J.A. Kosmicki 1,2 , R. Krause 5 , P. Nuernberg 3 , S. Weckhuysen 6 , G. Guerrini 7 , C. Marini 7 , P. De Jonghe 6 , S. Biskup 9 , A. Poduri 10 , B.A. Neubauer 11 , B.P. Koeleman 12 , K. Helbig 8 , Y.G. Weber 9 , I. Helbig 13 , S. Traynelis 4 , A. Palotie 1,2 , M.J. Daly 1,2 .  1) The Broad Institute of Harvard and M.I.T, Cambridge, MA; 2) Analytic and Translational Genetics Unit, Massachusetts General Hospital, Boston, MA; 3) Cologne Center for Genomics, University of Cologne, Cologne, Germany; 4) Department of Pharmacology, Emory University School of Medicine, Atlanta, Georgia; 5) Luxembourg Centre for Systems Biomedicine (LCSB), University of Luxembourg, Esch-sur-Alzette, Luxembourg; 6) VIB-Department of Molecular Genetics, Neurogenetics Group, University of Antwerp, Antwerp, Belgium; 7) Pediatric neurology unit, A. Meyer Pediatric Hospital, Florence, Italy; 8) Division of Clinical Genomics, Ambry Genetics, Aliso Viejo, California, USA; 9) Dpt. of Neurology and Epileptology, Hertie Insitute for Clinical Brain Research, University of Tübingen, Tübingen, Germany; 10) Epilepsy Genetics Program, Boston Children's Hospital; 11) Department of Neuropediatrics UKGM, University of Giessen, Germany; 12) Department of Genetics, University Medical Center Utrecht, Utrecht, The Netherlands; 13) Division of Neurology, The Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, U.S.A.","Patients with neurodevelopmental disorders (NDDs) show great phenotypic and genetic variability with regard to recently identified genes enriched for  de novo  variants in patients. Investigating disorder specific risk is challenging due to rareness of the disorders and ultra low frequency of variants. Several of the recently identified NDD associated genes have originated from the same ancestral gene, and thus share the same gene family. Here, we demonstrate that gene family information can be leveraged in genetic studies to facilitate gene discovery and interpretation of  de novo  variants in NDDs.  We performed a joint analysis of 3982 autism, 4471 developmental delay, and 822 severe seizure disorder exome-sequenced parent-offspring trios. We developed novel approaches to discover and interpret  de novo  variant enriched gene families. In the 9275 NDD trios, we identified 29 gene families significantly enriched for  de novo  variants, including several where no single gene in the family had previously been statistically associated with a NDD. The strongest enrichment was found in the voltage-gated sodium channel gene family (P = 2.03E-39). Given the increased power afforded by aggregating variants across all members of the gene family, we were able to investigate whether the 29 enriched gene families confer risk for a specific subset of the NDDs (sub-NDD). In total, we identified eight gene families for which at least one sub-NDD showed significant risk in comparison to the other NDDs. Seven gene families conferred risk specific for developmental delay. The most significant sub-disorder association was observed for the voltage-gated sodium channel gene family, which confers specific risk for severe seizure disorders (OR=4.23, P=3.00E-10). Next, we investigated the utility of gene family information in missense variant interpretation. We observed that disease associated missense variants fall into sequences identical within all members of the gene family and not in gene specific sites (P < 10E-50). Using publically available non-neuronal disease and control data sets, we show this observation in generalizable. Finally, we provide the functional analysis of a large list of patient and population variants in  GRIN2A  and  GRIN2B  as an illustrative example of how gene family conservation can guide variant interpretation and functional domain identification.",ASHGAbstracts,2016
6,Genome sequencing in a “healthy” population: Challenges of variant  interpretation.,"S. Punj 1 , A. Creason 1 , J. Huang 1 , A. Potter 1 , M.O. Dorschner 2,3 ,  D.A. Nickerson 3 , G.P. Jarvik 3,4 , L.M. Amendola 4 , D. Kostiner Simpson 5 , A. Rope 5 , J. Reiss 5,6 , T. Kauffman 7 , M. Gilmore 5 , P. Himes 5 , B. Wilfond 8,9 , K.A.B. Goddard 7 , C.S. Richards 1  on behalf of the NextGen Project Team.  1) Molecular & Medical Genetics, Oregon Health & Science University, Portland, OR; 2) Pathology, Division of Bioethics, University of Washington, Seattle, WA; 3) Genome Sciences, Division of Bioethics, University of Washington, Seattle, WA; 4) Department of Medicine, Division of Medical Genetics, University of Washington, Seattle, WA; 5) Department of Medical Genetics, Kaiser Permanente Northwest, Portland, OR; 6) Obstetrics and Gynecology, Kaiser Permanente Northwest, Portland, OR; 7) Center for Health Research, Kaiser Permanente Northwest, Portland, OR; 8) Department of Pediatrics, Division of Bioethics, University of Washington, Seattle, WA; 9) Truman Katz Center for Pediatric Bioethics, Seattle Children’s Hospital, Seattle, WA.","In the Clinical Sequencing Exploratory Research (CSER) consortium’s NextGen study, preconception carrier screening is performed by whole genome sequencing (WGS). Variants are interpreted in pre-selected genes (728) associated with recessive and X-linked disorders. All participants receive results for lifespan-limiting conditions (177 genes), but the optional categories are: serious (406), mild (93), unpredictable (41), and adult onset disorders (11), as well as additional findings (123) for medically actionable conditions. The majority of participants (92%) requested all categories, and limited information about personal or family history of a genetic disorder and ethnicity was provided to the laboratory.  Using the 2015 ACMG guidelines for interpretation of sequence variants, we classified variants in 175 participants, of which ~76% had a pathogenic (P) or likely pathogenic (LP) variant. Twenty-one percent of the variants disclosed to participants were novel, defined as not previously observed in affected individuals. These novel variants were classified as LP because they predicted a loss-of-function in genes where this is known mechanism for disease. For novel splice-site variants (4% of disclosed variants), RNA analysis was performed when possible to assess impact on splicing to aid in variant classification. For novel Copy Number Variants (~2.5% reported variants), an algorithm was developed for classification. The majority of variants returned were missense variants (67%) that were previously reported in an affected individual. None of the novel missense variants, representing the bulk of variants identified in this cohort, met the minimal ACMG criteria for a P or LP classification, suggesting this category of variants is problematic and less likely to be reported in a carrier setting. In terms of overall variant classification, the most frequently used line of evidence was variant frequency in the population databases (80%) followed by evidence for functional effects (53%) and in silico evidence (50%), while several lines of evidence were never used.  We will discuss challenges of classifying and returning rare variants in well-known genes, such as  CFTR , and variants in genes associated with ultra-rare conditions such as Lethal Multiple Pterygium Syndrome in the carrier setting. In our experience, caution must be used when interpreting variants, particularly novel variants, in genomic-based expanded carrier testing of healthy individuals.",ASHGAbstracts,2016
7,"Identifying Mendelian disease-causing mutations by leveraging  splice-affecting variant predictors provides improved guidelines for the  interpretation of nonsynonymous, synonymous, and intronic variants  of uncertain significance.","Z.T. Soens 1,2 , J. Branch 1,2 , Y. Li 1,2 , K. Wang 1,2 , M.  Xu 1,2 , D. Birch 3 , F.B. Porto 4 , J. Sallum 5 , P. Zhao 6 , R. Sui 7 , R.K. Koenekoop 8,9,10 , R. Chen 1,2,11,12,13 .  1) Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, USA; 2) Human Genome Sequencing Center, Baylor College of Medicine, Houston, Texas, USA; 3) Retina Foundation of the Southwest and Department of Ophthalmology, University of Texas Southwestern Medical Center, Dallas, Texas, USA; 4) Department of Retina and Vitreous, Ophthalmologic Center of Minas Gerais, Belo Horizonte, Minas Gerais, Brazil; 5) Department of Ophthalmology and Visual Sciences, Paulista School of Medicine, Federal University of São Paulo, São Paulo, Brazil; 6) Department of Ophthalmology, Xin Hua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, China; 7) Department of Ophthalmology, Peking Union Medical College Hospital, Peking Union Medical College, Dongcheng, Beijing, China; 8) McGill Ocular Genetics Laboratory and Centre, Department of Ophthalmology, McGill University Health Centre, Montreal, Quebec, Canada; 9) Department of Paediatric Surgery, McGill University Health Centre, Montreal, Quebec, Canada; 10) Department of Human Genetics, McGill University Health Centre, Montreal, Quebec, Canada; 11) Department of Biochemistry and Molecular Biology, Baylor College of Medicine, Houston, Texas, USA; 12) Program of Developmental Biology, Baylor College of Medicine, Houston, Texas, USA; 13) Department of Structural and Computational Biology & Molecular Biophysics, Baylor College of Medicine, Houston, Texas, USA.","Many Mendelian disorders are notoriously genetically heterogeneous having a variety of mutations in a multitude of genes that are able to cause disease. This genetic heterogeneity often results in significant portions of affected patients not being able to be confidently assigned a molecular diagnosis after traditional sequencing of the protein-coding exons of the genes associated with the disorder. A confident molecular diagnosis is necessary for a patient to be eligible for personalized treatment and counseling. Leber congenital amaurosis (LCA) is a severe inherited retinal disease which also exhibits a similar trend in that ~25% of all patients lack an actionable molecular diagnosis after sequencing genes known to be associated with the phenotype. There are two primary avenues of investigation for uncovering the genetic etiology of the unsolved ~25%: searching for mutations in genes not yet linked with LCA, and searching for mutations in known disease genes that we are missing or failing to interpret as pathogenic. Seeking to pursue the latter option we chose to assess the prevalence of splice-disrupting variants amongst variants not traditionally annotated as affecting splicing. Applying splice-affecting prediction scores from multiple  in silico  tools to our entire LCA cohort of 714 patients revealed 15 unique variants in 18 patients that were prioritized for splicing functional validation. Five nonsynonymous variants were identified in seven patients previously solved with low confidence, four synonymous variants were identified in four unsolved patients, and six intronic variants were identified in seven unsolved patients. Since not every candidate mutation’s gene is expressed in blood we decided to utilize a minigene  in vitro  system to assay each mutation’s effect on splicing. Nine variants have been successfully tested in the minigene system to date and all nine have results supporting the variant’s disruption of wildtype splicing. By comparing the distribution of scores from the leveraged splice-affecting variant predictors we can recommend a decision tree for other groups to consult when seeking to annotate and prioritize candidate splicing variants in their own cohorts. Splice-disrupting mutations are particularly deleterious to protein function generally resulting in exon loss, and a truncated or absent protein; patients solved with splicing mutations can therefore be considered assigned a molecular diagnosis with a higher degree of confidence.",ASHGAbstracts,2016
8,"Reinterpreting variant pathogenicity: Lessons from over 60,000 human  exomes.","A. O'Donnell-Luria 1,2 , E.V. Minikel 1,2 , J.S. Ware 2,3,4 , N. Whiffin 3,4 , M.  Lek 1,2 , K.J. Karczewski 1,2 , K.E. Samocha 1,2 , M.J. Daly 1,2 , D.G. MacArthur 1,2 , Exome Aggregation Consortium.  1) Analytic and Translational Genetics Unit (ATGU), Massachusetts General Hospital, Boston, MA, USA; 2) Broad Institute of Harvard and MIT, Medical and Population Genetics, Cambridge, MA, USA; 3) National Heart and Lung Institute, Imperial College London, London, UK; 4) MRC Clinical Sciences Centre, Imperial College London, London, UK.","Our ability to sequence human genetic variation has far outpaced our ability to interpret the functional impact of genetic variants. In the diagnostic evaluation of rare disease, this poses a critical challenge as exome sequencing is employed with increasing frequency. While pathogenic variants are identified in 20-70% of exome-sequenced cases depending on the presenting features, many cases remain unsolved.   The frequency of a variant is a powerful discriminator of variant pathogenicity. The publicly available Exome Aggregation Consortium (ExAC) dataset, with jointly analyzed exome sequencing data from a collection of 60,706 individuals, provides an unprecedented view of the spectrum of human functional genetic variation extending down to extremely low population frequencies across diverse ancestries. Over 20% of ClinVar and HGMD pathogenic variants are present in ExAC, providing an opportunity to assess the value of deep frequency data for variant assessment.   For pathogenic variants with a relatively high allele frequency (greater than 1 in 1000), we identified a number of false positive variants polluting clinical variant databases. Common modes of error include ancestry-specific variants (e.g. CIRH1A ), overinterpretation of functional data, and misinterpretation of a variant in  cis  with a pathogenic variant. At the very rare end of the frequency spectrum, we unexpectedly found dozens of rare pathogenic variants for severe pediatric-onset dominant conditions in ExAC. For a subset of these, there is evidence of somatic mosaicism in the ExAC sample (e.g.  BRAF ,  ASXL1 ) or, very uncommonly, sequencing or alignment errors (e.g.  PQBP1 ), multinucleotide polymorphisms (e.g.  ARID2 ), but others appear to be examples of genuine incomplete penetrance (e.g.  FGFR2 ,  TBX5 ). We describe current work exploring potential explanations for the lack of a phenotype in these cases. Our results underscore the tremendous contribution of large population resources such as ExAC in deciding whether variants are pathogenic or benign. The accuracy of variant interpretation has profound implications for patients, as the genetic diagnosis often leads to specific diagnostic and/or treatment recommendations. The power of ExAC as a public resource will continue to grow as sample sizes increase into the hundreds of thousands of individuals.",ASHGAbstracts,2016
9,Clinical application of a critical exon mapper to aid in determining pathogenicity of copy number variants of unknown significance.,"K.S. Ho 1,2 , M.  Uddin 3,4 , C.H. Hensel 1 , M.M. Martin 1 , P. Mowery-Rushton 1 , S. Page 1 , M.A. Serrano 1 , S. Venkatasubramanian 5 , S. Scherer 3,4,6,7 , E.R. Wassman 1 .  1) Lineagen, Inc., Salt Lake City, UT; 2) Department of Pediatrics, University of Utah; 3) The Centre for Applied Genomics, The Hospital for Sick Children, Toronto, Ontario, Canada; 4) Program in Genetics and Genome Biology, The Hospital for Sick Children, Toronto, Ontario, Canada; 5) School of Computing, University of Utah; 6) McLaughlin Centre, University of Toronto, Toronto, Ontario, Canada; 7) Department of Molecular Genetics, University of Toronto, Toronto, Ontario, Canada.","Chromosomal microarray (CMA) is recommended as the first-tier diagnostic test for the evaluation of individuals with autism spectrum disorder (ASD), developmental delay (DD), and/or multiple congenital anomalies (MCA). In addition to the detection of copy number variants (CNVs) clinically documented as pathogenic for these disorders, CMA frequently detects rare variants of unknown significance (VOUS). Interpretation of these VOUS to determine their role, if any, in the manifestation of disease remains a challenge. The development of new tools that contribute to VOUS interpretation could have broad impact on the diagnosis and clinical management of a wide range of disorders, and becomes increasingly important as CMA becomes more widely used and accepted in the clinical setting. Uddin et al. developed a relational database tool to identify exons within CNVs that are both highly expressed in the brain and highly conserved, which may help refine the potential pathogenicity of VOUS results. This method, known as the “critical exon mapper” (CEM), was previously shown to identify critical exon containing genes (CEGs) that are potentially pathogenic in an ASD cohort versus sibling controls (p=10 38 ). We report here the application of CEM to a real world population previously referred to a clinical laboratory for diagnostic genetic testing for neurodevelopmental conditions.  A total of 5518 individuals were tested between Jun 2012 and Dec 2015, using a CMA optimized for the detection of neurodevelopmental disorders by the addition of 88,435 custom probes to an Affymetrix array. This population manifested pathogenic CNVs in 9.2% and VOUS in 20.3% of patients. Among 1602 patients we evaluated 742 pathogenic and 1363 VOUS CNVs using CEM, and found a significant number of CEGs in both pathogenic (mean=12.4/CNV) and VOUS (mean=1.0/CNV) CNVs, impacting 70% of pathogenic and 40% of VOUS CNVs. A total of 2492 unique CEGs were observed in the pathogenic group and 953 in the VOUS CNVs. By comparison, a small number of “benign” CNVs assessed by CEM had a very low prevalence of CEGs. We cross-referenced the unique VOUS CEGs with OMIM and found that 21% are not represented therein, highlighting the potential limitations of OMIM and other databases for analysis of potentially impactful genes in CNVs. We present several examples demonstrating how CEM might impact the clinical interpretation of VOUS and potentially help identify critical regions that are likely pathogenic.",ASHGAbstracts,2016
10,Towards precise genetic diagnosis of human diseases: Experience with  POLG -related disorders.,"R. Bai 1 , D. McKnight 1 , J. Juusola 1 , J. Yang 1 , Y. Xie 1 ,  R. Heredia 1 , Y. Chen 1 , H. Yang 1 , D. Arjona 1 , A. Balog 1 , J. Higgs 1 , L. Carey 1 , E. Butler 1 , H. Cui 1 , W.C. Copeland 2 , G. Richard 1 , S.F. Suchy 1 .  1) GeneDx Inc.","Gaithersburg, MD; 2) NIEHS, Research Triangle Park, NC. Background:  Pathogenic variants in the  POLG  gene are the most common cause of single nuclear gene mitochondrial diseases (MtD). To date, 253 published  POLG  variants, mostly identified by Sanger sequencing, have been collected into the Human Gene Mutation Database (www.hgmd.com) and/or the Human  POLG  database (http://tools.niehs.nih.gov/polg/). This study evaluated and curated the published and novel  POLG  variants identified in the past few years.  Methods:  20136 patients with suspected MtDs or neuro-developmental/muscular /metabolic disorders were tested by whole exome sequencing (WES, 8125 cases) or multi-gene panels (sequencing and deletion/duplication analysis, 12011 cases) with the  POLG  gene included for MtD or Epilepsy; For 9104 patients, both parents or/and other family members were tested for segregation analysis. For 6231 WES cases and 2032 multi-gene panel cases, whole mitochondrial genome analysis (WMGA) was also performed. Variants in the  POLG  gene and other genes were analyzed according to the joint ACMGG and AMP guideline (PMID: 25741868), in which the nature of the variants, the frequency of the variant in affected or unaffected individuals, clinical information, family study results, and whether the patient had diagnostic pathogenic variants in other genes, were all considered.  Results:  For the 253 published variants possibly associated with  POLG  related disorders, 65 were observed 1 to 778 times at our clinical diagnostic laboratory, seven of which were re-classified as benign or likely benign variants (BEN/LBEN). 39 variants were classified pathogenic or likely pathogenic (PATH/LPATH), and 19 variants were classified as variants of uncertain significance (VUS). In addition, 213 novel variants were identified: 43 were classified as PATH/LPATH, 45 were classified as BEN/LBEN, and the remaining 124 variants were of uncertain significance.  Conclusion:  “Pathogenic”  POLG  variants in public databases or individual publications that lack sufficient supporting evidence should be reassessed, as more than half of these would be considered VUS or BEN/ LBEN based on current standards. This study updates and expands the  POLG variant database and will aid in the reliable molecular diagnosis of  POLG -related disorders. These data also emphasize the importance of combining WES or large multi-gene panels, clinical information, and family studies for the precise evaluation of genetic variants and clinical molecular diagnosis of human diseases.",ASHGAbstracts,2016
