id,title,authors,content,header,year
1,Massively parallel experimental analysis of missense mutations in  BRCA1  for interpreting clinical variants of uncertain significance.," L.M. Starita 1 , M. Islam 2 , J. Gullingsrud 1 , S. Fields 1 , J.D. Parvin 2,3 , J. Shendure 1 .  1) Department of Genome Sciences, University of Washington, Seattle, WA; 2) Department of Biomedical Informatics, The Ohio State University, Columbus, OH; 3) The Ohio State University Comprehensive Cancer Center, The Ohio State University, Columbus, OH.","Women inheriting a pathogenic mutation in the  BRCA  genes are at increased risk for developing breast and ovarian cancer. However, a substantial proportion of women who undergo  BRCA1/2  testing learn that they carry a variant of uncertain significance (VUS), whose consequences for BRCA1/2 activity and therefore cancer risk are unknown. Individuals harboring a VUS must make decisions about cancer prevention without clear information. A path towards addressing this failure in cancer-risk assessment and prevention is to experimentally measure the functional consequences of all possible mutations in  BRCA1/2 , and to make these measurements publicly available as a resource for guiding variant interpretation. To this end, we are applying “deep mutational scanning” (Fowler et al. Nature Methods 2010), a method in which the effects of thousands of mutations in a single gene can be concurrently measured, to BRCA1. For example, we comprehensively evaluated the effects of >1,300 amino acid substitutions on the biochemical functions of the RING domain of BRCA1 (Starita et al. Genetics 2015) as well as the effects of nucleotide substitutions in exon 18 of  BRCA1  on mRNA splicing (Findlay et al. Nature 2014). However, these studies were limited in that they incompletely assessed the function of BRCA1 that is most physiologically relevant to its role in cancer risk. BRCA1 is required for homology-directed repair (HDR) of double strand DNA breaks and this function is required for tumor suppression. We have adapted a cellular assay to test the HDR function of the full-length BRCA1 protein for deep mutational scanning. Preliminary results show that we can distinguish HDR-functional from nonfunctional BRCA1 variants a multiplexed format. We have now integrated thousands of BRCA1 missense variants into an HDR reporter cell line and are presently performing a large-scale experiment that will quantify the impact of each of these mutations on HDR activity. Based on the complexity of this library, we anticipate that this experiment will elucidate the functional consequences of >3,000 BRCA1 protein variants.The sum of our results-to-date show that predictions based on massively parallel experimental analysis markedly outperform commonly used computational tools in predicting BRCA1 function. As such, we anticipate that these measurements will facilitate the prospective interpretation of BRCA1 mutations when they are observed for the first time in a clinical setting.",ASHGAbstracts,2015
2,Matrix metallopeptidase 21 ( MMP21 ) is mutated in human heterotaxy and is an essential determinant of vertebrate left-right asymmetry.,"A. Guimier 1, 2 , G.C. Gabriel 3 , F. Bajolle 4 , M. Tsang 3 , H. Liu 5 , A.  Noll 6, 7 , L.D. Smith 6, 7 , S. Lyonnet 1, 2, 9 , L. de Pontual 1, 2 , S.A. Murray 8 , D. Bonnet 2, 4 , S.F. Kingsmore 6, 7 , J. Amiel 1, 2, 9 , P. Bouvagnet 5 , C.W. Lo 3 , C.T. Gordon 1, 2 .  1) Laboratory of embryology and genetics of congenital malformations, INSERM UMR1163, Institut Imagine, Paris, France; 2) Paris Descartes-Sorbonne Paris Cité University, Institut Imagine, Paris, France; 3) Department of developmental biology, University of Pittsburgh School of Medicine, Pittsburgh, PA, USA; 4) Unité Médico-Chirurgicale de Cardiologie Congénitale et Pédiatrique, Centre de référence Malformations Cardiaques Congénitales Complexes - M3C, Hôpital Necker-Enfants Malades, APHP , Paris, France; 5) Laboratoire de cardiogénétique - Hospices Civils de Lyon, Bron, France; EA 4173 Université Lyon 1 et Hôpital Nord Ouest, Lyon, France; 6) Center for Pediatric Genomic Medicine, Departments of Pediatrics and Pathology, Children’s Mercy - Kansas City, Kansas City, MO, USA; 7) University of Missouri - Kansas City School of Medicine, Kansas City, MO, USA; 8) The Jackson Laboratory, Bar Harbor, Maine, USA; 9) Service de Génétique, Hôpital Necker-Enfants Malades, AP-HP , Paris, France.","Heterotaxy (HT) results from a failure to establish normal left-right asymmetry (LRA) early in embryonic development and comprises visceral malformations among which congenital heart defects (CHDs) are the major cause of morbidity and mortality. Mutations in several genes controlling early left–right patterning have been implicated in HT but account for a minority of cases.We performed whole exome or genome sequencing in 2 families with recurrence of complex CHDs associated with laterality defects of abdominal organs. We identified compound heterozygous mutations (stop and missense or frameshift and exonic deletion) in matrix metallopeptidase 21 ( MMP21 ) in both families .  MMP family members are involved in extra-cellular matrix turnover. Interestingly, mice homozygous for ENU-induced missense mutations in  Mmp21 exhibit CHDs and HT. We then performed next generation sequencing of MMP21  in a cohort of 264 index cases comprising a group of HT cases (n=154) and a group of cases with CHDs (such as tetralogy of Fallot or truncus arteriosus) but without HT (n=110). From this cohort we identified 7 other families with one or more affected siblings exhibiting biallelic variations in  MMP21 , including a homozygous missense affecting the start codon in one family and a homozygous frameshift in another. All these cases were found in the HT subgroup. Based on these findings,  MMP21 mutations account for 5.9% of non-syndromic HT cases. Also, we knocked down  mmp21  expression in zebrafish using a splice-blocking or a translation-blocking morpholino, which resulted in abnormal cardiac looping, a consequence of disrupted left-right patterning. Whole mount in situ  hybridization for  mmp21  in zebrafish embryos revealed expression only in the region of Kupffer’s vesicle, a ciliated organ that generates LRA in fish. We then used CRISPR/Cas9 mediated genome editing in mouse zygotes to knock-in a missense mutation identified in one of the affected families, and phenotyping of mutation-positive embryos revealed CHDs and laterality phenotypes. Altogether our results indicate that  MMP21  is a novel disease-causing gene for heterotaxy in humans and that  MMP2 1 is an essential component of the pathway specifying LRA.",ASHGAbstracts,2015
3,"Meta-analysis of OncoArray, iCOGS and GWAS data for more than  220,000 women identifies more than 50 novel breast cancer susceptibility loci.","K. Michailidou 1 , S. Lindstrom 2 , J. Dennis 1 , D.J. Hunter 2 ,  Z. Wang 3 , S. Chanock 3 , J. Simard 4,5 , P. Kraft 2 , D.F. Easton 1,6  on behalf of BCAC, DRIVE and PERSPECTIVE.  1) Centre for Cancer Genetic Epidemiology, Department of Public Health and Primary Care, University of Cambridge, Cambridge, United Kingdom; 2) Program in Genetic Epidemiology and Statistical Genetics, Harvard School of Public Health, Boston, MA, USA; 3) Division of Cancer Epidemiology and Genetics, National Cancer Institute, Bethesda, MD, USA; 4) Centre Hospitalier Universitaire de Québec Research Center, Quebec City, Quebec, Canada; 5) Laval University, Quebec City, Quebec, Canada; 6) Centre for Cancer Genetic Epidemiology, Department of Oncology, University of Cambridge, Cambridge, United Kingdom.","Genome-wide association studies (GWAS) have identified 94 loci associated with breast cancer susceptibility in the general population. If combined multiplicatively, these loci explain approximately 15% of the familial relative risk of the disease. To identify novel breast cancer susceptibility loci we conducted a GWAS involving 119,000 European Ancestry cases and 101,000 European Ancestry controls, including: 9 GWAS (11,000 breast cancer cases and 12,000 controls); 47,000 cases and 43,000 controls from 41 studies genotyped on a 200K SNP custom array (iCOGS); and 61,000 cases and 46,000 controls genotyped on the OncoArray, a 570K SNP custom array that included a 260K GWAS backbone (http://epi.grants.cancer.gov/oncoarray/), together with SNPs identified through previous GWAS, fine-mapping and sequencing studies in multiple cancer types. The GWAS, iCOGS and OncoArray samples were imputed using the October 2014 release of the 1000 genomes project data as reference. Association results on more than 15M SNPs were combined across platforms using inverse variance fixed effect meta-analysis. Of the 94 previously identified loci, 89 showed evidence for association in the Oncoarray for either overall, ER-positive or ER-negative breast cancer ( P<0.01 ). After exclusion of the regions surrounding previously associated variants (± 500 kb of the top hit) we identified more than 50 novel independent variants associated with overall breast cancer at  P< 5x10 -8 . The new loci combined explain a further ~5% of the familial relative risk of breast cancer. Seven additional loci were specifically associated with ER-negative disease at  P< 5x10 -8 . Possible candidate genes within close proximity of the newly identified variants include APOBEC3A/B , involved in viral immunity and hypermutation,  FAM175A , encoding  BRCA1  interacting protein  HIVEP3 , a transcription factor regulating kappaB mediated transcription and  MCM8 , involved in genome replication. The heritability due to SNPs in regulatory features was 6-10 fold enriched relative to the genome-wide average; these features included histone methylation marks, DNase I hypersensitive sites, transcription factor binding sites and enhancers. The heritability due to coding SNPs was three-fold enriched. These results provide further insight into the mechanisms driving breast carcinogenesis and will improve the utility of genetic risk scores for targeted prevention and screening.",ASHGAbstracts,2015
4,Exome sequencing to identify new genes underlying early-onset  breast cancer susceptibility.,"D. Koboldt 1 , K. Kanchi 1 , J. Ivanovich 2 , R.  Fulton 1 , I. Borecki 3 , P. Goodfellow 4 , R. Wilson 1 , E. Mardis 1 .  1) The McDonnell Genome Institute, Washington University, Saint Louis, MO; 2) Department of Surgery, Washington University, Saint Louis, MO; 3) Department of Genetics, Washington University, Saint Louis, MO; 4) College of Medicine, Ohio State University, Columbus, OH.","In 2015, an estimated 230,000 American women will be diagnosed with breast cancer and 40,000 will die from it. Inherited genetic factors play a considerable role in this malignancy, particularly among women diagnosed at a young age. At least 20% of early-onset cases harbor mutations in the best-understood breast cancer susceptibility genes ( BRCA1 ,  BRCA2 , and  TP53 ). While others may have germline mutations in other established susceptibility genes ( CHEK2 ,  PALB2 ,  NBS1 ,  RAD51 , ATM ,  BRIP1 , and others), the genetic factors contributing to cancer risk for the majority of early-onset cases remain to be determined.We set out to identify additional early-onset breast cancer predisposition alleles by exome sequencing in an enriched cohort: 375 women diagnosed with breast cancer before the age of 40 who had a positive family history but were negative for BRCA1/2 mutations. As a population control, we obtained exome data for 557 women enrolled in the Women’s Health Initiative of the NHLBI Exome Sequencing Project. We identified 1,251 genes enriched for rare deleterious variants in early-onset cases. For completeness, we expanded this set with another 237 genes implicated in breast cancer by other studies.Using a custom capture reagent, we sequenced the exons of these ~1,500 candidate genes in 952 additional early-onset cases, 269 first-degree relatives, and 218 cancer-free controls. We also included exome data from an additional 500 WHI participants.Taken together, our dataset encompasses sequencing data for 1,500 genes in 2,800 samples. Our analysis reveals that 10% of early-onset cases harbor loss-of-function mutations in DNA repair genes including  CHEK2 (2.7%),  ATM  (1.8%) and others. Genes involved in chromatin remodeling ( ARID1A ,  ARID1B ), cellular signaling ( AR ,  PTPN21, PTEN ), and other pathways were enriched for rare damaging mutations and offer new candidates for early-onset breast cancer susceptibility genes.",ASHGAbstracts,2015
5,Five independent 6q25 breast cancer risk variants regulate  ESR1   and  RMND1  and display genotype-phenotype correlations.,"S. Edwards 1 , A. Dunning 2 , K. Michailidou 3 , K. Kuchenbaecker 3 , D. Thompson 3 , J. French 1 , J. Beesley 1 , C. Healy 2 , S. Kar 2 , K. Pooley 2 , E. Dicks 2 , D. Barrowdale 3 , N. Sinnott-Armstrong 4 , R. Cowper-Sallari 4,5 , K. Hillman 1 , S. Kaufmann 1 , H. Sivakumaran 1 , M. Moradi Marjaneh 1 , E. Lopez-Knowles 6,7 , M. Dowsett 6,7 , P. Pharoah 2,3 , J. Simard 8 , P. Hall 9 , M. Garcia-Closas 10,11 , C. Vachon 12 , G. Chenevix-Trench 1 , A. Antoniou 2 , D. Easton 2,3 .  1) Department of Genetics, QIMR Berghofer Medical Research Institute, Australia; 2) Department of Oncology, University of Cambridge, UK; 3) Department of Public Health and Primary Care, University of Cambridge, UK; 4) The Broad Institute of MIT and Harvard, Cambridge, USA; 5) The Princess Margaret Cancer Centre-University Health Network, Canada; 6) Breast Cancer Research, Breakthrough Breast Cancer Research Centre, UK; 7) Academic Biochemistry, Royal Marsden Hospital, UK; 8) Centre Hospitalier Universitaire de Québec Research Center, Laval University, Canada; 9) Department of Medical Epidemiology and Biostatistics, Karolinska Institutet, Sweden; 10) Division of Cancer Studies, Breakthrough Breast Cancer Research Centre, Institute of Cancer Research, UK; 11) Division of Genetics and Epidemiology, Institute of Cancer Research, UK; 12) Department of Health Sciences Research, Mayo Clinic, Rochester, USA.","Single nucleotide polymorphisms (SNPs) at 6q25 are reported to be associated with breast cancer susceptibility, breast cancer risk for BRCA1  mutation carriers and breast density. To date, however, attempts to identify the causal SNPs underlying the associations have been inconclusive. Here, we analysed 3872 SNPs across the 6q25 locus in 118,816 subjects from three international consortia and found evidence for five independent sets of correlated, highly trait associated variants (iCHAVs). The iCHAVs are distributed upstream, within introns, and downstream of ESR1 -  the most obvious target gene in the region. At all five sites, the minor allele of the candidate causal SNPs increased risks of ER- tumors and, with one exception, all are more strongly associated with risk of developing ER- than ER+ tumor-subtypes. We also identified associations with mammographic density, human ERB2 (HER2) tumor status and with high-grade breast cancer. The strongest candidate causal SNPs within each iCHAV lay in  cis -regulatory elements and chromosome conformation capture assays confirmed they physically interact with the promoters of  ESR1, RMND1, C6orf211  and  CCDC170 . Allele-specific expression analyses identified significant associations between iCHAV1-3 SNPs and the allelic ratio of  ESR1  and  RMND1  transcripts. Furthermore, IHC in 150 normal breast samples showed iCHAV1 risk alleles to be associated with reduced ER levels. Reporter assays demonstrated that cis -elements within iCHAVs 1,2,4 and 5 act as transcriptional enhancers and one element within iCHAV3 acts as a silencer on target genes. Consistent with expression analyses, constructs including the risk alleles decreased  ESR1  and  RMND1  promoter activity. Electrophoretic mobility shift assays on representative SNPs displayed allele-specific transcription factor binding. Of these, the iCHAV4 risk allele disrupts a CTCF binding site and displays allele-specific chromatin looping, suggesting this contributes to reduced  ESR1  expression. This study provides definitive evidence for genetic control of both major breast tumour subtypes by genetic variants in the 6q25 locus. We also provide the first evidence of genetic risk factors for developing two rarer classes of tumor: the ER-/ PR-/HER2+ subtype (responsive to Herceptin R ) and ER+/high-grade tumors. Our functional data implicate  ESR1  as the main target gene driving the associations, and highlights the potential importance of ER in establishing both ER- and ER+ breast cancer.",ASHGAbstracts,2015
6,Breast cancer risk at the 5p12 locus is mediated through chromatin looping and regulation of FGF10 and MRPS30.,"M. Ghoussaini 1,5 ,  J. French 2,5 , K. Michailidou 3 , S. Nord 4 , J. Beesley 2 , J. Dennis 3 , K. Hillman 2 , S. Kaufmann 2 , E. Dicks 3 , S. Ahmed 1 , M. Maranian 1 , C.S. Healey 1 , C. Baynes 1 , C. Luccarini 1 , M. Bolla 3 , J. Wang 3 , V.N. Kristensen 4 , P.D.P. Pharoah 1,3 , G. Chenevix-Trench 2 , D.F. Easton 1,3 , A.M. Dunning 1,5 , S.L. Edwards 2,5 , Breast Cancer Association Consortium.  1) Centre for Cancer Genetic Epidemiology, Department of Oncology, University of Cambridge, Cambridge, UK; 2) Department of Genetics, Queensland Beghofer Institute of Medical Research, Brisbane, Australia; 3) Centre for Cancer Genetic Epidemiology, Department of Public Health and Primary Care, University of Cambridge, Cambridge, UK; 4) Department of Genetics, University of Oslo, Oslo, Norway; 5) These authors contributed equally to the work.","Genome wide association studies (GWAS) have previously identified multiple breast cancer susceptibility loci on 5p12. In an effort to identify the likely causal variant(s), we performed fine-scale mapping of this region by genotyping 545 single nucleotide polymorphisms (SNPs) across a 1 Mb region in 89,050 subjects of European ancestry and 12,893 subjects of Asian ancestry from 50 case-control studies in the Breast Cancer Association Consortium (BCAC). Genotypes for 2,820 SNPs were imputed using the 1000 genomes project as a reference. Using forward stepwise logistic regression, we identified three independent risk signals; In the first signal, a single SNP (rs10941679 A/G) explained the association with breast cancer and the risk was restricted to ER-positive (ER+) breast tumours (per-G allele OR ER+=1.15, 95% CI 1.13-1.18 ;  P= x10 -30 ). In signals two and three, 37 and 86 SNPs respectively could not be excluded from causality at odds>1:100 relative to the best SNP in each peak. Using chromatin conformation studies, we identified a long-range physical interaction between the enhancer/flanking sequence encompassing rs10941679 and the promoters of  FGF10  (Fibroblast Growth Factor 10) and  MRPS30  (Mitochondrial Ribosomal Protein S30). We then conducted expression quantitative trait (eQTL) analysis in normal breast tissue samples from 219 women and breast tumors from 1,019 women in the Norwegian Breast Cancer Study and the TCGA project. SNP rs10941679 was associated with a significant increase in the expression levels of MRPS30  and  FGF10  in both normal and breast cancer tissues. We also measured the endogenous levels of  FGF10  and  MRPS30  mRNA in four ER+ breast cancer cell lines either homozygous for the protective A allele of rs10941679 (AA) or heterozygous (A/G).  FGF10  and  MRPS30  mRNA levels were significantly increased in heterozygous compared to homozygous cell lines. FGF10 is a member of the fibroblast growth factors and specifically binds to FGFR2 to control cell differentiation, proliferation, apoptosis and migration. FGF10 acts as an oncogene and is over-expressed in ~10% of human breast cancers. MRPS30 plays a key role in apoptosis. Taken together, these data suggest that breast cancer susceptibility at the 5p12 locus is likely to be mediated by over-expression of  FGF10  and  MRPS30 , two candidate genes for cancer pathogenesis.",ASHGAbstracts,2015
7,"Cross-cancer genome-wide pleiotropy analysis based on GAMEON and GECCO across five common cancers: lung, ovary, breast,  prostate and colon cancer.","R.J. Hung 1 , G. Fehringer 1 , P. Kraft 2 , C.A.  Hiaman 3 , P. Pharoah on behalf of OCAC 4, 17 , R. Eeles on behalf of PRACTICAL 5, 18 , N. Chatterjee 6 , D. Seminara 6 , S. Chanock 6 , F. Schumacher 3 , S. Lindström 2 , K. Stefansson 7 , D.C. Christiani 2 , H. Shen 8 , K. Shiraishi 9 , A. Takahashi 10 , AABC. AAPC, JAPC, LABC, LAPC 19 , Y. Bosse 11 , M. Obeidat 12 , M.L. Freedman 13 , U. Peters on behalf of GECCO 16, 20 , S. Gruber on behalf of CORET 3, 21 , C.I. Amos on behalf of TRICL/ILCCO 14, 22 , T.A. Sellers on behalf of FOCI 15, 23 , D. Easton on behalf of BCAC 4, 24 , D.J. Hunter on behalf of DRIVE 2, 25 , B.E. Henderson on behalf of ELLIPSE 3, 26 , Genetic Associations and Mechanisms in Oncology (GAME-ON) Network.  1) Lunenfeld-Tanenbaum Research Institute of Mount Sinai Hospital, Toronto, Ontario, Canada; 2) Harvard T.H. Chan School of Public Health, Boston MA; 3) University of South California, Los Angeles, USA; 4) University of Cambridge, Cambridge, UK; 5) Institute of Cancer Research, London, UK; 6) National Cancer Instititute, Bethesda, USA; 7) deCODE genetics, Amgen, Reykjavik, Iceland; 8) Nanjing Medical University School of Public Health, Nanjing, China; 9) Division of Genome Biology, National Cancer Center Research Institute. Tokyo, Japan; 10) Laboratory for Statistical Analysis, RIKEN Center for Integrative Medical Sciences, Yokohama, Japan; 11) Institut universitaire de cardiologie et de pneumologie de Québec, Department of Molecular Medicine, Laval University, Québec, Canada; 12) University of British Columbia Centre for Heart Lung Innovation, St. Paul’s Hospital. Vancouver, Canada; 13) Dana-Farber Cancer Institute, Boston, USA; 14) Geisel School of Medicine, Dartmouth College, Lebanon; 15) Moffitt Cancer Center, Tampa, USA; 16) Fred Hutchinson Cancer Research Center, Seattle, USA; 17) OCAC, Ovarian Cancer Association Consortium; 18) PRACTICAL, Prostate Cancer Association Group to Investigate Cancer Associated Alterations in the Genome consortium; 19) AABC, American Breast Cancer Consortium; AAPC, African Ancestry Prostate Cancer Consortium; JAPC, Japanese American Prostate Cancer Consortium ; LABC, Latino American Breast Cancer Consortium; LAPC, Latino American Prostate Cancer Consortium; 20) GECCO, Genetic and Epidemiology of Colorectal Cancer Consortium; 21) CORET, Colorectal Transdisciplinary study; 22) TRICL/ILCCO, Transdisciplinary Research for Cancer of Lung and International Lung Cancer Consortium; 23) FOCI, Transdisciplinary Cancer Genetic Association and Interacting Studies; 24) BCAC, Breast Cancer Association Consortium; 25) DRIVE, Discovery, Biology, and Risk of Inherited Variants in Breast Cancer; 26) ELLIPSE, Elucidating Loci in Prostate Cancer Susceptibility.","Background.  Identifying genetic variants with pleiotropic associations can uncover common pathways influencing multiple cancers and enable further understanding of cancer susceptibility.  Method.  We conducted a genome-wide cross-cancer pleiotropy analysis across five common cancers: lung, ovary, breast, prostate and colon cancer from the GAMEON/GECCO Network with a total of 61,851 cases and 61,820 controls of European ancestry using the association analysis based on subsets (ASSET) method. Results were validated in additional independent studies from Harvard, deCODE and Collaborative Oncological Gene-Environment Study (iCOGS) with a total of 55,789 cases and 330,490 controls of European ancestry. We have also evaluated the generalizability in Chinese, Japanese, Latinos and African Americans. Expression quantitative trait loci (eQTL) analyses were conducted for validated loci based on data derived from lung, ovary and prostate tissues. Results:  We identified a novel pleiotropic association at 1q22 with a variant associated with breast and lung squamous cell carcinoma (overall P-value for both cancers combined=8.9 x 10 -8 ) in European descendants and the results were validated in the replication set. The eQTL analysis of this region showed a consistent association with  ADAM15 / THBS3  gene expression in lung tissues in three independent studies. New pleiotropic associations were also found at previously known cancer loci: variants at a known  BRCA2 locus for lung and breast cancer were associated with serous ovarian cancer (overall p-value=4.0 x 10 -8 ); a known breast cancer locus,  CASP8/ ALS2CR12 , with a variant associated with prostate cancer (overall P-value=1.9 x 10 -8 ), and a known breast cancer locus,  CDKN2B-AS1 , where one variant was associated with lung adenocarcinoma (overall P-value=1.0 x 10 -5 ) and a second was associated with prostate cancer (overall P-value=9.5 x 10 -7 ). Conclusions:  Our results provide important insights into common carcinogenesis across multiple major cancers and highlight the value of pleiotropy analysis.",ASHGAbstracts,2015
8,Common genetic variants modify breast and prostate cancer risks  for male  BRCA1  and  BRCA2  mutation carriers: implications for  risk prediction.,"L. Ottini 1 , J. Lecarpentier 2 , K. Kuchenbaecker 2 , K. Offit 3 , F. Couch 4 , J. Simard 5 , M. Thomassen 6 , R. Schmutzler 7 , G. Chenevix-Trench 8 , D. Easton 2 , A.C. Antoniou 2  on behalf of CIMBA.  1) Department of Molecular Medicine, Sapienza University of Rome, Rome, Italy; 2) Centre for Cancer Genetic Epidemiology, Department of Public Health and Primary Care, University of Cambridge, Cambridge, UK; 3) Clinical Genetics Research Laboratory, Department of Medicine, Cancer Biology and Genetics, Memorial Sloan-Kettering Cancer Center, New York, NY, USA; 4) Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, MN, USA; 5) Centre Hospitalier Universitaire de Québec Research Center and Laval University, Quebec City, Quebec, Canada; 6) Department of Clinical Genetics, Odense University Hospital, Odense C, Denmark; 7) Center for Hereditary Breast and Ovarian Cancer, Medical Faculty, University Hospital Cologne, Germany; 8) Cancer Division, QIMR Berghofer Medical Research Institute, Brisbane, QLD , Australia.","BRCA1  and  BRCA2  mutations confer increased risks of developing male breast and prostate cancer. More than 100 common variants are now known to be associated with breast cancer risk in women and more than 80 common variants are associated prostate cancer risk. No study to date has investigated the associations of common genetic variants and breast or prostate cancer risk for men with mutations in  BRCA1  and BRCA2.  In our study, we used data on 1802 male  BRCA1  and  BRCA2 mutation carriers (288 diagnosed with breast cancer, 243 diagnosed with prostate cancer) from the Consortium of Investigators of Modifiers of  BRCA1/2  (CIMBA) who were genotyped using the custom Illumina Oncoarray to perform a GWAS in male  BRCA1/2  mutation carriers. We also investigated the combined effects of known breast and prostate cancer susceptibility variants on cancer risk for male mutation carriers by constructing polygenic risk scores (PRS). No variant was associated with risk of prostate or male breast cancer at genome-wide significance (P<5x10 -8 ). However, a PRS constructed on the basis of 77 known female breast cancer susceptibility variants was associated with male breast cancer risk for both  BRCA1  and  BRCA2  mutation carriers (Hazard Ratio (HR) per standard deviation (SD) of PRS: 1.32 (95%CI: 1.15-1.52, p=7x10 -5 ). A stronger association was observed with a PRS based on SNPs that are associated with female estrogen receptor (ER) positive breast cancer (HR per SD of ER-positive PRS: 1.33, p= 4x10 -5  VS HR per SD of ER-negative PRS: 1.13, p= 0.05). Similarly, the PRS based on 81 known prostate cancer susceptibility variants was strongly associated with prostate cancer risk for male  BRCA1/2  mutation carriers (HR per SD of PRS: 1.48 (95%CI: 1.28-1.69, p= 7x10 -8 ). These analyses demonstrate that the breast and prostate cancer risks for male  BRCA1/2  mutation carriers are modified by common genetic variants, and could have implications for the cancer risk management and screening in male mutation carriers. For example, the predicted prostate cancer risk by age 80 for the 5% of male  BRCA1  mutation carriers with the lowest prostate cancer PRS is <11%, but it is greater than 40% for the 5% of men with the highest PRS.",ASHGAbstracts,2015
9,Whole exome sequencing in 75 high-risk families identifies eight  previously unknown prostate cancer susceptibility genes.,"D.M. Karyadi 1 , M.S. Geybels 2 , E. Karlins 1 , B. Decker 1 , L. McIntosh 2 , S. Kolb 2 , S.K. McDonnell 3 , S. Middha 3 , L.M. FitzGerald 4 , M.S. DeRycke 5 , D.J. Schaid 3 , S.N. Thibodeau 5 , J.L. Stanford 2,6 , E.A. Ostrander 1 .  1) Cancer Genetics and Comparative Genomics Branch, NHGRI/NIH, Bethesda, MD; 2) Division of Public Health Sciences, Fred Hutchinson Cancer Research Center, Seattle, WA; 3) Department of Health Sciences Research, Mayo Clinic, Rochester, MN; 4) Cancer Epidemiology Centre, Cancer Council Victoria, Melbourne, Victoria, Australia; 5) Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, MN; 6) Department of Epidemiology, School of Public Health, University of Washington, Seattle, WA.","Prostate cancer (PCa) is the most common non-cutaneous tumor in men from the United States with 220,800 estimated new cases and 27,540 expected deaths in 2015. Epidemiological studies suggest that PCa has a strong genetic component with approximately 42% to 58% of risk attributed to genetic factors. The disease is genetically heterogeneous and predicted to be caused by a continuum from common, low-penetrant to rare, high-penetrant variants. While genome-wide association studies have been successful in confirming at least 100 loci associated with PCa risk in Europeans, these loci likely represent common, low-penetrant variants and, to date, only a few moderately to highly penetrant susceptibility variants have been consistently implicated in PCa. In an effort to identify low-frequency, moderately penetrant variants, we leveraged whole exome sequence (WES) data with array-based SNP haplotypes from 75 hereditary PCa families. WES data was available for 160 affected men in the 75 families with one to six affected sequenced per family and 31 families with multiple WES men. Array-based SNP haplotypes were generated for 508 individuals including all 373 affected men with DNA available. Integrating the WES and haplotype data allowed us to predict the affected carrier frequency for each variant, which is key in identifying moderately penetrant variants. We then performed rigorous disease model-based variant filtering taking into account the likely genetic heterogeneity and incomplete penetrance of PCa susceptibility variants. Analysis of 341 of the most compelling candidate risk variants in a population-based, case-control study of 2,495 individuals confirmed nine variants significantly associated with PCa risk, which have predicted protein consequences in  SWSAP1 ,  HOXB13 ,  D2HGDH ,  CHAD , EPHA8 ,  TANGO2 ,  BRD2 ,  PPP6R2  and  OR5H14 . Eight of the variants are in genes not previously implicated in PCa susceptibility with  BRD2 A605P having the strongest association (OR = 4.99, 95% confidence interval, 1.09 – 22.86). Inheriting at least one of the nine susceptibility alleles increased risk 2.5-fold (95% confidence interval, 1.81 – 3.36) and can explain 13% of familial risk for PCa in the population. The results of this study support that exome sequencing of a limited number of individuals within hereditary cancer families combined with haplotype data offers a robust strategy for identifying low-frequency, moderate-penetrance risk variants contributing to PCa susceptibility.",ASHGAbstracts,2015
10,Population and evolutionary genomics of prostate cancer-associated variants: implications for health disparities in men of African  descent.,"J. Lachance 1 , C. Hanson 1 , M.E.B. Hansen 2 , S.A. Tishkoff 2 , T.R.  Rebbeck 3 .  1) School of Biology, Georgia Institute of Technology, Atlanta, GA; 2) Departments of Biology and Genetics, University of Pennsylvania, Philadelphia, PA; 3) Dana-Farber Cancer Institute, Harvard T.H. Chan School of Public Health, Boston, MA.","Prostate cancer is a highly heritable disease that disproportionately affects African and African-American men. To determine the genetic architecture of differences in prostate cancer risk across populations, we integrated GWAS results and scans of selection with whole genome sequencing and genotype array data from 45 African and 19 non-African populations. Risk alleles with elevated frequencies in African populations were identified, as were GWAS hits in genomic regions that are highly divergent across continents (e.g. rs2660753, rs17023900, and rs9284813). Although the majority of prostate cancer-associated loci are in neutrally evolving genomic regions, we found multiple instances where alleles at prostate cancer-associated loci have hitchhiked with linked alleles that are under selection. For example, a protective allele at 2q37.3 appears to have risen to high frequency in Europe due to selection for lighter pigmentation, and a risk allele at 19q13.2 may have risen to high frequency in Africa due to selection for resistance to tropical diseases. Genetic risk scores correctly predict elevated prostate cancer risk in African-Americans over Europeans, and genetic risk scores suggest that prostate cancer risk is highest in West African populations and lowest in non-African populations. Despite the polygenic nature of prostate cancer (over 100 loci are known to contribute to disease risk), we find that a small number of loci of major effect drive the difference in predicted risk across populations (e.g. rs17631542, rs10505483, rs4242382, rs1447295, and rs10505477).",ASHGAbstracts,2015
