id,title,authors,affiliations,content,year
1,"High-depth genome sequencing in diverse African populations reveals the impact of ancestral migration, cultural demography, and infectious disease on the human genome.","N.A. Hanchard  1 ; A. Choudhury  2 ; S. Aron  2 ; L. Botigue  3 ; D. Sengupta  2 ; G. Botha  4 ; T. Bensellak  5 ; G. Wells  6,7 ; J. Kumuthini  7 ; D. Shriner  8 ; Y. Jaufeerally Fakim  9 ; A. Wahed Ghoorah  10 ; E. Dareng  11,12 ; T. Odia  13 ; D. Falola  13 ; E. Adebiyi  13,14 ; S. Hazelhurst  2,15 ; G. Mazandu  4 ; O.A. Nyangiri  16 ; M. Mbiyavanga  4 ; S. Kassim  17 ; N. Mulder  4 ; S.N. Adebamowo  18 ; E.R. Chimusa  19 ; C. Rotimi  8 ; M. Ramsay  2,20 ; A. Adeyomo 8 ; Z. Lombard  20 ; as members of the H3Africa Consortium","1) Department of Molecular & Human Genetics, Baylor College Medicine, Houston, Texas.; 2) Sydney Brenner Institute for Molecular Bioscience, Faculty of Health Sciences, University of the Witwatersrand, Johannesburg, South Africa; 3) Center for Research in Agricultural Genomics (CRAG), CSIC-IRTA-UAB-UB, Plant and Animal Genomics Program, Campus UAB, 08193 Bellaterra, Barcelona, Spain; 4) Computational Biology Group and H3ABioNet, Department of Integrative Biomedical Sciences, University of Cape Town, Cape Town, South Africa; 5) System and Data Engineering Team, Abdelmalek Essaadi University, ENSA, Tangier, Morocco; 6) African Health Research Institute, Nelson R. Mandela School of Medicine, Durban, South Africa; 7) Centre for Proteomic and Genomic Research (CPGR), Cape Town, South Africa; 8) Center for Research on Genomics and Global Health, National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America; 9) Department of Agriculture and Food Science, Faculty of Agriculture, University of Mauritius, Reduit, Mauritius; 10) Department of Digital Technologies, Faculty of Information, Communication & Digital Technologies, University of Mauritius, Reduit, Mauritius; 11) Department of Public Health and Primary Care, University of Cambridge, Cambridge, United Kingdom; 12) Institute of Human Virology Nigeria, Abuja, Nigeria; 13) Covenant University Bioinformatics Research (CUBRe), Covenant University, Ota, Nigeria; 14) Department of Computer and Information Sciences, Covenant University, Ota, Nigeria; 15) School of Electrical & Information Engineering, University of the Witwatersrand, Johannesburg, South Africa; 16) College of Veterinary Medicine, Animal Resources and Biosecurity, Makerere University, Kampala, Uganda; 17) Medical Biochemistry & Molecular Biology Department, Faculty of Medicine, Ain Shams University, Abbaseya, Cairo, Egypt; 18) Department of Epidemiology and Public Health, and Greenebaum Cancer Center, University of Maryland School of Medicine, Baltimore, Maryland, United States of America; 19) Division of Human Genetics, Department of Pathology, Faculty of Health Sciences, Institute for Infectious, Disease and Molecular Medicine, University of Cape Town, Cape Town, South Africa; 20) Division of Human Genetics, National Health Laboratory Service, and School of Pathology, Faculty of Health Sciences, University of the Witwatersrand, South Africa","Africa is the cradle of human genetic variation; yet, to date, genomic studies in African populations have mostly focused on common variation in small, geographically-limited groups. The Human Health and Heredity in Africa (H3Africa) Consortium was convened to support genomic disease studies on the continent. To provide context for these studies, we undertook whole-genome sequencing of 426 individuals, including 323 at high depth, from 50 ethnolinguistic groups recruited from 13 countries. The resulting data were interrogated for patterns of admixture and selection as well as the distributions of rare, novel, and medically important variation. Of the >3 million novel single nucleotide variants (SNVs) identiﬁed, most occurred in newly sampled groups from Botswana and Mali, with each surveyed population contributing at least 6,000 new common SNVs. Participants from Mali showed evidence of Northern patrilineal admixture and extended runs of homozygosity, reﬂecting regional cultural practices. ADMIXTURE analyses revealed a novel, putative East African ancestry component dating back 50-70 generations that constituted ~14% of a major Nigerian indigenous group, but was not seen in other West Africans. We also observed a lack of Khoesan ancestry among Zambians that distinguished them from their Southern neighbors, implicating present-day Zambia as an intermediate site in Southern and Eastern Bantu migrations. Using a composite model that leveraged high depth data, we identiﬁed 63 loci with strong signatures of selection, including 33 novel loci converging upon genes involved in viral infection ( CAMK2B , MVB12B , and  DKK2 ) and metabolism ( ADRB3  and  GLIS3 ). This was congruent with an enrichment of shared, putative loss-of-function variants and highly population-divergent allele frequencies at immune loci. ACMG medically-actionable variants were uncommon (<2%), but each person had a median of 7 reportedly pathogenic ClinVar alleles, some with frequencies 10 times higher than in current databases. Classical African disease alleles, including the sickle allele and  APOL1  G1 and G2 variants, were common, but frequencies varied widely by geography and ancestry. Our results 1) highlight unexpected patterns of admixture and ancestry among ethnolinguistic groups that augment current theories of early migration, 2) illustrate the role of infections in shaping human genomes, and 3) demonstrate the importance of African genomic data to deﬁning medically relevant variation.",2019
2,"Pathogenic, loss-of-function mutations in  MRAP2 cause metabolic syndrome.",A. Bonnefond  1 ; M. Baron  1 ; J. Maillet  1 ; M. Huyvaert  1 ; R. Boutry  1 ; G. Charpentier  2 ; M. Tauber  3 ; R. Roussel  4 ; B. Balkau  5 ; M. Marre  4 ; M. Canouil  1 ; P. Froguel  1,"1) CNRS UMR8199, Lille, France; 2) CERITD (Centre d'Étude et de Recherche pour l'Intensiﬁcation du Traitement du Diabète), Evry, France; 3) Inserm UMR1043, Toulouse, France; 4) Inserm U1138, Centre de Recherche des Cordeliers, Paris, France; 5) Inserm U1018, Center for Research in Epidemiology and Population Health, Villejuif, France","The G-protein-coupled receptor (GPCR) accessory protein MRAP2 was reported to be involved in rodent energy control. Notably, it was shown that MRAP2 interacted directly with the obesity gene MC4R, and enhanced MC4R downstream signaling, suggesting that this mechanism linked Mrap2 deﬁciency and rodent obesity. Although a couple of mutations in  MRAP2  were described in few obese human subjects, their functional consequences and their putative impact on obesity have remained elusive. Here, we performed a large-scale resequencing study of  MRAP2  in 9,418 participants, in combination with functional assays of detected variants, to accurately decipher the functional link between MRAP2 and obesity (and possibly associated phenotypes) in humans. We identiﬁed 23 rare variants (with a minor allele frequency between 0.0053 and 0.17%) that were signiﬁcantly associated with increased obesity risk, in both adults and children. After functional assessment of each variant, we found that 7 pathogenic, loss-of-function  MRAP2  variants were totally penetrant for overweight or obesity in both adults and children. Surprisingly, when we investigated the clinical data of the carriers, we found that they actually had metabolic syndrome. In addition to high adiposity, this genetic form of metabolic syndrome was mainly associated with hyperglycemia (88% of carriers) and hypertension (71% of carriers). This is remarkable as only 30-60% of obese people present with metabolic syndrome. Importantly, MRAP2-deﬁcient obese subjects are diﬀerent from MC4R-deﬁcient obese subjects who do not present with any other metabolic clinical features, with particularly low blood pressure. Through expression analysis of  MRAP2  in a panel of human tissues, we surprisingly found that the high expression of  MRAP2  was similar in brain regions and in human pancreatic islets and beta cells. We also discovered that  MRAP2  knockdown in human beta cells signiﬁcantly decreased insulin secretion. As we also found that MRAP2 was expressed in key metabolic tissues including gut, kidney, muscle and fat, we suggest that MRAP2 deﬁciency causes combined metabolic abnormalities in humans possibly due to the failure of diﬀerent GPCRs signaling (co)regulated by MRAP2 (such as ghrelin receptor). To our knowledge, it is only the second description of a monogenic form of metabolic syndrome, after the identiﬁcation of  DYRK1B  deﬁciency few years ago, showing that complex metabolic phenotypes can be genetically driven.",2019
3,"Exome sequencing of 25,000 schizophrenia cases and 100,000 controls implicates 10 risk genes, and provides insight into shared and distinct genetic risk and biology with other neurodevelopmental disorders.","T. Singh  1,2 ; B.M. Neale  1,2,3 ; M.J. Daly  1,2,3 ; on behalf of the SCHEMA consortium","1) Center for Genomic Medicine, Massachussetts General Hospital, Boston, Massachusetts.; 2) Stanley Center for Psychiatric Research, Broad Institute of Harvard and MIT, Cambridge, MA.; 3) Program in Medical and Population Genetics, Broad Institute of MIT and Harvard, Cambridge, MA.","Schizophrenia (SCZ) is a severe psychiatric disorder with common intergenic and ultra-rare coding variants (URVs) contributing to risk. Despite hundreds of common risk loci discovered by GWAS, only a handful have resulted in validated functional variants that pinpoint novel biology underlying disease pathogenesis. This central challenge, common to complex polygenic disorders, could be addressed by sequencing studies where URVs (1 in 10,000 or rarer) can complement GWAS by pinpointing likely causal genes independently. However, success to this end has been hampered by power limitations. The Schizophrenia Exome Sequencing Meta-Analysis (SCHEMA) Consortium is one of the largest eﬀorts to analyze sequencing data to advance gene discovery. We have completed the analysis of 24,248 sequenced cases and 97,322 controls comprising of individuals from ﬁve continental populations. The scale of SCHEMA enables us, for the ﬁrst time, to implicate URVs in ten genes as conferring substantial risk for SCZ at genome-wide signiﬁcance (odds ratios 4 - 50, P < 2e-6), and 34 genes at a FDR < 5%. Two of these, the NMDA receptor subunit  GRIN2A  and transcription factor  SP4 , reside in two loci implicated by SCZ GWAS. A second glutamate receptor subunit,  GRIA3 , is also implicated, providing support for the hypofunction of the glutamatergic system in the pathogenesis of schizophrenia. Exploring the published results from severe neurodevelopmental delay (NDD) and autism (ASD) consortia, we ﬁnd that top ten SCZ genes have no protein-truncating variant signal in either ascertainment, though a signiﬁcant overlap between ASD (n = 102, FDR < 10%) and SCZ risk genes (n = 34, FDR < 5%) was observed. Partitioning the 102 ASD genes into those disrupted more frequently 1) in ASD and 2) in intellectual disability (ID), we show that this signal was driven by the ASD-preferential, and not ID-preferential genes. Thus, SCZ genes from exome sequencing have relevance for later-onset psychiatric disorders rather than more severe NDDs. Despite not ﬁnding a notable overlap between genes identiﬁed by GWAS and exome sequencing, we ﬁnd convergence in biological processes and tissue types, speciﬁcally in synaptic transmission and components of the post-synaptic density. After excluding associated genes, SCZ cases still carry a substantial excess of rare URVs, suggesting that many more remain to be discovered. Finally, we present a browser that displays variant-level results for use by the community.",2019
4,Genome-wide meta-analysis of alcohol use disorder and problematic drinking identiﬁes over 30 risk variants.,"H. Zhou  1,2 ; S. Sanchez-Roige  3 ; T.K. Clarke  4 ; J.M. Sealock  5 ; R. Polimanti  1,2 ; R.L. Kember  6,7 ; R.V. Smith 8 ; A.C. Justice  1,2,9 ; L.K. Davis  5,10 ; A.A. Palmer  3,11 ; H.R. Kranzler  6,7 ; J. Gelernter  1,2 ; on behalf of the VA Million Veteran Program","1) Yale School of Medicine, New Haven, CT; 2) Veterans Aﬀairs Connecticut Healthcare System, West Haven, CT; 3) Department of Psychiatry, University of California San Diego, CA; 4) Division of Psychiatry, University of Edinburgh, Edinburgh, UK; 5) Department of Medicine, Vanderbilt University Medical Center, Nashville, TN; 6) University of Pennsylvania Perelman School of Medicine, Philadelphia, PA; 7) Crescenz Veterans Aﬀairs Medical Center, Philadelphia, PA; 8) University of Louisville School of Nursing, Louisville, KY; 9) Yale School of Public Health, New Haven, CT; 10) Department of Psychiatry and Behavioral Sciences, Vanderbilt University Medical Center, Nashville, TN; 11) Institute for Genomic Medicine, University of California San Diego, CA","Alcohol use disorder (AUD) is among the leading causes of death and disability worldwide. Genome-wide association studies (GWASs) have identiﬁed few risk genes. However, the genetic architecture of AUD and the biological mechanisms are still understudied. We conduct genome-wide meta-analysis of AUD in European cohorts including: 1), AUD from Million Veteran Program (MVP) phase1; 2), AUD of newly genotyped individuals from MVP phase2; 3), alcohol dependence from Psychiatric Genomics Consortium (PGC), brings the total sample size to 313,959 (N case =57,564, N control =256,395). Given the high genetic correlation ( r g =0.7) between AUD and problematic drinking, measured by AUDIT-P (Alcohol Use Disorders Identiﬁcation Test - Problems), we conduct a proxy-phenotype meta-analysis combining the above AUD datasets and AUDIT-P from UK Biobank, totaling in 435,563 subjects. All downstream analyses are based on the cross-trait meta-analysis. More than 30 risk loci have been identiﬁed, include 20 novel ﬁndings. Gene-based association analysis identiﬁed 70 genes associated with the trait. Genetic correlations with 133 traits have been detected, include smoking traits, alcohol traits, major depression, schizophrenia, and many other neuropsychological traits. Phenome-wide polygenic risk score (PRS) analysis in an independent biobank (BioVU) conﬁrmed the genetic associations between AUD and multiple substance use disorders, anxiety, mood disorder, and lung-related diseases. In-depth functional analyses consistently show the genetic heritability of AUD is enriched in brain tissues, and in conserved region, enhancers and other regulatory regions. Gene expression were predicted using reference transcriptome data. 187 gene-tissue associations are signiﬁcant, include  ADH1B ,  ADH4 ,  ADH5 ,  CADM2 ,  DRD2 ,  SLC39A13 ,  C1QTNF4 ,  MTCH2 ,  SLC39A13 , SNX17 ,  NRBP1  and so on. Those associations in universal tissues might indicate pervasive functional consequences of genetic variation at the expression level. In summary, we present here the largest meta-analyses of AUD and problematic drinking, discover more genetic risks, genetic correlations with other traits, and potential functional mechanisms. More studies are warranted including genome-editing in near future.",2019
5,Trans-ancestry GWAS meta-analysis of tobacco and alcohol use.,M. Liu; Trans-Omics for Precision Medicine; GWAS & Sequencing Consortium of Alcohol and Nicotine use,"Psychology, University of Minnesota, Minneapolis, MN","With ~1.1 billion smokers and ~2.3 billion drinkers world-wide, nicotine and alcohol are two of the most commonly used addictive substances. Together, they comprise the largest preventable cause of morbidity and mortality in economically developed countries. Despite the global nature of these behaviors, existing genetically informative research has focused predominantly on individuals of European ancestry. To better understand genetic inﬂuences on nicotine and alcohol, and by extension to addictive behavior more generally, we conducted a GWAS meta-analysis of nicotine and alcohol use in up to 3.4 million individuals of diverse ancestries as part of GSCAN and the TOPMed program. Our approach maximizes power for variant detection, allows evaluation of ancestry-speciﬁc variant eﬀects, and provides greater ﬁne-mapping resolution for ﬁve phenotypes representing diﬀerent stages of cigarette use and alcohol use. Fixed eﬀects meta-analysis across all ancestries were well-behaved, and loci deﬁned conservatively as non-overlapping 1MB windows. For the phenotype indexing whether an individual had ever been a regular smoker (N=3,377,408 from 75 studies) we identiﬁed 780 loci (404 novel); for age of initiation of regular smoking (N=731,870; 64 studies) we identiﬁed 39 loci (30 novel); for cigarettes per day, a measure of heaviness of use (N=782,790; 81 studies) we identiﬁed 157 loci (103 novel); for a measure of smoking cessation (N=1,400,906; 74 studies) we identiﬁed 112 loci (91 novel); and ﬁnally for a measure of alcohol use, drinks per week (N=2,896,131; 62 studies), we identiﬁed 376 loci; (286 novel). The maximum sample sizes for non-European ancestry included 121,858 individuals with African ancestry, 285,155 Latinx individuals, and 298,624 individuals of East Asian ancestry, predominantly from Japan and China. We will report ancestry-based moderation and ﬁne-mapping of variant associations, as well as heritabilities and utility of polygenic scores from this data set.",2019
6,The functional landscape and essential genes discovery in genetic etiology of tobacco use.,"F. Chen  1,2 ; Y. Jiang  1,2 ; D.J. Liu  1,2","1) Department of Public Health Sciences, Penn State College of Medicine, Hershey,PA; 2) Institute of Personalized Medicine, College of Medicine, Pennsylvania State University, Hershey, PA","Tobacco use is a heritable and modiﬁable risk factor for a myriad of human diseases, including cardiovascular disease, respiratory disorder, and cancer. Developing novel therapeutics to aid in smoking cessation can bring substantial public health beneﬁts. Genome-wide association study results have been established as a valuable resource for developing and repurposing drugs. In a recent GWAS with 1.2 million participants, we discovered more than 400 loci that show robust associations with phenotypes representing diﬀerent stages of smoking, including smoking initiation, smoking cessation, and cigarettes per day. Despite a large number of novel discoveries, identifying the essential genes and pathways for drug development remains challenging. Here we performed biological pathway, disease pathway, and drug targets enrichment analysis, in order to identify essential genes, and druggable targets. First, we noted that besides the typical smoking cessation drugs such as Cytisine and Varenicline, drugs that have already been used by other treatments are signiﬁcantly enriched with tobacco-use associated SNPs (i.e., Fluspirilene, Lumateperone, and Acetophenazine). As many drugs for psychopharmacological and other treatments have been shown to be eﬀective for smoking cessation, this observed enrichment showcased the eﬀectiveness of our approach. Next, to further prioritize the genes that are enriched with tobacco-use associated SNPs for drug development, we integrate information from gene-set analysis, PPI (protein-protein interaction), and eQTL database. The approaches utilized here include Magma, DEPICT, DAPPLE, and Locuscompare. Genes pass the Bonferroni correction p-value or FDR threshold in all methods are prioritized. To this end, we identiﬁed 19 genes, including GRID2, RUNX1T1, TOP2B, GRID1, NRXN3, RBFOX1, and BTRC, many of which are indeed deemed `druggable` according to the Illuminating the Druggable Genome (IDG) database. Finally, the GO analysis showed these genes are highly enriched in glutamate-related pathways, suggesting it as suitable therapeutic targets. Our prioritized gene list nicely complements the existing therapies for smoking cessation which are focused on nicotinic receptor subunits. They provide a set of much more ﬂexible and promising targets in future clinical researches. We expect that these results are precious for smoking cessation pharmacotherapies development, repurpose, and possible side eﬀects of the medications.",2019
7,Obesity-associated variants in the  FTO  locus: Dissecting the complex landscape of GWAS.,D. Sobreira; I. Aneas; A. Joslin; M. Nobrega,"Department of Human Genetics, University of Chicago, Chicago, IL","The strongest obesity GWAS association lies in the ﬁrst intron of the  FTO  gene. We have previously shown that these variants are functionally connected to  IRX3  in brain and adipose tissue. However, establishing the mechanistic basis for this association remains unresolved. Speciﬁcally, there is compelling and conﬂicting evidence implicating alterations in food preference and feeding behavior, regulated in the brain, and altered metabolic rate through disruptions in mitochondrial function regulating thermogenesis, autonomous to adipose tissue. In order to address this paradox, we applied an integrated platform to dissected the  FTO  locus regulatory circuit, and our ﬁndings reveal several nuances connecting genetic diﬀerences to phenotypic variation.Importantly, we found that several SNPs segregating on a common haplotype, each within distinct enhancers with neuronal and/or adipose tissue speciﬁcities, are capable of modulating  IRX3  and  IRX5  expression, thus implicating multiple causal variants with the association to obesity. Transcriptomic data in hypothalamus of  Irx3 knockout mice supports a role of the central nervous system in obesity susceptibility, suggesting alterations in feeding behavior as an important driver underlying obesity risk. Also, we show that mis-expression of  IRX3  and  IRX5  in murine and human adipocytes and hypothalamic neurons trigger a similar downstream cascade of mitochondrial dysfunction, illustrating an example of phenotypic convergence, where genetic variants impart their phenotypic eﬀects through shared cellular processes in distinct tissues. Our results challenge the original model of GWAS reﬂecting an association of a SNP in a locus disrupting a regulatory element. Rather, our data support a model that includes pleiotropy, genetic heterogeneity, and molecular convergence of phenotypes ultimately regulating systems-wide organismal phenotypes. Our ﬁndingsunravel a new level of regulatory complexity at the  FTO  locus and illustrate that from a mechanistic perspective, the etiology of the genetic associations often is much more complex than previously thought.",2019
8,"Genome-wide association study on vitamin D levels in 482,619 Europeans reveals 47 novel vitamin D-related loci.","D. Manousaki  1,2 ; R. Mitchel  3 ; T. Dudding  3 ; S. Haworth  3 ; V. Forgetta  2 ; N.J. Timpson  3 ; J.B. Richards  1,2,4,5","1) Department of Human Genetics,McGill Univ, Montreal, Quebec, Canada; 2) Lady Davis Institute for Medical Research, Jewish General Hospital, McGill University, Montreal, QC H3T 1E2, Canada; 3) Medical Research Council Integrative Epidemiology Unit (IEU) at the University of Bristol, Bristol, BS8 2BN, UK; 4) Department of Epidemiology, Biostatistics and Occupational Health and Department of Medicine, McGill University, Montreal, QC H3A 1A2, Canada; 5) Department of Twin Research and Genetic Epidemiology, King’s College London, London, WC2R 2LS, United Kingdom","Objective:  We sought to increase our understanding of genetics of vitamin D levels by undertaking the largest to date genome-wide association study (GWAS) of plasma 25 hydroxyvitamin D (25OHD) levels, the most common biomarker of vitamin D status in humans. Methods : Using data from 440,345 White British individuals from UK Biobank with available 25OHD levels and imputed genotypes we conducted a linear mixed model GWAS using the BOLT-LMM software, to account for population stratiﬁcation and cryptic relatedness. We retained single nucleotide polymorphisms (SNPs) with a minor allele frequency (MAF) > 0.1%, and imputation quality score > 0.3 from the autosomes and the X chromosome. We used standardized log-transformed 25OHD levels, adjusting for age, sex, season of measurement, and vitamin D supplementation. We next meta-analyzed this GWAS with our previous GWAS on 42,274 individuals of European ancestry using GWAMA. To identify conditionally independent SNPs from this meta-analysis, we performed a conditional analysis using GCTA-COJO. Results:  After quality control, a total of 20,370,875 SNPs were tested for association with 25OHD levels. The genomic control lambda was 1.23, and the LD score regression intercept was 1.06, implying little evidence of population stratiﬁcation. The SNP heritability of vitamin D levels was estimated by BOLT-LMM to be 16.1%. After meta-analysis with our previous GWAS and using GCTA–COJO, we observed 105 independent 25OHD-associated SNPs (pre and post conditioning p-value< 6.6 x10 -9 ) among which 40 had MAF<5%. These SNPs map in 53 distinct loci (deﬁned as 1Mb regions), among which 47 are novel, while all 6 previously described 25OHD loci replicated in our study. The 40 SNPs with MAF <5% conferred an average absolute eﬀect of 0.22 standard deviations on standardized log transformed 25OHD levels per eﬀect allele, compared to 0.03 of the 65 SNPs with MAF>5%. Conclusions:  Through the largest to date GWAS on 25OHD levels, we identiﬁed 47 novel 25OHD associated loci. Our ﬁndings support the polygenicity of vitamin D levels, increase substantially their assigned heritability and contribute to our knowledge on the genetic control of 25OHD levels. Moreover, by identifying more genocopies of vitamin D levels, this study will enable the development of a genomic predictor for vitamin D insufficiency, and will provide new instruments to test associations with diseases through Mendelian randomization.",2019
9,"A large cross-ancestry meta-analysis of genome-wide association studies identiﬁes novel risk loci for primary open-angle glaucoma, and shows a genetic link to Alzheimer’s disease.","P. Gharahkhani  1 ; E. Jorgenson  2 ; P. Hysi  3 ; A. Khawaja  4 ; S.A. Pendergrass  5 ; X. Han  1 ; A. Hewitt  6,7 ; R. Igo  8 ; H. Choquet  2 ; N. Josyula  5 ; D. Mackey  9 ; C.P. Pang  10 ; F. Pasutto  11 ; P. Mitchell  12 ; P. Bonnemaijer 13,14 ; A. Lotery  15 ; N. Pfeiﬀer  16 ; A. Palotie  17,18 ; C. van Duijn  14 ; J. Haines  8 ; C. Hammond  19 ; M. Hauser  20 ; L. Pasquale  21,22 ; C.C.W. Klaver  13,14,23 ; M. Kubo  24 ; T. Aung  25,26,27 ; J.E. Craig  28 ; S. MacGregor  1 ; J. Wiggs  29 ; International Glaucoma Genetics Consortium, NEIGHBORHOOD consortium, ANZRAG study, FinnGen study","1) Statistical Genetics, QIMR Berghofer Medical Research Institute, Brisbane, Queensland, Australia; 2) Division of Research, Kaiser Permanente Northern California (KPNC), Oakland, CA, USA.; 3) Department of Twin Research and Genetic Epidemiology, King's College London, UK.; 4) Department of Public Health and Primary Care, Institute of Public Health, University of Cambridge, School of Clinical Medicine, Cambridge, UK.; 5) Geisinger Research, Biomedical and Translational Informatics Institute, Danville, PA, USA.; 6) Menzies Institute for Medical Research, University of Tasmania, Hobart, Australia.; 7) Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, University of Melbourne, Melbourne, Australia.; 8) Institute for Computational Biology, Case Western Reserve University School of Medicine, Cleveland, Ohio, United States.; 9) Lions Eye Institute, Centre for Ophthalmology and Visual Science, University of Western Australia, Perth, Western Australia, Australia.; 10) Department of Ophthalmology and Visual Sciences, the Chinese University of Hong Kong, Hong Kong.; 11) Institute of Human Genetics, Universita¨tsklinikum Erlangen, Friedrich- Alexander-Universita¨t Erlangen-Nu¨rnberg, Erlangen, Germany.; 12) Centre for Vision Research, Department of Ophthalmology and Westmead Institute for Medical Research, University of Sydney, Sydney, NSW, Australia.; 13) Department of Ophthalmology, Erasmus MC, Rotterdam, The Netherlands.; 14) Department of Epidemiology, Erasmus MC, Rotterdam, The Netherlands.; 15) Clinical and Experimental Sciences, Faculty of Medicine, University of Southampton, Southampton, England.; 16) Department of Ophthalmology, University Medical Center Mainz, Mainz, Germany.; 17) Institute for Molecular Medicine Finland, Helsinki Institute of Life Sciences, University of Helsinki, Helsinki 00014, Finland.; 18) Analytic and Translational Genetics Unit, Massachusetts General Hospital, Boston, MA, USA.; 19) Department of Ophthalmology, King's College London, St. Thomas' Hospital, London, UK.; 20) Department of Ophthalmology, Duke University Medical Center, Durham, North Carolina, United States.; 21) Channing Division of Network Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston, MA, USA.; 22) Icahn School of Medicine at Mount Sinai, Department of Ophthalmology, New York, NY, USA.; 23) Department of Ophthalmology, Radboud University Medical Center, Nijmegen, The Netherlands.; 24) Laboratory for Genotyping Development, RIKEN Center for Integrative Medical Sciences, Yokohama, Japan.; 25) Singapore Eye Research Institute, Singapore National Eye Centre, Singapore.; 26) Ophthalmology & Visual Sciences Academic Clinical Program (Eye ACP), Duke-NUS Medical School, Singapore.; 27) Department of Ophthalmology, Yong Loo Lin School of Medicine, National University of Singapore, Singapore.; 28) Department of Ophthalmology, Flinders University, Flinders Medical Centre, Adelaide, Australia.; 29) Department of","Ophthalmology, Massachusetts Eye and Ear Inﬁrmary, Harvard Medical School, Boston, MA, USA. Glaucoma is the leading cause of irreversible blindness worldwide. Primary open-angle glaucoma (POAG) is one of the most common subtypes. Despite a high heritability, known risk loci only explain a small proportion of POAG risk. We conducted the largest meta-analysis of genome-wide association studies for POAG to date, using more than 32K cases and 338K controls across European, Asian, and African ancestries. We identiﬁed 123 independent genome-wide signiﬁcant loci for POAG, of which 98 were not previously reported. For the ﬁrst time, we identiﬁed POAG risk loci at key genes known to be involved in dementia/cognitive function, e.g.  MAPT  (rs242559[C], OR=1.08, P=8.8e-10), TRIOBP (rs5750494[T], OR=1.08, P=2.4e-16) ,  and  APP  (rs13049669[T], OR=1.1 , P=2.2e-09). We also found a genome-wide genetic correlation of 15% (P<0.05) between glaucoma and Alzheimer’s disease (based on 72K Alzheimer’s cases, 383K controls). Moreover, for the ﬁrst time, we identiﬁed an association of an HLA gene (HLA-G/HLA-H) with POAG. Several of the risk loci (e.g.  GLIS1 ,  DDR2 , and  THRB ) appeared to inﬂuence POAG independent of increased intraocular pressure and changes in optic nerve morphology (vertical cup-disc ratio), the major mechanisms known to be involved in development of POAG. Prevalence of POAG varies with ethnicity in epidemiological studies, raising the question of ancestry-speciﬁc genetic eﬀects. We found relatively consistent genetic eﬀects across ancestries; the correlation of the eﬀect estimates for the genome-wide signiﬁcant loci was 0.8 between Europeans and Asians and 0.7 between Europeans and Africans. The new risk loci have functional relevance supported by eQTL and chromatin interaction data. We also identiﬁed >30 additional new risk loci using gene-based analysis. The signiﬁcant genes showed an enriched expression in the eye, artery, nerve, or nerve-enriched tissues. Pathway-based analyses identiﬁed >20 signiﬁcant pathways including those involved in blood vessel morphogenesis, vasculature development, and collagen formation. At least 15 of the risk genes are targeted by several drugs, some of which are already in use/clinical trials for retinal vein occlusion, age-related macular degeneration, diabetic retinopathy, Alzheimer’s, and cardiovascular diseases. In summary, our study identiﬁed important new risk loci for POAG, supporting a biological link between POAG and Alzheimer’s disease, and suggesting target candidate genes for drug repurposing.",2019
10,Near-optimal trans-ethnic association and ﬁne mapping of smoking associated genes integrating GWAS and TOPMed sequence data of 1.3 million individuals.,Y. Jiang; TOPMed smoking working group and GSCAN consortium,"Department of Public Health Sciences, Penn State College of Medicine, Hershey, Pennsylvania.","Tobacco use is a heritable risk factor for numerous diseases, for which 353 associated genes were identiﬁed in European samples. Yet, its genetic architecture in non-European populations remains elusive. To address this, we assembled TOPMed whole genome sequences of ~150,000 individuals from diverse US populations as well as GWAS data of up to 1.2 million individuals. Four smoking phenotypes were studied, including smoking initiation, cigarettes per day, smoking cessation and the age of smoking initiation. To analyze these amazingly rich datasets, we developed a novel mixed eﬀect meta-regression method for near-optimal trans-ethnic meta-analysis (MEMO). MEMO summarizes ancestry for each study using principal components of genome-wide allele frequencies. It models the between-study genetic eﬀect heterogeneities due to genetic ancestry diﬀerences as a ﬁxed eﬀect and that due to non-ancestry exposure diﬀerences as random eﬀects. For each SNP, MEMO adaptively selects ﬁxed eﬀects and random eﬀects to be included that best models the genetic eﬀect heterogeneity. It thus combines the strength of ﬁxed eﬀect, random eﬀect meta-analysis, and meta-regression. MEMO is consistently the most powerful (or close to the most powerful) across a wide variety of scenarios in simulations, even when the simulated disease model is in favor of alternative methods. We further extend MEMO for ﬁne mapping, which can distinguish causal variants with homogeneous eﬀects and that show ancestry-speciﬁc eﬀects. Due to the improved model of multi-ethnic genetic eﬀects, MEMO considerably improves ﬁne mapping resolution. Simulation shows the method is well calibrated and on average, the posterior probability of association for causal variants estimated by our method is 50% higher, and our 95% credible interval for causal variants is ~33% shorter than alternative trans-ethnic ﬁne-mapping methods. Applying MEMO, we identiﬁed 265 loci with p<5e-9 among which 27 are novel, and >400 independent secondary associations. Our ﬁne-mapping narrowed down the 95% credible interval for causal variants to less than 10 variants for 76 loci, and 17 of them contain a single SNP. We estimated that 56% of the causal variants show homogeneous eﬀects across ancestries, while another 26% and 12% show African speciﬁc and Hispanic speciﬁc eﬀects. In conclusion, our results elucidate the genetic architecture for smoking traits, and our developed methods will be valuable for other studies.",2019
